Provincia;Jefe(a);Cónyuge o pareja;Hijo(a) / Hijastro(a)
Neuquén;170095;100112;221917
Río Negro;199206;118416;249442
Salta;299882;173397;538585
Santa Fe;1023908;617324;1228987
Santiago del Estero;218073;127180;389140
Chubut;157215;93488;199486
Chaco;288479;172090;465541
La Rioja;91112;52053;143968
La Pampa;107684;62796;119840
CABA;1150732;568496;842065
Buenos Aires;4790063;2974276;6122524
San Luis;126943;76179;178456
San Juan;177173;114702;303428
Tucumán;368581;227389;640637
Tierra del Fuego;38977;23356;50307
Santa Cruz;81798;48257;107998
Catamarca;96028;53141;157846
Jujuy;174704;97910;295174
Córdoba;1032064;617351;1279004
Misiones;303035;193897;496684
Entre Ríos;375183;231085;499835
Mendoza;494917;323476;723799
Formosa;140330;79862;235015
Corrientes;267839;158256;430510
