Id_Prov;Provincia;Personas;Total de Personas;P__01_01;Jefe(a);P__01_02;Cónyuge o pareja
Neuquén;551266;170095;100112
Río Negro;638645;199206;118416
Salta;1214441;299882;173397
Santa Fe;3194537;1023908;617324
Santiago del Estero;874006;218073;127180
Chubut;509108;157215;93488
Chaco;1055259;288479;172090
La Rioja;333642;91112;52053
La Pampa;318951;107684;62796
CABA;2890151;1150732;568496
Buenos Aires;15625084;4790063;2974276
San Luis;432310;126943;76179
San Juan;681055;177173;114702
Tucumán;1448188;368581;227389
Tierra del Fuego;127205;38977;23356
Santa Cruz;273964;81798;48257
Catamarca;367828;96028;53141
Jujuy;673307;174704;97910
Córdoba;3308876;1032064;617351
Misiones;1101593;303035;193897
Entre Ríos;1235994;375183;231085
Mendoza;1738929;494917;323476
Formosa;530162;140330;79862
Corrientes;992595;267839;158256
