Id_Prov;Provincia;Total de Personas;Jefe(a);Cónyuge o pareja
58;Neuquén;551266;170095;100112
62;Río Negro;638645;199206;118416
66;Salta;1214441;299882;173397
82;Santa Fe;3194537;1023908;617324
86;Santiago del Estero;874006;218073;127180
26;Chubut;509108;157215;93488
22;Chaco;1055259;288479;172090
46;La Rioja;333642;91112;52053
42;La Pampa;318951;107684;62796
2;CABA;2890151;1150732;568496
6;Buenos Aires;15625084;4790063;2974276
74;San Luis;432310;126943;76179
70;San Juan;681055;177173;114702
90;Tucumán;1448188;368581;227389
94;Tierra del Fuego;127205;38977;23356
78;Santa Cruz;273964;81798;48257
10;Catamarca;367828;96028;53141
38;Jujuy;673307;174704;97910
14;Córdoba;3308876;1032064;617351
54;Misiones;1101593;303035;193897
30;Entre Ríos;1235994;375183;231085
50;Mendoza;1738929;494917;323476
34;Formosa;530162;140330;79862
18;Corrientes;992595;267839;158256
