Provincia;variable;Correlacion Sin NBI;Correlacion No completo el nivel (P09)
Neuquén;H__ALGUNBI_02;0.1093;0.4016
Río Negro;H__ALGUNBI_02;0.0919;0.4852
Salta;H__ALGUNBI_02;0.1774;0.6199
Santa Fe;H__ALGUNBI_02;0.3698;0.7391
Santiago del Estero;H__ALGUNBI_02;0.2476;0.6298
Chubut;H__ALGUNBI_02;0.3097;0.5625
Chaco;H__ALGUNBI_02;0.3169;0.6935
La Rioja;H__ALGUNBI_02;0.2905;0.5748
La Pampa;H__ALGUNBI_02;0.3445;0.4789
CABA;H__ALGUNBI_02;-0.0860;0.4870
Buenos Aires;H__ALGUNBI_02;0.3783;0.7207
San Luis;H__ALGUNBI_02;0.2799;0.5096
San Juan;H__ALGUNBI_02;0.2132;0.6276
Tucumán;H__ALGUNBI_02;0.3661;0.6466
Tierra del Fuego;H__ALGUNBI_02;-0.0908;0.3328
Santa Cruz;H__ALGUNBI_02;0.4709;0.5585
Catamarca;H__ALGUNBI_02;0.4123;0.6054
Jujuy;H__ALGUNBI_02;0.2422;0.5074
Córdoba;H__ALGUNBI_02;0.2496;0.5890
Misiones;H__ALGUNBI_02;0.3683;0.7101
Entre Ríos;H__ALGUNBI_02;0.3833;0.6830
Mendoza;H__ALGUNBI_02;0.2551;0.6391
Formosa;H__ALGUNBI_02;0.2257;0.6640
Corrientes;H__ALGUNBI_02;0.4906;0.7474
