id_prov;prov;var1;var2;svar1;svar2;value;value_abs;covar;len_serie1;len_serie2
58;Neuquén;V__TOTHOG_01_PORC;V__02_01_PORC;Con un hogar PORC;Con personas presentes PORC;0.926;0.926;237.247;794;794
58;Neuquén;H__12_01_PORC;V__INCALSERV_01_PORC;A red publica (cloaca) PORC;Calidad de Servicios Basicos Satisfactorio PORC;0.981;0.981;1573.687;794;794
58;Neuquén;H__11_01_PORC;V__INCALCONS_03_PORC;Si tiene cadena y mochila en el baño PORC;Calidad constructiva Insuficiente PORC;-0.907;0.907;-471.411;794;794
58;Neuquén;H__11_01_PORC;H__05_01_PORC;Si tiene cadena y mochila en el baño PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.926;0.926;639.310;794;794
58;Neuquén;H__11_01_PORC;H__08_01_PORC;Si tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;0.965;0.965;615.382;794;794
58;Neuquén;P__12_02_PORC;P__09_02_PORC;No utiliza computadora PORC;Primario PORC;0.909;0.909;264.294;794;794
58;Neuquén;P__12_02_PORC;H__19B_02_PORC;No utiliza computadora PORC;Sin computadora PORC;0.921;0.921;435.458;794;794
58;Neuquén;P__08_03_PORC;P__07_02_PORC;Nunca asistio PORC;No sabe leer y escribir PORC;0.905;0.905;19.366;794;794
58;Neuquén;V__INCALCONS_03_PORC;H__11_01_PORC;Calidad constructiva Insuficiente PORC;Si tiene cadena y mochila en el baño PORC;-0.907;0.907;-471.411;794;794
58;Neuquén;P__09_02_PORC;P__12_02_PORC;Primario PORC;No utiliza computadora PORC;0.909;0.909;264.294;794;794
58;Neuquén;P__07_02_PORC;P__08_03_PORC;No sabe leer y escribir PORC;Nunca asistio PORC;0.905;0.905;19.366;794;794
58;Neuquén;V__02_01_PORC;V__TOTHOG_01_PORC;Con personas presentes PORC;Con un hogar PORC;0.926;0.926;237.247;794;794
58;Neuquén;H__05_01_PORC;H__11_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Si tiene cadena y mochila en el baño PORC;0.926;0.926;639.310;794;794
58;Neuquén;H__05_01_PORC;V__INCALCONS_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Calidad constructiva Satisfactoria PORC;0.903;0.903;610.837;794;794
58;Neuquén;H__05_01_PORC;H__08_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Por cañeria dentro de la vivienda PORC;0.914;0.914;627.612;794;794
58;Neuquén;H__13_01_PORC;H__10_01_PORC;De uso exclusivo del hogar PORC;HOGAR SI Tiene baño o letrina PORC;0.963;0.963;147.561;794;794
58;Neuquén;H__06_06_PORC;V__INMAT_04_PORC;Chapa de cartón PORC;Calidad 4 PORC;0.909;0.909;99.903;794;794
58;Neuquén;H__19B_02_PORC;P__12_02_PORC;Sin computadora PORC;No utiliza computadora PORC;0.921;0.921;435.458;794;794
58;Neuquén;H__19B_01_PORC;P__12_01_PORC;Con computadora PORC;Si tiliza computadora PORC;0.947;0.947;464.250;794;794
58;Neuquén;P__12_01_PORC;H__19B_01_PORC;Si tiliza computadora PORC;Con computadora PORC;0.947;0.947;464.250;794;794
58;Neuquén;V__INCALSERV_01_PORC;H__12_01_PORC;Calidad de Servicios Basicos Satisfactorio PORC;A red publica (cloaca) PORC;0.981;0.981;1573.687;794;794
58;Neuquén;V__INCALCONS_01_PORC;H__05_01_PORC;Calidad constructiva Satisfactoria PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.903;0.903;610.837;794;794
58;Neuquén;V__INCALCONS_01_PORC;V__INMAT_01_PORC;Calidad constructiva Satisfactoria PORC;Calidad 1 PORC;0.995;0.995;585.525;794;794
58;Neuquén;H__08_01_PORC;H__11_01_PORC;Por cañeria dentro de la vivienda PORC;Si tiene cadena y mochila en el baño PORC;0.965;0.965;615.382;794;794
58;Neuquén;H__08_01_PORC;H__05_01_PORC;Por cañeria dentro de la vivienda PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.914;0.914;627.612;794;794
58;Neuquén;V__INMAT_04_PORC;H__06_06_PORC;Calidad 4 PORC;Chapa de cartón PORC;0.909;0.909;99.903;794;794
58;Neuquén;H__10_01_PORC;H__13_01_PORC;HOGAR SI Tiene baño o letrina PORC;De uso exclusivo del hogar PORC;0.963;0.963;147.561;794;794
58;Neuquén;V__INMAT_01_PORC;V__INCALCONS_01_PORC;Calidad 1 PORC;Calidad constructiva Satisfactoria PORC;0.995;0.995;585.525;794;794
62;Río Negro;V__TOTHOG_01_PORC;V__02_01_PORC;Con un hogar PORC;Con personas presentes PORC;0.961;0.961;261.599;941;941
62;Río Negro;H__12_01_PORC;V__INCALSERV_01_PORC;A red publica (cloaca) PORC;Calidad de Servicios Basicos Satisfactorio PORC;0.971;0.971;1507.480;941;941
62;Río Negro;H__11_01_PORC;V__INCALCONS_03_PORC;Si tiene cadena y mochila en el baño PORC;Calidad constructiva Insuficiente PORC;-0.915;0.915;-240.108;941;941
62;Río Negro;H__11_01_PORC;H__08_01_PORC;Si tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;0.949;0.949;278.768;941;941
62;Río Negro;P__12_02_PORC;H__19B_02_PORC;No utiliza computadora PORC;Sin computadora PORC;0.930;0.930;313.968;941;941
62;Río Negro;P__12_02_PORC;H__19B_01_PORC;No utiliza computadora PORC;Con computadora PORC;-0.918;0.918;-309.811;941;941
62;Río Negro;P__08_03_PORC;P__07_02_PORC;Nunca asistio PORC;No sabe leer y escribir PORC;0.903;0.903;13.512;941;941
62;Río Negro;V__INCALCONS_03_PORC;H__11_01_PORC;Calidad constructiva Insuficiente PORC;Si tiene cadena y mochila en el baño PORC;-0.915;0.915;-240.108;941;941
62;Río Negro;P__09_02_PORC;H__19B_02_PORC;Primario PORC;Sin computadora PORC;0.900;0.900;245.767;941;941
62;Río Negro;P__07_02_PORC;P__08_03_PORC;No sabe leer y escribir PORC;Nunca asistio PORC;0.903;0.903;13.512;941;941
62;Río Negro;H__11_02_PORC;H__08_01_PORC;No tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;-0.910;0.910;-213.308;941;941
62;Río Negro;V__02_01_PORC;V__TOTHOG_01_PORC;Con personas presentes PORC;Con un hogar PORC;0.961;0.961;261.599;941;941
62;Río Negro;H__05_01_PORC;H__08_01_PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;Por cañeria dentro de la vivienda PORC;0.901;0.901;324.675;941;941
62;Río Negro;H__06_06_PORC;V__INMAT_04_PORC;Chapa de cartón PORC;Calidad 4 PORC;0.929;0.929;50.509;941;941
62;Río Negro;H__19B_02_PORC;P__12_02_PORC;Sin computadora PORC;No utiliza computadora PORC;0.930;0.930;313.968;941;941
62;Río Negro;H__19B_02_PORC;P__09_02_PORC;Sin computadora PORC;Primario PORC;0.900;0.900;245.767;941;941
62;Río Negro;H__19B_01_PORC;P__12_02_PORC;Con computadora PORC;No utiliza computadora PORC;-0.918;0.918;-309.811;941;941
62;Río Negro;H__19B_01_PORC;P__12_01_PORC;Con computadora PORC;Si tiliza computadora PORC;0.914;0.914;310.757;941;941
62;Río Negro;P__12_01_PORC;H__19B_01_PORC;Si tiliza computadora PORC;Con computadora PORC;0.914;0.914;310.757;941;941
62;Río Negro;V__INCALSERV_01_PORC;H__12_01_PORC;Calidad de Servicios Basicos Satisfactorio PORC;A red publica (cloaca) PORC;0.971;0.971;1507.480;941;941
62;Río Negro;V__INCALCONS_01_PORC;V__INMAT_01_PORC;Calidad constructiva Satisfactoria PORC;Calidad 1 PORC;0.995;0.995;489.523;941;941
62;Río Negro;H__08_01_PORC;H__11_01_PORC;Por cañeria dentro de la vivienda PORC;Si tiene cadena y mochila en el baño PORC;0.949;0.949;278.768;941;941
62;Río Negro;H__08_01_PORC;H__11_02_PORC;Por cañeria dentro de la vivienda PORC;No tiene cadena y mochila en el baño PORC;-0.910;0.910;-213.308;941;941
62;Río Negro;H__08_01_PORC;H__05_01_PORC;Por cañeria dentro de la vivienda PORC;Cerámica, baldosa, mosaico, mármol, madera o alfombrado PORC;0.901;0.901;324.675;941;941
62;Río Negro;V__INMAT_04_PORC;H__06_06_PORC;Calidad 4 PORC;Chapa de cartón PORC;0.929;0.929;50.509;941;941
62;Río Negro;V__INMAT_01_PORC;V__INCALCONS_01_PORC;Calidad 1 PORC;Calidad constructiva Satisfactoria PORC;0.995;0.995;489.523;941;941
66;Salta;V__TOTHOG_01_PORC;V__02_01_PORC;Con un hogar PORC;Con personas presentes PORC;0.910;0.910;215.583;1358;1358
66;Salta;H__14_06_PORC;H__05_03_PORC;Leña o carbón PORC;Tierra o ladrillo suelto PORC;0.903;0.903;879.677;1358;1358
66;Salta;H__14_06_PORC;H__19A_02_PORC;Leña o carbón PORC;Sin Heladera PORC;0.922;0.922;952.739;1358;1358
66;Salta;H__14_06_PORC;H__19A_01_PORC;Leña o carbón PORC;Con Heladera PORC;-0.911;0.911;-947.000;1358;1358
66;Salta;H__12_01_PORC;V__INCALSERV_01_PORC;A red publica (cloaca) PORC;Calidad de Servicios Basicos Satisfactorio PORC;0.983;0.983;1596.035;1358;1358
66;Salta;H__11_01_PORC;H__08_01_PORC;Si tiene cadena y mochila en el baño PORC;Por cañeria dentro de la vivienda PORC;0.960;0.960;1097.997;1358;1358
66;Salta;P__12_02_PORC;P__09_02_PORC;No utiliza computadora PORC;Primario PORC;0.902;0.902;293.234;1358;1358
66;Salta;P__12_02_PORC;H__19B_02_PORC;No utiliza computadora PORC;Sin computadora PORC;0.944;0.944;442.416;1358;1358
66;Salta;P__12_02_PORC;H__19B_01_PORC;No utiliza computadora PORC;Con computadora PORC;-0.924;0.924;-429.041;1358;1358
66;Salta;H__09_01_PORC;V__URP_03_PORC;Red pública PORC;Area Rural disperso PORC;-0.921;0.921;-1568.843;1358;1358
66;Salta;H__05_03_PORC;H__14_06_PORC;Tierra o ladrillo suelto PORC;Leña o carbón PORC;0.903;0.903;879.677;1358;1358
66;Salta;H__05_03_PORC;V__INMAT_04_PORC;Tierra o ladrillo suelto PORC;Calidad 4 PORC;0.919;0.919;569.939;1358;1358
66;Salta;V__TIPVV_01_PORC;V__V00_05_PORC;Viviendas particulares PORC;Hospital PORC;-0.932;0.932;-1.504;1358;1358
