id_prov;prov;var1;var2;svar1;svar2;value;value_abs;covar
26;Chubut;P__01_02_PORC;P__02_02_PORC;Cónyuge o pareja PORC;Mujer PORC;0.620;0.620;33.887
26;Chubut;P__01_02_PORC;P__12_01_PORC;Cónyuge o pareja PORC;Si tiliza computadora PORC;0.652;0.652;67.419
70;San Juan;P__01_02_PORC;H__19A_02_PORC;Cónyuge o pareja PORC;Sin Heladera PORC;-0.608;0.608;-15.181
70;San Juan;P__01_02_PORC;P__02_02_PORC;Cónyuge o pareja PORC;Mujer PORC;0.661;0.661;8.674
70;San Juan;P__01_02_PORC;H__19A_01_PORC;Cónyuge o pareja PORC;Con Heladera PORC;0.608;0.608;15.181
70;San Juan;P__01_02_PORC;P__02_01_PORC;Cónyuge o pareja PORC;Hombre PORC;-0.661;0.661;-8.674
94;Tierra del Fuego;P__01_02_PORC;V__URP_01_PORC;Cónyuge o pareja PORC;Area Urbano PORC;0.732;0.732;99.693
94;Tierra del Fuego;P__01_02_PORC;V__TIPVV_01_PORC;Cónyuge o pareja PORC;Viviendas particulares PORC;0.654;0.654;33.214
94;Tierra del Fuego;P__01_02_PORC;P__09_01_PORC;Cónyuge o pareja PORC;Inicial (jardin, preescolar) PORC;0.677;0.677;4.710
94;Tierra del Fuego;P__01_02_PORC;H__19C_01_PORC;Cónyuge o pareja PORC;Con teléfono celular PORC;0.726;0.726;55.463
94;Tierra del Fuego;P__01_02_PORC;P__CONDACT_03_PORC;Cónyuge o pareja PORC;Inactivo PORC;0.622;0.622;14.052
94;Tierra del Fuego;P__01_02_PORC;P__01_03_PORC;Cónyuge o pareja PORC;Hijo(a) / Hijastro(a) PORC;0.776;0.776;36.076
94;Tierra del Fuego;P__01_02_PORC;P__02_02_PORC;Cónyuge o pareja PORC;Mujer PORC;0.820;0.820;35.352
94;Tierra del Fuego;P__01_02_PORC;P__08_01_PORC;Cónyuge o pareja PORC;Asiste PORC;0.743;0.743;28.126
94;Tierra del Fuego;P__01_02_PORC;P__12_01_PORC;Cónyuge o pareja PORC;Si tiliza computadora PORC;0.842;0.842;64.855
94;Tierra del Fuego;P__01_02_PORC;H__19A_01_PORC;Cónyuge o pareja PORC;Con Heladera PORC;0.692;0.692;57.105
94;Tierra del Fuego;P__01_02_PORC;V__URP_03_PORC;Cónyuge o pareja PORC;Area Rural disperso PORC;-0.690;0.690;-88.994
94;Tierra del Fuego;P__01_02_PORC;V__TIPVV_02_PORC;Cónyuge o pareja PORC;Viviendas colectivas PORC;-0.654;0.654;-33.214
94;Tierra del Fuego;P__01_02_PORC;V__INMAT_01_PORC;Cónyuge o pareja PORC;Calidad 1 PORC;0.696;0.696;51.980
78;Santa Cruz;P__01_02_PORC;H__TOTPERS_03_PORC;Cónyuge o pareja PORC;3 personas en el hogar PORC;0.623;0.623;19.963
78;Santa Cruz;P__01_02_PORC;H__TOTPERS_01_PORC;Cónyuge o pareja PORC;1 persona en el hogar PORC;-0.611;0.611;-53.296
78;Santa Cruz;P__01_02_PORC;H__14_06_PORC;Cónyuge o pareja PORC;Leña o carbón PORC;-0.642;0.642;-51.486
78;Santa Cruz;P__01_02_PORC;V__URP_01_PORC;Cónyuge o pareja PORC;Area Urbano PORC;0.636;0.636;121.527
78;Santa Cruz;P__01_02_PORC;H__09_01_PORC;Cónyuge o pareja PORC;Red pública PORC;0.605;0.605;104.359
78;Santa Cruz;P__01_02_PORC;H__19C_02_PORC;Cónyuge o pareja PORC;Sin teléfono celular PORC;-0.604;0.604;-73.457
78;Santa Cruz;P__01_02_PORC;H__19C_01_PORC;Cónyuge o pareja PORC;Con teléfono celular PORC;0.604;0.604;73.457
78;Santa Cruz;P__01_02_PORC;P__CONDACT_03_PORC;Cónyuge o pareja PORC;Inactivo PORC;0.651;0.651;23.634
78;Santa Cruz;P__01_02_PORC;P__01_03_PORC;Cónyuge o pareja PORC;Hijo(a) / Hijastro(a) PORC;0.632;0.632;41.705
78;Santa Cruz;P__01_02_PORC;H__19A_02_PORC;Cónyuge o pareja PORC;Sin Heladera PORC;-0.648;0.648;-67.191
78;Santa Cruz;P__01_02_PORC;P__02_02_PORC;Cónyuge o pareja PORC;Mujer PORC;0.794;0.794;48.309
78;Santa Cruz;P__01_02_PORC;H__14_01_PORC;Cónyuge o pareja PORC;Gas de red PORC;0.610;0.610;103.100
78;Santa Cruz;P__01_02_PORC;P__12_01_PORC;Cónyuge o pareja PORC;Si tiliza computadora PORC;0.735;0.735;64.526
78;Santa Cruz;P__01_02_PORC;H__19A_01_PORC;Cónyuge o pareja PORC;Con Heladera PORC;0.648;0.648;67.191
78;Santa Cruz;P__01_02_PORC;H__PROP_05_PORC;Cónyuge o pareja PORC;Ocupante por trabajo PORC;-0.669;0.669;-90.068
78;Santa Cruz;P__01_02_PORC;V__URP_03_PORC;Cónyuge o pareja PORC;Area Rural disperso PORC;-0.661;0.661;-113.933
78;Santa Cruz;P__01_02_PORC;P__02_01_PORC;Cónyuge o pareja PORC;Hombre PORC;-0.794;0.794;-48.309
