ID,Departamento,LOCALIDAD,TIPO,Latitude,Longitude,web,Pop 2008,01/09,02/09,03/09,04/09,05/09,06/09,07/09,08/09,09/09,10/09,11/09,12/09,01/10,02/10,03/10,04/10,05/10,06/10,07/10,08/10,09/10,10/10,11/10,12/10,01/11,02/11,03/11,04/11,05/11,06/11,07/11,08/11,09/11,10/11,11/11,12/11,01/12,02/12,03/12,04/12,05/12,06/12,07/12,08/12,09/12,10/12,11/12,12/12,01/13,02/13,03/13,04/13,05/13,06/13,07/13,08/13,09/13,10/13,11/13,12/13,01/14,02/14,03/14,04/14
172,RIO CUARTO,ACHIRAS ,Municipio,-33.177349090576,-64.994430541992,http://www.achiras.gov.ar/,2559,132125,155035,140264,148031,159411,169126,163073,157950,158955,169008,162593,175190,173094,192122,182713,185296,222169,232554,218777,211682,222896,212868,226344,197031,254878,252590,247391,244608,301663,302731,289225,295090,300695,289753,323005,312662,350548,303043,298174,284907,372596,369499,344520,368444,358017,"386946,1","395878,4","385858,7",426771,460010,405565,424282,503042,511613,"498069,5","506882,1","491208,2","509451,01","529636,08","516228,3","608330,87","647430,63","544634,49",584966
173,RIO CUARTO,ADELIA MARIA ,Municipio,-33.632770538330,-64.021278381348,,7345,245982,288634,261134,275594,296781,314868,303599,294060,295932,314648,302705,326156,322256,357679,340163,344971,413619,432953,407304,394096,414974,396303,421392,366819,474516,470255,447019,451002,556199,558167,533265,544079,554414,534238,595549,576478,646332,558743,549765,525305,686982,681273,635217,679327,660102,"713441,1","729910,2","711436,3",786870,848155,747770,782280,927496,943298,"918327,5",934576,"905676,9","939312,48","976529,18","951808,27","1121624,59","1193715,71","1004182,87",1078545
174,COLON,AGUA DE ORO ,Municipio,-31.069549560547,-64.300056457520,http://www.aguadeoro.gob.ar/,2061,118634,139204,125941,132915,143133,151856,146422,141821,142724,151750,145990,157301,155419,172504,164056,166375,199483,208807,196437,190067,200136,191131,203231,176913,228852,226797,225773,220811,272316,273279,261087,266382,271442,261564,291582,282244,316445,273561,269165,257190,336347,333552,311003,332599,323187,"349301,7",357365,"348320,1",385252,415258,366109,383006,454103,461840,"449614,4","457569,6","443420,6","459888,62","478109,96","466006,58","549148,87","584444,78","491649,25",528057
175,RIO CUARTO,ALCIRA ,Municipio,-32.758399963379,-64.335418701172,http://www.labordeonline.com.ar/,5922,211328,247970,224345,236768,254969,270508,260827,252632,254240,270319,260059,280207,276855,307288,292240,296371,355348,371958,349922,338574,356511,340470,362025,315141,407664,404004,390667,389610,480487,482188,460675,470018,478945,461517,514481,498006,558351,482685,474929,453799,593468,588536,548750,586855,570247,"616325,4","630552,7","614594,5",679759,732701,645981,675794,801242,814893,"793322,1","807358,8","782393,5","811450,48","843601,13","822245,31","968945,73","1031223,59","867490,52",931731
176,UNION,ALDEA SANTA MARIA ,Comuna,-33.699630737305,-62.913200378418,,173,13488,15827,14320,15112,16273,17265,16648,16125,16227,17254,16599,17885,17671,19613,18653,18916,22681,23741,22334,21610,22755,21731,23107,20114,26020,25786,27472,25690,31682,31794,"30375,36","30991,37","31580,04","30430,82","33923,13","32836,83",36816,31827,31315,29922,39131,38806,36183,38695,37600,"40638,4","41576,5","40524,2",44821,"48311,8","42593,8",44560,52831,53731,"52308,97","53234,5","51588,37","53504,3","55624,2","54216,07",63889,"67995,39","57199,39",61435
177,JUAREZ CELMAN,ALEJANDRO ,Municipio,-33.353469848633,-63.717269897461,http://www.alejandro.gob.ar/,5300,197997,232328,210193,221832,238886,253445,244374,236696,238203,253268,243655,262531,259391,287905,273806,277676,332932,348495,327849,317217,334022,318994,339188,295263,381949,378519,377082,368617,454597,456206,435853,444692,453138,436649,486759,471172,528266,456677,449338,429347,561491,556824,519182,555234,539521,"583116,1","596576,7","581478,5",643131,693221,611174,639380,758069,770985,"750575,7",763856,"740235,9","767727,28","798145,56","777940,45","916736,24","975658,4","820747,72",881526
178,MARCOS JUAREZ,ALEJO LEDESMA ,Municipio,-33.605751037598,-62.624980926514,,3370,152338,178753,161722,170677,183798,195000,188021,182113,183273,194864,187467,201991,199575,221513,210665,213643,256157,268131,252246,244066,256996,245433,260971,227174,293871,291232,279535,280181,345534,346756,331286,338004,344425,331891,369979,358132,401528,347114,341536,326341,426782,423235,394623,422026,410083,"443218,8","453450,1","441973,3",488836,526908,464545,485985,576198,586015,"570502,6","580596,9","562643,6","583539,37","606659,9","591302,26","696799,11","741585,07","623839,51",670036
179,SAN JUSTO,ALICIA ,Municipio,-31.939779281616,-62.464309692383,,3211,148915,174736,158088,166842,179668,190618,183796,178021,179154,190484,183254,197451,195090,216535,205931,208842,250401,262105,246577,238581,251221,239917,255106,222069,287266,284687,284880,277652,342415,343627,328296,334954,341316,328895,366640,354899,397904,343981,338454,323396,422930,419415,391061,418217,406382,"439218,6","449357,6","437984,4",484424,522153,460353,481598,570998,580726,"565353,7","575356,8","557565,5","578272,72","601184,58","585965,55","690510,25",734892,"618209,13",663989
180,TERCERO ARRIBA,ALMAFUERTE ,Municipio,-32.191730499268,-64.254737854004,http://www.almafuerte.gov.ar/,11222,333683,391541,354237,373853,402593,427130,411843,398902,401441,426830,410629,442442,437150,485204,461443,467965,561088,587315,552521,534603,562926,537597,571632,497603,643696,637916,609402,612773,755703,758377,724543,739236,753278,725866,809168,783256,878166,759160,746961,713728,933398,925640,863065,922996,896876,969347,"991723,4",966624,1069114,1152381,1015989,1062878,1260181,1281652,"1247724,6","1269801,3","1230536,3","1276236,71","1326802,75","1293214,64","1523942,78","1621892,44","1364375,61",1465412
181,RIO CUARTO,ALPA CORRAL ,Municipio,-32.692409515381,-64.721313476562,,879,93291,109467,99038,104523,112557,119417,115143,111525,112235,119333,114804,123698,122219,135654,129010,130834,156869,164202,154474,149465,157383,150302,159817,139120,179965,178349,173004,172171,212330,213081,203575,207703,211648,203946,227352,220071,246738,213301,209874,200536,262257,260077,242495,259334,251995,"272357,3","278644,4","271591,9",300389,323784,285462,298637,354073,360106,350573,"356775,9","345743,6","358584,06","372791,6","363354,35","428182,01","455702,91","383348,44",411736
182,SANTA MARIA,ALTA GRACIA ,Municipio,-31.657180786133,-64.433776855469,http://www.altagracia.gov.ar/,46858,1183079,1388215,1255955,1325501,1427399,1514394,1460195,1414314,1423318,1513335,1455894,1568687,1549925,1720298,1636054,1659178,1989349,2082339,1958973,1895446,1995863,1906062,2026730,1764260,2282236,2261742,2241108,2198672,2711514,2721110,2599708,2652430,2702813,2604456,2903348,2810377,3150918,2723919,2680147,2560905,3349095,3321261,3096737,3311774,3218053,"3478083,5","3558371,6","3468310,6",3836053,4134822,3645439,3813680,4521616,4598654,4476920,"4556133,7","4415248,2","4579223,37","4760658,72","4640142,33","5468009,45","5819459,42","4895472,67",5257998
183,UNION,ALTO ALEGRE ,Municipio,-32.345451354980,-62.884021759033,,979,96057,112712,101974,107620,115894,122957,118556,114831,115562,122871,118207,127365,125842,139675,132835,134712,161520,169070,159053,153895,162048,154757,164555,143244,185300,183636,178813,177495,218896,219670,209870,214126,218193,210253,234382,226877,254368,219897,216363,206737,270366,268120,249994,267354,259788,"280779,5",287261,"279990,5",309678,333797,294290,307872,365022,371241,"361413,9","367808,6","356435,1","369672,66","384319,53","374590,46","441422,79","469794,73","395202,83",424468
184,CRUZ DEL EJE,ALTO DE LOS QUEBRACHOS,Comuna,-30.543630599976,-65.037261962891,,159,13133,15410,13941,14714,15845,16811,16209,15700,15800,16799,16161,17413,17205,19096,18161,18418,22083,23115,21746,21041,22155,21159,22498,19584,25334,25107,26414,24904,30713,30822,"29447,02","30044,2","30614,87","29500,78","32886,36","31833,26",35691,30854,30358,29007,37935,37620,35077,37513,36451,"39396,4","40305,8","39285,7","43451,1","46835,3",41292,43198,51217,52089,"50710,28","51607,53","50011,71","51869,08","53924,19","52559,1","61936,4","65917,29","55451,24",59558
