"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
EP COMUNAS ,"",1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
ALAMUCHITA,"","","","","","","","","","",""
AMBOY ,"",4.025 ,10.571 ,14.596 ,6.144 ,10.983 ,17.127 ,5.635 ,9.860 ,15.495 ,47.218
CALMAYO ,"",3.381 ,8.880 ,12.261 ,5.161 ,9.226 ,14.387 ,4.734 ,8.282 ,13.016 ,39.664
CAÑADA DEL SAUCE ,"",3.399 ,8.925 ,12.324 ,5.187 ,9.273 ,14.460 ,4.758 ,8.325 ,13.083 ,39.867
LAS BAJADAS ,"",3.790 ,9.952 ,13.741 ,5.784 ,10.340 ,16.124 ,5.305 ,9.282 ,14.588 ,44.453
LAS CALERAS ,"",4.434 ,11.643 ,16.076 ,6.767 ,12.097 ,18.864 ,6.207 ,10.860 ,17.066 ,52.006
LOS MOLINOS ,"",4.894 ,12.850 ,17.744 ,7.469 ,13.352 ,20.821 ,6.851 ,11.986 ,18.837 ,57.402
LOS REARTES ,"",10.701 ,28.101 ,38.802 ,16.332 ,29.197 ,45.529 ,14.981 ,26.210 ,41.191 ,125.521
LUTTI ,"",3.663 ,9.619 ,13.283 ,5.591 ,9.995 ,15.586 ,5.128 ,8.972 ,14.101 ,42.969
SAN IGNACIO ,"",4.537 ,11.914 ,16.451 ,6.925 ,12.380 ,19.304 ,6.352 ,11.113 ,17.465 ,53.220
SEGUNDA USINA ,"",3.353 ,8.804 ,12.157 ,5.117 ,9.148 ,14.265 ,4.694 ,8.212 ,12.906 ,39.327
VILLA AMANCAY ,"",5.727 ,15.040 ,20.767 ,8.741 ,15.627 ,24.368 ,8.018 ,14.028 ,22.046 ,67.181
VILLA C.PAR. LOS REARTES ,"",7.429 ,19.509 ,26.938 ,11.338 ,20.271 ,31.609 ,10.401 ,18.197 ,28.598 ,87.145
VILLA QUILLINZO ,"",3.226 ,8.472 ,11.698 ,4.924 ,8.803 ,13.726 ,4.516 ,7.902 ,12.419 ,37.843
otal CALAMUCHITA ,"",62.559 ,164.279 ,226.838 ,95.477 ,170.692 ,266.169 ,87.579 ,153.231 ,240.810 ,733.816
OLON,"","","","","","","","","","",""
COLONIA VICENTE AGUERO ,"",4.766 ,12.516 ,17.283 ,7.274 ,13.005 ,20.279 ,6.673 ,11.675 ,18.347 ,55.910
EL MANZANO ,"",9.789 ,25.706 ,35.496 ,14.940 ,26.710 ,41.650 ,13.704 ,23.978 ,37.682 ,114.828
MI GRANJA ,"",9.993 ,26.242 ,36.236 ,15.252 ,27.267 ,42.519 ,13.990 ,24.478 ,38.468 ,117.223
TINOCO ,"",5.299 ,13.916 ,19.215 ,8.088 ,14.459 ,22.547 ,7.419 ,12.980 ,20.399 ,62.161
VILLA CERRO AZUL ,"",4.007 ,10.522 ,14.528 ,6.115 ,10.932 ,17.047 ,5.609 ,9.814 ,15.423 ,46.999
otal COLON ,"",33.855 ,88.902 ,122.758 ,51.669 ,92.373 ,144.043 ,47.395 ,82.924 ,130.319 ,397.120
RUZ DEL EJE,"","","","","","","","","","",""
ALTO DE LOS QUEBRACHOS ,"",3.622 ,9.511 ,13.133 ,5.528 ,9.882 ,15.410 ,5.070 ,8.871 ,13.942 ,42.485
BAÑADO DE SOTO ,"",7.315 ,19.208 ,26.523 ,11.164 ,19.958 ,31.121 ,10.240 ,17.916 ,28.156 ,85.801
CRUZ DE CAÑA ,"",4.221 ,11.084 ,15.305 ,6.442 ,11.517 ,17.959 ,5.909 ,10.339 ,16.248 ,49.511
GUANACO MUERTO ,"",6.756 ,17.742 ,24.498 ,10.312 ,18.435 ,28.746 ,9.459 ,16.549 ,26.007 ,79.252
LA BATEA ,"",4.046 ,10.626 ,14.672 ,6.176 ,11.041 ,17.216 ,5.665 ,9.911 ,15.576 ,47.465
LA HIGUERA ,"",5.611 ,14.734 ,20.344 ,8.563 ,15.309 ,23.872 ,7.855 ,13.743 ,21.598 ,65.814
LAS CAÑADAS ,"",3.988 ,10.473 ,14.461 ,6.087 ,10.882 ,16.969 ,5.583 ,9.769 ,15.352 ,46.783
LAS PLAYAS ,"",5.628 ,14.779 ,20.408 ,8.590 ,15.356 ,23.946 ,7.879 ,13.786 ,21.665 ,66.019
LOS CHAÑARITOS (C.D.EJE) ,"",6.623 ,17.391 ,24.013 ,10.107 ,18.070 ,28.177 ,9.271 ,16.221 ,25.493 ,77.683
MEDIA NARANJA ,"",9.077 ,23.835 ,32.912 ,13.853 ,24.766 ,38.618 ,12.707 ,22.232 ,34.939 ,106.469
PASO VIEJO ,"",9.914 ,26.034 ,35.948 ,15.131 ,27.050 ,42.181 ,13.879 ,24.283 ,38.163 ,116.292
TUCLAME ,"",7.204 ,18.918 ,26.122 ,10.995 ,19.656 ,30.651 ,10.085 ,17.646 ,27.731 ,84.505
otal CRUZ DEL EJE ,"",74.005 ,194.335 ,268.340 ,112.946 ,201.922 ,314.868 ,103.603 ,181.267 ,284.869 ,868.078
ENERAL ROCA,"","","","","","","","","","",""
NICOLAS BRUZZONE ,"",4.170 ,10.949 ,15.119 ,6.364 ,11.377 ,17.740 ,5.837 ,10.213 ,16.050 ,48.910
ONAGOITY ,"",3.300 ,8.666 ,11.966 ,5.037 ,9.004 ,14.041 ,4.620 ,8.083 ,12.703 ,38.710
PINCEN ,"",4.753 ,12.482 ,17.236 ,7.255 ,12.970 ,20.224 ,6.655 ,11.643 ,18.298 ,55.758
RANQUELES ,"",3.126 ,8.209 ,11.336 ,4.771 ,8.530 ,13.301 ,4.377 ,7.657 ,12.034 ,36.670
VILLA SARMIENTO ,"",5.176 ,13.591 ,18.767 ,7.899 ,14.122 ,22.021 ,7.246 ,12.677 ,19.923 ,60.712
otal GENERAL ROCA ,"",20.525 ,53.898 ,74.424 ,31.325 ,56.003 ,87.328 ,28.734 ,50.274 ,79.008 ,240.760
SCHILIN,"","","","","","","","","","",""
AVELLANEDA ,"",5.423 ,14.241 ,19.664 ,8.277 ,14.797 ,23.074 ,7.592 ,13.283 ,20.875 ,63.613
CAÑADA DE RIO PINTO ,"",4.016 ,10.545 ,14.561 ,6.129 ,10.957 ,17.086 ,5.622 ,9.836 ,15.458 ,47.104
CHUÑA ,"",6.355 ,16.689 ,23.045 ,9.700 ,17.341 ,27.040 ,8.897 ,15.567 ,24.464 ,74.549
COPACABANA ,"",3.749 ,9.843 ,13.592 ,5.721 ,10.228 ,15.949 ,5.248 ,9.182 ,14.429 ,43.970
LOS POZOS ,"",3.541 ,9.298 ,12.838 ,5.404 ,9.661 ,15.064 ,4.957 ,8.672 ,13.629 ,41.532
OLIVARES DE SAN NICOLAS ,"",7.389 ,19.403 ,26.791 ,11.277 ,20.160 ,31.437 ,10.344 ,18.098 ,28.442 ,86.670
VILLA GUTIERREZ ,"",4.770 ,12.526 ,17.296 ,7.280 ,13.015 ,20.294 ,6.678 ,11.683 ,18.361 ,55.951
otal ISCHILIN ,"",35.242 ,92.545 ,127.787 ,53.786 ,96.158 ,149.944 ,49.337 ,86.321 ,135.658 ,413.389
UAREZ CELMAN,"","","","","","","","","","",""
ASSUNTA ,"",3.197 ,8.396 ,11.593 ,4.880 ,8.724 ,13.603 ,4.476 ,7.831 ,12.307 ,37.504
EL RASTREADOR ,"",3.251 ,8.538 ,11.790 ,4.962 ,8.872 ,13.834 ,4.552 ,7.964 ,12.516 ,38.140
PACHECO DE MELO ,"",3.101 ,8.143 ,11.244 ,4.733 ,8.461 ,13.194 ,4.341 ,7.595 ,11.937 ,36.374
PASO DEL DURAZNO ,"",3.661 ,9.614 ,13.275 ,5.587 ,9.989 ,15.576 ,5.125 ,8.967 ,14.092 ,42.943
otal JUAREZ CELMAN ,"",13.211 ,34.691 ,47.902 ,20.162 ,36.045 ,56.207 ,18.494 ,32.358 ,50.852 ,154.961
ARCOS JUAREZ,"","","","","","","","","","",""
COLONIA BARGE ,"",3.795 ,9.966 ,13.762 ,5.792 ,10.356 ,16.148 ,5.313 ,9.296 ,14.609 ,44.519
SALADILLO ,"",3.795 ,9.966 ,13.762 ,5.792 ,10.356 ,16.148 ,5.313 ,9.296 ,14.609 ,44.519
VILLA ELISA ,"",2.864 ,7.520 ,10.383 ,4.370 ,7.813 ,12.184 ,4.009 ,7.014 ,11.023 ,33.590
otal MARCOS JUAREZ ,"",10.454 ,27.453 ,37.907 ,15.955 ,28.524 ,44.480 ,14.635 ,25.606 ,40.242 ,122.628
"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP COMUNAS ,"",1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
MINAS,"","","","","","","","","","",""
CIENAGA DEL CORO ,"",7.304 ,19.180 ,26.484 ,11.147 ,19.929 ,31.076 ,10.225 ,17.890 ,28.116 ,85.676
