"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
"",EMBALSE ,73.546 ,193.130 ,266.676 ,112.246 ,200.670 ,312.916 ,102.960 ,180.143 ,283.103 ,862.695
"",LA CRUZ ,29.827 ,78.323 ,108.150 ,45.521 ,81.381 ,126.902 ,41.755 ,73.056 ,114.812 ,349.863
"",LOS CONDORES ,39.185 ,102.897 ,142.081 ,59.803 ,106.914 ,166.717 ,54.856 ,95.978 ,150.833 ,459.632
"",RIO DE LOS SAUCES ,28.294 ,74.299 ,102.593 ,43.182 ,77.200 ,120.382 ,39.610 ,69.303 ,108.913 ,331.887
"",SAN AGUSTIN ,42.691 ,112.104 ,154.795 ,65.154 ,116.481 ,181.635 ,59.764 ,104.566 ,164.330 ,500.760
"",SANTA ROSA DE CALAMUCHITA ,96.198 ,252.612 ,348.809 ,146.816 ,262.474 ,409.290 ,134.671 ,235.624 ,370.296 ,1.128.395
"",VILLA DEL DIQUE ,39.904 ,104.785 ,144.688 ,60.900 ,108.876 ,169.776 ,55.862 ,97.739 ,153.601 ,468.066
"",VILLA GRAL. BELGRANO ,69.006 ,181.207 ,250.213 ,105.316 ,188.282 ,293.598 ,96.604 ,169.022 ,265.626 ,809.438
"",VILLA RUMIPAL ,36.713 ,96.406 ,133.118 ,56.030 ,100.169 ,156.200 ,51.395 ,89.923 ,141.318 ,430.636
"",VILLA YACANTO ,30.230 ,79.383 ,109.613 ,46.137 ,82.482 ,128.618 ,42.320 ,74.044 ,116.365 ,354.596
Total CALAMUCHITA ,"",485.593 ,1.275.144 ,1.760.737 ,741.105 ,1.324.929 ,2.066.034 ,679.800 ,1.189.396 ,1.869.196 ,5.695.967
CAPITAL,"","","","","","","","","","",""
"",CORDOBA ,8.061.636 ,21.169.497 ,29.231.133 ,12.303.557 ,21.996.005 ,34.299.562 ,11.285.791 ,19.745.938 ,31.031.729 ,94.562.424
Total CAPITAL ,"",8.061.636 ,21.169.497 ,29.231.133 ,12.303.557 ,21.996.005 ,34.299.562 ,11.285.791 ,19.745.938 ,31.031.729 ,94.562.424
COLON,"","","","","","","","","","",""
"",AGUA DE ORO ,32.718 ,85.916 ,118.634 ,49.934 ,89.270 ,139.204 ,45.803 ,80.138 ,125.941 ,383.779
"",COLONIA CAROYA ,139.695 ,366.833 ,506.527 ,213.200 ,381.155 ,594.355 ,195.564 ,342.165 ,537.729 ,1.638.611
"",COLONIA TIROLESA ,52.447 ,137.723 ,190.170 ,80.044 ,143.100 ,223.144 ,73.422 ,128.462 ,201.884 ,615.198
"",ESTACION GENERAL PAZ ,33.427 ,87.777 ,121.203 ,51.015 ,91.204 ,142.219 ,46.795 ,81.874 ,128.669 ,392.092
"",ESTACION JUAREZ CELMAN ,93.870 ,246.498 ,340.368 ,143.263 ,256.122 ,399.385 ,131.412 ,229.922 ,361.334 ,1.101.087
"",JESUS MARIA ,211.119 ,554.388 ,765.507 ,322.207 ,576.033 ,898.240 ,295.553 ,517.108 ,812.661 ,2.476.408
"",LA CALERA ,208.706 ,548.053 ,756.759 ,318.525 ,569.451 ,887.975 ,292.176 ,511.199 ,803.375 ,2.448.109
"",LA GRANJA ,38.202 ,100.316 ,138.518 ,58.303 ,104.233 ,162.536 ,53.480 ,93.571 ,147.051 ,448.105
"",MALVINAS ARGENTINAS ,97.687 ,256.523 ,354.210 ,149.089 ,266.538 ,415.627 ,136.756 ,239.273 ,376.029 ,1.145.867
"",MENDIOLAZA ,70.590 ,185.367 ,255.958 ,107.734 ,192.605 ,300.339 ,98.822 ,172.902 ,271.725 ,828.021
"",RIO CEBALLOS ,137.823 ,361.918 ,499.741 ,210.344 ,376.048 ,586.392 ,192.944 ,337.580 ,530.524 ,1.616.657
