M U N I C I P I O 	Total OCTUBRE 	Total NOVIEMBRE 	Total DICIEMBRE 
ACHIRAS 	169008	162593	175190
ADELIA MARIA 	314648	302705	326156
AGUA DE ORO 	151750	145990	157301
ALCIRA 	270319	260059	280207
ALEJANDRO 	253268	243655	262531
ALEJO LEDESMA 	194864	187467	201991
ALICIA 	190484	183254	197451
ALMAFUERTE 	426830	410629	442442
ALPA CORRAL 	119333	114804	123698
ALTA GRACIA 	1513335	1455894	1568687
ALTO ALEGRE 	122871	118207	127365
ALTOS DE CHIPION 	148117	142495	153535
ANISACATE 	184381	177383	191125
ARIAS 	316559	304544	328137
ARROYITO 	756015	727320	783667
ARROYO ALGODON 	114762	110406	118959
ARROYO CABRAL 	180380	173534	186978
AUSONIA 	125244	120491	129825
BALLESTEROS 	209832	201868	217507
BALLESTEROS SUR 	110644	106444	114690
BALNEARIA 	284409	273614	294811
BELL VILLE 	1105366	1063410	1145796
BENGOLEA 	120999	116406	125424
BENJAMIN GOULD 	114993	110628	119199
BERROTARAN 	296137	284897	306969
BIALET MASSE 	248780	239338	257880
BRINCKMAN 	404052	388716	418831
BUCHARDO 	153185	147371	158788
BULNES 	125645	120876	130241
CALCHIN 	158602	152582	164403
CALCHIN OESTE 	117614	113150	121916
CAMILO ALDAO 	249085	239630	258195
CANALS 	365293	351428	378654
CAÑADA DE LUQUE 	132783	127743	137639
CAP. GRAL. B. O'HIGGINS 	106738	102687	110642
CAPILLA DEL CARMEN 	103721	99785	107515
CAPILLA DEL MONTE 	392639	377735	407000
CARNERILLO 	154142	148291	159780
CARRILOBO 	146117	140571	151461
CAVANAGH 	130950	125980	135740
CHAJAN 	115530	111144	119755
CHARRAS 	125042	120296	129615
CHAZON 	125856	121079	130459
CHILIBROSTE 	109518	105362	113524
CINTRA 	133669	128595	138558
COLAZO 	139800	134493	144913
COLONIA ALMADA 	107848	103754	111792
COLONIA BISMARCK 	105047	101060	108889
COLONIA CAROYA 	647924	623331	671623
COLONIA ITALIANA 	115252	110877	119467
COLONIA MARINA 	128250	123382	132941
COLONIA PROSPERIDAD 	102594	98700	106346
COLONIA SAN BARTOLOME 	132118	127103	136950
COLONIA TIROLESA 	243256	234023	252153
COLONIA VIGNAUD 	120482	115909	124888
CORDOBA 	37390970	35971753	38758563
CORONEL BAIGORRIA 	139627	134327	144733
CORONEL MOLDES 	365078	351221	378431
CORRAL DE BUSTOS 	405045	389671	419861
CORRALITO 	147728	142120	153131
COSQUIN 	672002	646495	696581
COSTASACATE 	133692	128617	138582
CRUZ ALTA 	307894	296208	319156
CRUZ DEL EJE 	997863	959988	1034361
DALMACIO VELEZ 	140527	135194	145667
DEAN FUNES 	744381	716128	771608
DEL CAMPILLO 	205599	197795	213119
DESPEÑADEROS 	290471	279446	301095
DEVOTO 	280201	269565	290449
EL ARAÑADO 	142238	136839	147440
EL BRETE 	152374	146591	157947
EL FORTIN 	135862	130706	140832
EL TIO 	148737	143091	154177
ELENA 	183472	176508	190183
EMBALSE 	341118	328171	353595
ESTACION GENERAL PAZ 	155037	149152	160708
ESTACION JUAREZ CELMAN 	435381	418856	451306
ETRURIA 	213081	204994	220875
FREYRE 	296974	285702	307837
GENERAL BALDISSERA 	161292	155170	167191
GENERAL CABRERA 	439846	423151	455933
GENERAL DEHEZA 	404374	389026	419166
GENERAL LEVALLE 	273133	262766	283123
GENERAL ROCA 	174032	167426	180397
GUATIMOZIN 	171678	165161	177957
HERNANDO 	415276	399513	430465
HUANCHILLAS 	127034	122212	131680
HUERTA GRANDE 	266497	256382	276245
HUINCA RENANCO 	377311	362989	391111
IDIAZABAL 	141820	136437	147007
INRIVILLE 	213551	205445	221361
ISLA VERDE 	227197	218574	235507
ITALO 	132650	127615	137501
JAMES CRAIK 	239281	230199	248033
JESUS MARIA 	979198	942031	1015013
JOVITA 	245439	236123	254416
JUSTINIANO POSSE 	340960	328019	353432
LA CALERA 	968008	931266	1003413
LA CARLOTA 	477247	459133	494704
LA CAUTIVA 	118035	113555	122352
LA CESIRA 	133848	128767	138743
LA CRUZ 	138340	133089	143399
LA CUMBRE 	285520	274683	295965
LA FALDA 	528666	508600	548003
LA FRANCIA 	211869	203827	219619
LA GRANJA 	177185	170460	183666
LA LAGUNA 	135545	130400	140502
LA PALESTINA 	109688	105525	113700
LA PAQUITA 	119398	114867	123765
LA PARA 	215007	206846	222871
LA PAZ 	191101	183847	198090
LA PLAYOSA 	175092	168446	181496
LA PUERTA 	166491	160172	172581
LA TORDILLA 	131654	126657	136470
LABORDE 	274864	264431	284917
LABOULAYE 	736162	708220	763087
LAGUNA LARGA 	317316	305272	328922
LAS ACEQUIAS 	160311	154227	166175
LAS ARRIAS 	134014	128927	138916
LAS HIGUERAS 	275060	264619	285120
LAS JUNTURAS 	144141	138670	149413
LAS PEÑAS 	141092	135737	146253
LAS PERDICES 	244139	234873	253069
LAS TAPIAS 	151393	145646	156930
LAS VARAS 	132860	127817	137720
LAS VARILLAS 	598308	575598	620192
LAS VERTIENTES 	117975	113497	122290
LASPIUR 	167707	161342	173841
LEONES 	412955	397281	428059
LOS CERRILLOS 	166070	159766	172144
LOS CISNES 	110920	106710	114977
LOS COCOS 	124960	120217	129530
LOS CONDORES 	181743	174845	188391
LOS SURGENTES 	181188	174310	187815
LOS ZORROS 	114484	110139	118671
LOZADA 	126903	122086	131544
LUCA 	109719	105554	113732
LUCIO V. MANSILLA 	122255	117614	126726
LUQUE 	270729	260454	280632
MALAGUEÑO 	470235	452386	487434
MALVINAS ARGENTINAS 	453088	435890	469660
MANFREDI 	121057	116462	125484
MARCOS JUAREZ 	891648	857804	924261
MARULL 	147931	142317	153342
MATORRALES 	123722	119026	128247
MATTALDI 	152553	146763	158133
MELO 	131967	126958	136794
MENDIOLAZA 	327408	314981	339383
MINA CLAVERO 	362713	348946	375980
MIRAMAR 	160683	154584	166560
MONTE BUEY 	287245	276342	297751
MONTE CRISTO 	420891	404916	436285
MONTE DE LOS GAUCHOS 	115438	111057	119661
MONTE LEÑA 	107662	103576	111600
MONTE MAIZ 	313007	301126	324455
MONTE RALO 	110316	106128	114350
MORRISON 	193255	185920	200324
MORTEROS 	610594	587418	632928
NOETINGER 	241071	231921	249889
NONO 	155766	149854	161463
OBISPO TREJO 	176018	169337	182456
OLAETA 	111687	107448	115772
OLIVA 	465230	447571	482247
ONCATIVO 	471959	454046	489222
ORDOÑEZ 	172025	165496	178317
PAMPAYASTA SUD 	129150	124248	133873
PASCANAS 	177955	171201	184464
PASCO 	128515	123637	133216
PILAR 	500493	481496	518798
PIQUILLIN 	136636	131450	141633
PORTEÑA 	263675	253667	273319
POZO DEL MOLLE 	266328	256219	276069
PUEBLO ITALIANO 	142825	137404	148048
QUEBRACHO HERRADO 	103894	99951	107694
QUILINO 	256761	247015	266152
REDUCCION 	141369	136003	146540
RIO CEBALLOS 	639243	614980	662624
RIO CUARTO 	4801117	4618885	4976720
RIO DE LOS SAUCES 	131232	126251	136032
RIO PRIMERO 	330111	317581	342185
RIO SEGUNDO 	678669	652909	703492
RIO TERCERO 	1460932	1405481	1514368
ROSALES 	110211	106028	114242
SACANTA 	184759	177746	191517
SAIRA 	117395	112939	121689
SALDAN 	393046	378127	407422
SALSACATE 	163057	156868	169021
