MUNI			
ACHIRAS 	173094	192122	182713
ADELIA MARIA 	322256	357679	340163
AGUA DE ORO 	155419	172504	164056
ALCIRA 	276855	307288	292240
ALEJANDRO 	259391	287905	273806
ALEJO LEDESMA 	199575	221513	210665
ALICIA 	195090	216535	205931
ALMAFUERTE 	437150	485204	461443
ALPA CORRAL 	122219	135654	129010
ALTA GRACIA 	1549925	1720298	1636054
ALTO ALEGRE 	125842	139675	132835
ALTOS DE CHIPION 	151698	168374	160128
ANISACATE 	188839	209597	199333
ARIAS 	324213	359852	342229
ARROYITO 	774295	859408	817322
ARROYO ALGODON 	117537	130457	124068
ARROYO CABRAL 	184741	205049	195007
AUSONIA 	128273	142373	135401
BALLESTEROS 	214906	238529	226848
BALLESTEROS SUR 	113319	125775	119616
BALNEARIA 	291285	323305	307472
BELL VILLE 	1132092	1256535	1195002
BENGOLEA 	123924	137546	130811
BENJAMIN GOULD 	117773	130720	124318
BERROTARAN 	303298	336637	320152
BIALET MASSE 	254796	282804	268955
BRINCKMAN 	413822	459310	436818
BUCHARDO 	156889	174135	165607
BULNES 	128683	142829	135834
CALCHIN 	162437	180292	171463
CALCHIN OESTE 	120457	133699	127151
CAMILO ALDAO 	255107	283149	269283
CANALS 	374125	415250	394915
CAÑADA DE LUQUE 	135993	150942	143550
CAP. GRAL. B. O'HIGGINS 	109319	121336	115394
CAPILLA DEL CARMEN 	106229	117906	112132
CAPILLA DEL MONTE 	402131	446335	424478
CARNERILLO 	157869	175222	166642
CARRILOBO 	149650	166100	157966
CAVANAGH 	134117	148859	141569
CHAJAN 	118323	131329	124898
CHARRAS 	128065	142142	135182
CHAZON 	128899	143068	136062
CHILIBROSTE 	112166	124496	118399
CINTRA 	136901	151949	144508
COLAZO 	143180	158919	151136
COLONIA ALMADA 	110455	122597	116593
COLONIA BISMARCK 	107587	119413	113566
COLONIA CAROYA 	663590	736534	700465
COLONIA ITALIANA 	118038	131013	124598
COLONIA MARINA 	131351	145789	138650
COLONIA PROSPERIDAD 	105074	116625	110913
COLONIA SAN BARTOLOME 	135312	150186	142831
COLONIA TIROLESA 	249137	276523	262982
COLONIA VIGNAUD 	123395	136959	130252
CORDOBA 	38295027	42504550	40423074
CORONEL BAIGORRIA 	143002	158722	150949
CORONEL MOLDES 	373905	415006	394682
CORRAL DE BUSTOS 	414839	460439	437891
CORRALITO 	151299	167931	159707
COSQUIN 	688250	763904	726495
COSTASACATE 	136924	151975	144533
CRUZ ALTA 	315339	350002	332862
CRUZ DEL EJE 	1021990	1134331	1078782
DALMACIO VELEZ 	143925	159746	151923
DEAN FUNES 	762379	846183	804745
DEL CAMPILLO 	210570	233716	222271
DESPEÑADEROS 	297494	330196	314026
DEVOTO 	286975	318521	302923
EL ARAÑADO 	145677	161690	153772
EL BRETE 	156058	173213	164731
EL FORTIN 	139147	154443	146880
EL TIO 	152333	169078	160798
ELENA 	187908	208564	198350
EMBALSE 	349366	387770	368780
ESTACION GENERAL PAZ 	158786	176240	167609
ESTACION JUAREZ CELMAN 	445908	494924	470687
ETRURIA 	218233	242222	230361
FREYRE 	304155	337590	321057
GENERAL BALDISSERA 	165192	183350	174371
GENERAL CABRERA 	450481	499999	475514
GENERAL DEHEZA 	414152	459677	437166
GENERAL LEVALLE 	279737	310486	295281
GENERAL ROCA 	178240	197832	188144
GUATIMOZIN 	175829	195156	185599
HERNANDO 	425316	472068	448950
HUANCHILLAS 	130105	144407	137335
HUERTA GRANDE 	272941	302943	288108
HUINCA RENANCO 	386433	428912	407907
IDIAZABAL 	145249	161215	153321
INRIVILLE 	218714	242756	230868
ISLA VERDE 	232690	258268	245621
ITALO 	135857	150791	143406
JAMES CRAIK 	245066	272005	258685
JESUS MARIA 	1002873	1113113	1058603
JOVITA 	251373	279005	265342
JUSTINIANO POSSE 	349204	387590	368609
LA CALERA 	991413	1100393	1046506
LA CARLOTA 	488787	542516	515948
LA CAUTIVA 	120889	134178	127607
LA CESIRA 	137084	152153	144702
LA CRUZ 	141684	157259	149558
LA CUMBRE 	292424	324568	308674
LA FALDA 	541448	600966	571536
LA FRANCIA 	216991	240844	229049
LA GRANJA 	181469	201417	191554
LA LAGUNA 	138822	154082	146536
LA PALESTINA 	112340	124689	118583
LA PAQUITA 	122285	135727	129081
LA PARA 	220206	244412	232443
LA PAZ 	195721	217235	206597
LA PLAYOSA 	179326	199038	189291
LA PUERTA 	170517	189260	179992
LA TORDILLA 	134837	149659	142330
LABORDE 	281510	312454	297153
LABOULAYE 	753961	836839	795860
LAGUNA LARGA 	324989	360713	343048
LAS ACEQUIAS 	164187	182235	173311
LAS ARRIAS 	137254	152342	144881
LAS HIGUERAS 	281710	312677	297365
LAS JUNTURAS 	147626	163854	155830
LAS PEÑAS 	144504	160388	152534
LAS PERDICES 	250042	277528	263937
LAS TAPIAS 	155053	172097	163669
LAS VARAS 	136073	151030	143634
LAS VARILLAS 	612774	680132	646825
LAS VERTIENTES 	120827	134109	127542
LASPIUR 	171762	190643	181307
LEONES 	422940	469431	446442
LOS CERRILLOS 	170085	188781	179537
LOS CISNES 	113602	126090	119915
LOS COCOS 	127981	142049	135093
LOS CONDORES 	186138	206598	196481
LOS SURGENTES 	185568	205967	195880
LOS ZORROS 	117252	130141	123768
LOZADA 	129971	144258	137193
LUCA 	112372	124724	118616
LUCIO V. MANSILLA 	125211	138974	132169
LUQUE 	277275	307754	292683
MALAGUEÑO 	481605	534544	508367
MALVINAS ARGENTINAS 	464043	515052	489830
MANFREDI 	123984	137612	130873
MARCOS JUAREZ 	913206	1013589	963953
MARULL 	151508	168163	159927
MATORRALES 	126713	140642	133755
MATTALDI 	156242	173416	164924
MELO 	135158	150015	142669
MENDIOLAZA 	335325	372185	353958
MINA CLAVERO 	371483	412318	392126
MIRAMAR 	164568	182658	173713
MONTE BUEY 	294190	326528	310538
MONTE CRISTO 	431067	478452	455022
MONTE DE LOS GAUCHOS 	118230	131226	124800
MONTE LEÑA 	110265	122386	116392
MONTE MAIZ 	320575	355814	338389
MONTE RALO 	112983	125402	119261
MORRISON 	197928	219685	208927
MORTEROS 	625357	694099	660108
NOETINGER 	246900	274040	260620
NONO 	159532	177068	168397
OBISPO TREJO 	180274	200090	190292
OLAETA 	114387	126961	120744
OLIVA 	476478	528854	502956
ONCATIVO 	483371	536505	510232
ORDOÑEZ 	176184	195551	185975
PAMPAYASTA SUD 	132272	146812	139623
PASCANAS 	182258	202292	192386
PASCO 	131623	146091	138937
PILAR 	512594	568940	541078
PIQUILLIN 	139939	155322	147716
PORTEÑA 	270050	299735	285057
POZO DEL MOLLE 	272767	302751	287925
PTE.ROQUE SAENZ PEÑA			
PUEBLO ITALIANO 	146278	162357	154407
QUEBRACHO HERRADO 	106406	118103	112319
QUILINO 	262969	291875	277582
REDUCCION 	144787	160703	152833
RIO CEBALLOS 	654699	726666	691081
RIO CUARTO 	4917200	5457716	5190448
RIO DE LOS SAUCES 	134405	149179	141873
RIO PRIMERO 	338093	375257	356880
RIO SEGUNDO 	695078	771483	733703
RIO TERCERO 	1496256	1660729	1579402
ROSALES 	112876	125283	119148
SACANTA 	189226	210027	199742
SAIRA 	120234	133450	126915
SALDAN 	402549	446799	424919
SALSACATE 	167000	185357	176280
SALSIPUEDES 	360607	400246	380646
SAMPACHO 	338060	375221	356846
SAN AGUSTIN 	202793	225085	214062
SAN ANTONIO DE ARREDONDO 	197506	219216	208481
SAN ANTONIO DE LITIN 	135717	150635	143259
SAN BASILIO 	197279	218965	208242
SAN CARLOS MINAS 	149113	165505	157400
SAN ESTEBAN 	119368	132489	126001
SAN FRANCISCO 	2036983	2260895	2150177
SAN FRANCISCO DEL CHAÑAR 	199904	221878	211013
SAN JAVIER Y YACANTO 	143854	159667	151848
SAN JOSE 	162658	180538	171697
SAN JOSE DE LA DORMIDA 	254028	281952	268144
SAN JOSE DE LAS SALINAS 	119330	132447	125961
SAN MARCOS SIERRAS 	158089	175467	166874
SAN MARCOS SUD 	191728	212804	202383
SAN PEDRO 	243721	270512	257265
SAN PEDRO NORTE 	128450	142570	135588
SANTA CATALINA 	211351	234584	223096
SANTA EUFEMIA 	172458	191415	182041
SANTA MARIA 	345287	383242	364475
SANTA ROSA DE CALAMUCHITA 	456967	507199	482361
SANTA ROSA DE RIO PRIMERO 	355159	394199	374895
SANTIAGO TEMPLE 	178045	197616	187939
SARMIENTO 	140365	155795	148165
SEBASTIAN EL CANO 	177717	197252	187593
SEEBER 	118830	131893	125434
SERRANO 	195904	217439	206791
SERREZUELA 	183751	203950	193962
SILVIO PELLICO 	107770	119617	113759
SINSACATE 	140166	155573	147955
TANCACHA 	264790	293896	279504
TANTI 	268932	298494	283876
TICINO 	163581	181562	172671
TIO PUJIO 	178042	197614	187936
TOLEDO 	214972	238603	226918
TOSQUITA 	109601	121649	115692
TRANSITO 	191286	212313	201916
UCACHA 	258669	287103	273044
UNQUILLO 	611104	678279	645063
VALLE HERMOSO 	271783	301658	286885
VIAMONTE 	149517	165953	157826
VICUÑA MACKENNA 	417327	463201	440517
VILLA ALLENDE 	897636	996307	947517
VILLA ASCASUBI 	168141	186623	177484
VILLA CARLOS PAZ 	1787255	1983716	1886573
VILLA CONCEPCION DEL TIO 	150432	166968	158791
VILLA CURA BROCHERO 	270092	299782	285101
VILLA DE LAS ROSAS 	213783	237283	225663
VILLA DE MARIA 	261023	289716	275528
VILLA DE SOTO 	369595	410222	390133
VILLA DEL DIQUE 	189553	210389	200086
VILLA DEL ROSARIO 	554359	615296	585165
VILLA DEL TOTORAL 	378780	420417	399829
VILLA DOLORES 	1021957	1134295	1078747
VILLA FONTANA 	125354	139134	132320
VILLA GIARDINO 	243391	270146	256917
VILLA GRAL. BELGRANO 	327799	363831	346014
VILLA HUIDOBRO 	285284	316644	301137
VILLA MARIA 	2460173	2730604	2596885
VILLA NUEVA 	667130	740463	704202
VILLA PQUE.SANTA ANA 	172905	191912	182514
VILLA ROSSI 	110723	122895	116876
VILLA RUMIPAL 	174395	193565	184086
VILLA SANTA CRUZ DEL LAGO 	161986	179792	170988
VILLA SARMIENTO 	249937	277411	263826
VILLA TULUMBA 	147960	164224	156182
VILLA VALERIA 	193162	214395	203896
VILLA YACANTO 	143601	159386	151581
WENCESLAO ESCALANTE 	142321	157966	150230
