TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
CALAMUCHITA,"","","","","","","","","","","",""
"",EMBALSE ,137.957 ,236.036 ,"",373.993 ,194.428 253.988 ,"",448.416 ,157.096 312.281 ,"",469.377 ,1.291.786
"",LA CRUZ ,55.948 ,95.724 ,"",151.672 ,78.850 103.004 ,"",181.854 ,63.710 126.645 ,"",190.354 ,523.880
"",LOS CONDORES ,73.502 ,125.757 ,"",199.258 ,103.589 135.321 ,"",238.910 ,83.698 166.379 ,"",250.077 ,688.246
"",RIO DE LOS SAUCES ,53.074 ,90.805 ,"",143.879 ,74.798 97.712 ,"",172.510 ,60.436 120.138 ,"",180.574 ,496.963
"",SAN AGUSTIN ,80.079 ,137.009 ,"",217.088 ,112.858 147.430 ,"",260.288 ,91.188 181.267 ,"",272.454 ,749.830
"",SANTA ROSA DE CALAMUCHITA ,180.447 ,308.732 ,"",489.179 ,254.310 332.214 ,"",586.523 ,205.479 408.460 ,"",613.939 ,1.689.641
"",VILLA DEL DIQUE ,74.850 ,128.064 ,"",202.914 ,105.489 137.804 ,"",243.294 ,85.234 169.432 ,"",254.666 ,700.874
"",VILLA GRAL. BELGRANO ,129.441 ,221.464 ,"",350.905 ,182.425 238.309 ,"",420.734 ,147.398 293.003 ,"",440.400 ,1.212.039
"",VILLA RUMIPAL ,68.865 ,117.823 ,"",186.688 ,97.054 126.785 ,"",223.838 ,78.418 155.883 ,"",234.301 ,644.827
"",VILLA YACANTO ,56.705 ,97.018 ,"",153.723 ,79.916 104.397 ,"",184.314 ,64.571 128.358 ,"",192.929 ,530.966
Total CALAMUCHITA ,"",910.867 ,1.558.432 ,"",2.469.299 ,1.283.716 1.676.964 ,"",2.960.680 ,1.037.229 2.061.844 ,"",3.099.073 ,8.529.052
CAPITAL,"","","","","","","","","","","",""
"",CORDOBA ,15.121.884 ,25.872.544 ,"",40.994.428 ,21.311.798 27.840.367 ,"",49.152.165 ,17.219.705 34.229.999 ,"",51.449.704 ,141.596.297
Total CAPITAL ,"",15.121.884 ,25.872.544 ,"",40.994.428 ,21.311.798 27.840.367 ,"",49.152.165 ,17.219.705 34.229.999 ,"",51.449.704 ,141.596.297
COLON,"","","","","","","","","","","",""
"",AGUA DE ORO ,61.372 ,105.003 ,"",166.375 ,86.493 112.989 ,"",199.483 ,69.886 138.921 ,"",208.807 ,574.665
"",COLONIA CAROYA ,262.037 ,448.329 ,"",710.366 ,369.298 482.428 ,"",851.726 ,298.389 593.150 ,"",891.539 ,2.453.631
"",COLONIA TIROLESA ,98.379 ,168.320 ,"",266.699 ,138.649 181.122 ,"",319.771 ,112.027 222.691 ,"",334.718 ,921.188
"",ESTACION GENERAL PAZ ,62.701 ,107.277 ,"",169.978 ,88.367 115.437 ,"",203.803 ,71.399 141.931 ,"",213.330 ,587.112
"",ESTACION JUAREZ CELMAN ,176.080 ,301.260 ,"",477.340 ,248.155 324.174 ,"",572.329 ,200.507 398.575 ,"",599.081 ,1.648.750
"",JESUS MARIA ,396.013 ,677.552 ,"",1.073.565 ,558.115 729.086 ,"",1.287.201 ,450.951 896.418 ,"",1.347.369 ,3.708.135
"",LA CALERA ,391.488 ,669.810 ,"",1.061.297 ,551.737 720.754 ,"",1.272.491 ,445.798 886.174 ,"",1.331.972 ,3.665.761
"",LA GRANJA ,71.658 ,122.603 ,"",194.261 ,100.991 131.928 ,"",232.918 ,81.599 162.206 ,"",243.806 ,670.985
"",MALVINAS ARGENTINAS ,183.241 ,313.512 ,"",496.753 ,258.247 337.358 ,"",595.605 ,208.661 414.785 ,"",623.446 ,1.715.803
"",MENDIOLAZA ,132.412 ,226.549 ,"",358.961 ,186.614 243.780 ,"",430.393 ,150.782 299.730 ,"",450.511 ,1.239.866
"",RIO CEBALLOS ,258.527 ,442.322 ,"",700.849 ,364.351 475.964 ,"",840.315 ,294.391 585.203 ,"",879.594 ,2.420.758
"",SALDAN ,158.958 ,271.967 ,"",430.925 ,224.025 292.652 ,"",516.677 ,181.010 359.818 ,"",540.828 ,1.488.430
"",SALSIPUEDES ,142.396 ,243.630 ,"",386.026 ,200.684 262.160 ,"",462.844 ,162.150 322.329 ,"",484.479 ,1.333.349
"",UNQUILLO ,241.312 ,412.869 ,"",654.181 ,340.089 444.271 ,"",784.361 ,274.789 546.236 ,"",821.024 ,2.259.566
"",VILLA ALLENDE ,354.457 ,606.452 ,"",960.910 ,499.549 652.578 ,"",1.152.127 ,403.630 802.351 ,"",1.205.981 ,3.319.018
Total COLON ,"",2.991.031 ,5.117.455 ,"",8.108.486 ,4.215.364 5.506.681 ,"",9.722.044 ,3.405.969 6.770.517 ,"",10.176.486 ,28.007.016
CRUZ DEL EJE,"","","","","","","","","","","",""
"",CRUZ DEL EJE ,403.562 ,690.468 ,"",1.094.030 ,568.754 742.984 ,"",1.311.738 ,459.547 913.506 ,"",1.373.053 ,3.778.820
"",EL BRETE ,61.624 ,105.435 ,"",167.059 ,86.849 113.454 ,"",200.303 ,70.173 139.493 ,"",209.666 ,577.028
"",SAN MARCOS SIERRAS ,62.426 ,106.807 ,"",169.233 ,87.979 114.930 ,"",202.910 ,71.086 141.308 ,"",212.394 ,584.537
"",SERREZUELA ,72.559 ,124.144 ,"",196.704 ,102.260 133.586 ,"",235.847 ,82.625 164.246 ,"",246.871 ,679.422
"",VILLA DE SOTO ,145.945 ,249.702 ,"",395.647 ,205.685 268.694 ,"",474.380 ,166.192 330.362 ,"",496.554 ,1.366.580
Total CRUZ DEL EJE ,"",746.117 ,1.276.556 ,"",2.022.672 ,1.051.528 1.373.649 ,"",2.425.177 ,849.623 1.688.914 ,"",2.538.538 ,6.986.387
GENERAL ROCA,"","","","","","","","","","","",""
"",BUCHARDO ,61.952 ,105.996 ,"",167.948 ,87.311 114.058 ,"",201.369 ,70.547 140.235 ,"",210.782 ,580.099
"",DEL CAMPILLO ,83.150 ,142.263 ,"",225.413 ,117.186 153.084 ,"",270.269 ,94.685 188.218 ,"",282.903 ,778.585
"",HUINCA RENANCO ,152.594 ,261.079 ,"",413.673 ,215.056 280.936 ,"",495.992 ,173.763 345.413 ,"",519.177 ,1.428.842
"",ITALO ,53.647 ,91.786 ,"",145.433 ,75.607 98.768 ,"",174.374 ,61.089 121.436 ,"",182.525 ,502.332
"",JOVITA ,99.262 ,169.831 ,"",269.092 ,139.893 182.748 ,"",322.641 ,113.032 224.690 ,"",337.722 ,929.456
"",MATTALDI ,61.696 ,105.559 ,"",167.255 ,86.951 113.587 ,"",200.538 ,70.255 139.657 ,"",209.912 ,577.705
"",VILLA HUIDOBRO ,112.653 ,192.741 ,"",305.394 ,158.765 207.401 ,"",366.166 ,128.281 255.001 ,"",383.282 ,1.054.841
"",VILLA VALERIA ,76.275 ,130.502 ,"",206.778 ,107.498 140.428 ,"",247.926 ,86.857 172.658 ,"",259.515 ,714.218
Total GENERAL ROCA ,"",701.229 ,1.199.757 ,"",1.900.986 ,988.267 1.291.009 ,"",2.279.275 ,798.509 1.587.307 ,"",2.385.816 ,6.566.078
GENERAL SAN MARTIN,"","","","","","","","","","","",""
"",ARROYO ALGODON ,46.413 ,79.409 ,"",125.822 ,65.411 85.449 ,"",150.860 ,52.851 105.060 ,"",157.912 ,434.593
"",ARROYO CABRAL ,72.950 ,124.813 ,"",197.764 ,102.812 134.306 ,"",237.118 ,83.071 165.131 ,"",248.202 ,683.083
"",AUSONIA ,50.652 ,86.662 ,"",137.315 ,71.386 93.254 ,"",164.640 ,57.679 114.656 ,"",172.335 ,474.290
TOTAL BRUTO ,"",MES ,QUINC.,"","","","","","","","",""
"","",04 - ABRIL ,"","",ABRIL ,05 - MAYO ,"",MAYO ,06 - JUNIO ,"",JUNIO ,Total general
DEPARTAMENTO ,M U N I C I P I O ,1ª ,2ª ,"","",1ª 2ª ,"","",1ª 2ª,"","",""
"",CHAZON ,50.899 ,87.086 ,"",137.985 ,71.734 93.709 ,"",165.444 ,57.961 115.216 ,"",173.177 ,476.606
"",ETRURIA ,86.176 ,147.441 ,"",233.617 ,121.450 158.655 ,"",280.105 ,98.131 195.068 ,"",293.199 ,806.921
"",LA LAGUNA ,54.818 ,93.790 ,"",148.607 ,77.257 100.923 ,"",178.180 ,62.423 124.086 ,"",186.509 ,513.296
"",LA PALESTINA ,44.361 ,75.898 ,"",120.259 ,62.519 81.671 ,"",144.190 ,50.515 100.415 ,"",150.930 ,415.379
"",LA PLAYOSA ,70.812 ,121.154 ,"",191.966 ,99.798 130.369 ,"",230.167 ,80.635 160.290 ,"",240.925 ,663.058
