COMUNAS 	2010 JUL	2010 AGO	2010 SEP
ALDEA SANTA MARIA	22334	21610	22755
ALTO DE LOS QUEBRACHOS 	21746	21041	22155
AMBOY 	24168	23385	24624
AMBUL 	48854	47270	49774
ANA ZUMARAN	20862	20186	21255
ARROYO LOS PATOS 	39386	38109	40128
ASSUNTA 	19196	18574	19558
ATAHONA 	24815	24010	25282
AVELLANEDA 	32560	31504	33173
BAÑADO DE SOTO 	43917	42493	44744
BOWER 	82214	79548	83763
CABALANGO 	30705	29709	31283
CALMAYO 	20302	19644	20684
CAMINIAGA	28664	27735	29204
CANDELARIA SUD	26851	25980	27357
CAÑADA DE MACHADO 	24544	23748	25006
CAÑADA DE RIO PINTO 	24110	23328	24564
CAÑADA DEL SAUCE 	20406	19744	20790
CAPILLA DE LOS REMEDIOS 	52943	51226	53940
CAPILLA DE SITON	33966	32865	34606
CASA GRANDE 	35907	34743	36585
CERRO COLORADO 	28379	27459	28914
CHALACEA 	24621	23823	25085
CHANCANI 	38666	37412	39395
CHAÑAR VIEJO 	24066	23286	24520
CHARBONIER 	33512	32425	34143
CHUCUL 	28705	27774	29246
CHUÑA 	38158	36921	38876
CHUÑA HUASI	26325	25471	26821
CHURQUI CAÑADA	21273	20583	21673
CIENAGA DEL CORO 	43853	42431	44679
COLONIA ANITA 	16780	16236	17096
COLONIA BARGE 	22787	22048	23216
COLONIA BREMEN	20396	19734	20780
COLONIA ITURRASPE 	17255	16696	17580
COLONIA LAS CUATRO ESQUINAS 	21955	21243	22369
COLONIA LAS PICHANAS 	26058	25213	26549
COLONIA SAN PEDRO 	20908	20230	21302
COLONIA VALTELINA 	23355	22598	23795
COLONIA VICENTE AGUERO 	28617	27689	29156
COLONIA VIDELA 	18810	18200	19164
COMECHINGONES 	30147	29169	30714
CONLARA 	31805	30773	32404
COPACABANA 	22506	21776	22930
CRUZ DE CAÑA 	25342	24520	25819
CUESTA BLANCA 	26769	25901	27273
DIEGO DE ROJAS 	37217	36011	37918
DIQUE CHICO 	26198	25349	26691
EL CHACHO 	28318	27399	28851
EL CRISPIN 	23733	22963	24180
EL MANZANO 	58775	56869	59882
EL RASTREADOR 	19522	18889	19889
EL RODEO	29227	28279	29777
ESQUINA 	28524	27599	29061
ESTANCIA DE GUADALUPE 	35534	34382	36204
ESTANCIA VIEJA 	40665	39346	41430
EUFRASIO LOZA 	27900	26995	28426
FALDA DEL CARMEN	62244	60226	63416
GENERAL FOTHERINGHAM	29028	28087	29575
GUANACO MUERTO 	40565	39250	41329
GUASAPAMPA 	29669	28707	30227
GUTEMBERG 	44513	43069	45351
IMPIRA 	21920	21209	22332
KILOMETRO 658 	29683	28720	30242
LA BATEA 	24295	23507	24752
"LA CAROLINA ""EL POTOSI"" "	22682	21946	23109
LA CUMBRECITA 	45641	44161	46500
LA HIGUERA 	33687	32594	34321
LA PAISANITA	24626	23828	25090
LA PAMPA	42888	41498	43696
LA PLAYA 	26469	25611	26968
LA POBLACION 	34167	33059	34810
LA POSTA 	26283	25430	26778
LA QUINTA 	24583	23785	25046
LA RANCHERITA	21268	20578	21669
LA RINCONADA 	35528	34376	36197
LA SERRANITA	30664	29669	31241
LAS ALBAHACAS 	32376	31326	32986
LAS BAJADAS 	22753	22015	23182
LAS CALERAS 	26619	25756	27121
LAS CALLES 	42897	41506	43705
LAS CAÑADAS 	23946	23169	24396
LAS GRAMILLAS 	20023	19374	20400
LAS ISLETILLAS	25916	25076	26404
LAS PALMAS 	24235	23450	24692
LAS PEÑAS SUD 	22290	21567	22709
LAS PLAYAS 	33792	32696	34428
LAS RABONAS 	41975	40614	42765
LAS SALADAS 	22535	21804	22959
LEGUIZAMON 	19009	18392	19367
LOS CEDROS	53242	51515	54244
LOS CHAÑARITOS 	25453	24628	25933
LOS CHAÑARITOS (C.D.EJE) 	39762	38473	40511
LOS HORNILLOS 	54365	52602	55389
LOS HOYOS 	24745	23943	25211
LOS MISTOLES	18544	17943	18893
LOS MOLINOS 	29381	28428	29934
LOS POZOS 	21258	20569	21658
LOS REARTES 	64247	62164	65457
LOS TALARES 	23618	22852	24062
LUTTI 	21994	21280	22408
LUYABA 	70387	68104	71712
MALENA 	27137	26257	27648
MAQUINISTA GALLINI 	21569	20869	21975
MAYU SUMAJ 	55245	53453	56285
MEDIA NARANJA 	54496	52729	55522
MI GRANJA 	60000	58054	61130
NICOLAS BRUZZONE 	25034	24222	25506
OLIVARES DE SAN NICOLAS 	44362	42923	45197
ONAGOITY 	19814	19171	20187
PACHECO DE MELO 	18618	18014	18969
PAMPAYASTA NORTE	19691	19053	20062
PANAHOLMA 	37720	36496	38430
PASO DEL DURAZNO 	21980	21267	22394
PASO VIEJO 	59524	57594	60645
PINCEN 	28540	27614	29077
PLAZA DE MERCEDES 	19598	18963	19967
PLAZA LUXARDO 	24122	23340	24576
POTRERO DE GARAY	52098	50409	53080
POZO NUEVO	40443	39132	41205
PUESTO DE CASTRO 	20752	20079	21143
PUNTA DEL AGUA	22489	21760	22913
RAFAEL GARCIA	34879	33748	35536
RANQUELES 	18770	18161	19123
RAYO CORTADO 	43594	42181	44415
RINCON 	37645	36424	38354
RIO BAMBA 	21007	20325	21402
ROSARIO DEL SALADILLO	32920	31853	33540
SAGRADA FAMILIA 	19135	18514	19495
SALADILLO 	22787	22048	23216
SAN CLEMENTE	21733	21028	22142
SAN GERONIMO 	35930	34765	36607
SAN IGNACIO 	27241	26357	27754
SAN JOAQUIN 	21155	20469	21553
SAN LORENZO 	52294	50598	53279
SAN ROQUE 	52164	50473	53147
SAN VICENTE 	77152	74650	78605
SANTA ELENA 	28260	27343	28792
SAUCE ARRIBA 	45521	44045	46378
SEGUNDA USINA 	20129	19477	20508
SIMBOLAR	30889	29888	31471
SUCO 	27172	26291	27684
TALA CAÑADA 	35533	34381	36202
TALA HUASI 	20780	20106	21171
TALAINI 	23092	22343	23527
TINOCO 	31817	30785	32416
TORO PUJIO 	28177	27263	28707
TOSNO 	26256	25404	26750
TUCLAME 	43254	41851	44068
VALLE DE ANISACATE	29020	28079	29567
VILLA AMANCAY 	34387	33272	35034
VILLA C.PAR. LOS REARTES 	44605	43158	45445
VILLA CANDELARIA NORTE 	39641	38355	40387
VILLA CERRO AZUL 	24056	23276	24509
VILLA CIUDAD DE AMERICA	43846	42424	44672
VILLA DE POCHO 	31694	30666	32290
VILLA DEL PRADO	64495	62403	65709
VILLA EL CHACAY 	22539	21808	22964
VILLA ELISA 	17193	16635	17517
VILLA GUTIERREZ 	28638	27710	29178
VILLA LA BOLSA	45847	44360	46710
VILLA LOS AROMOS	45632	44152	46492
VILLA LOS PATOS	16734	16191	17049
VILLA PARQUE SIQUIMAN 	60549	58586	61690
VILLA QUILLINZO 	19370	18742	19735
VILLA SAN ESTEBAN 	18607	18003	18957
VILLA SAN ISIDRO	55957	54142	57010
VILLA SARMIENTO 	31075	30067	31660
WASHINGTON 	35762	34602	36435
YCHO CRUZ 	81187	78554	82716
