COMUNAS 	2010 OCT	2010 NOV	2010 DIC
ALDEA SANTA MARIA 	21731	23107	20114
ALTO DE LOS QUEBRACHOS 	21159	22498	19584
AMBOY 	23516	25004	21766
AMBUL 	47535	50544	43998
ANA ZUMARAN 	20299	21584	18789
ARROYO LOS PATOS 	38323	40749	35471
ASSUNTA 	18678	19860	17288
ATAHONA 	24144	25673	22348
AVELLANEDA 	31681	33686	29324
BAÑADO DE SOTO 	42731	45436	39552
BOWER 	79994	85058	74043
CABALANGO 	29876	31767	27653
CALMAYO 	19754	21004	18284
CAMINIAGA 	27890	29656	25815
CANDELARIA SUD 	26126	27780	24182
CAÑADA DE MACHADO 	23881	25393	22104
CAÑADA DE RIO PINTO 	23459	24944	21714
CAÑADA DEL SAUCE 	19854	21111	18377
CAPILLA DE LOS REMEDIOS 	51513	54775	47681
CAPILLA DE SITON 	33049	35141	30590
CASA GRANDE 	34939	37150	32339
CERRO COLORADO 	27613	29361	25559
CHALACEA 	23956	25473	22174
CHANCANI 	37622	40004	34823
CHAÑAR VIEJO 	23416	24899	21674
CHARBONIER 	32606	34671	30181
CHUCUL 	27930	29698	25853
CHUÑA 	37127	39478	34365
CHUÑA HUASI 	25614	27235	23708
CHURQUI CAÑADA 	20698	22009	19158
CIENAGA DEL CORO 	42669	45370	39494
COLONIA ANITA 	16327	17361	15113
COLONIA BARGE 	22172	23575	20522
COLONIA BREMEN 	19845	21101	18368
COLONIA ITURRASPE 	16789	17852	15540
COLONIA LAS CUATRO ESQUINAS 	21362	22715	19773
COLONIA LAS PICHANAS 	25354	26959	23468
COLONIA SAN PEDRO 	20343	21631	18830
COLONIA VALTELINA 	22724	24163	21034
COLONIA VICENTE AGUERO 	27844	29607	25773
COLONIA VIDELA 	18302	19460	16940
COMECHINGONES 	29332	31189	27150
CONLARA 	30946	32905	28643
COPACABANA 	21898	23284	20269
CRUZ DE CAÑA 	24658	26219	22823
CUESTA BLANCA 	26046	27695	24110
DIEGO DE ROJAS 	36212	38505	33518
DIQUE CHICO 	25491	27104	23594
EL CHACHO 	27553	29297	25503
EL CRISPIN 	23092	24554	21374
EL MANZANO 	57187	60808	52933
