M U N I C I P I O 	Total 	Total 	Total
ACHIRAS 	289225	295090	300695
ADELIA MARIA 	533265	544079	554414
AGUA DE ORO 	261087	266382	271442
ALCIRA 	460675	470018	478945
ALEJANDRO 	435853	444692	453138
ALEJO LEDESMA 	331286	338004	344425
ALICIA 	328296	334954	341316
ALMAFUERTE 	724543	739236	753278
ALPA CORRAL 	203575	207703	211648
ALTA GRACIA 	2599708	2652430	2702813
ALTO ALEGRE 	209870	214126	218193
ALTOS DE CHIPION 	252689	257813	262711
ANISACATE 	317801	324246	330405
ARIAS 	533042	543852	554182
ARROYITO 	1307848	1334371	1359717
ARROYO ALGODON 	195707	199676	203469
ARROYO CABRAL 	311153	317463	323493
AUSONIA 	211718	216012	220115
BALLESTEROS 	359431	366720	373686
BALLESTEROS SUR 	188936	192768	196429
BALNEARIA 	485948	495803	505221
BELL VILLE 	1898423	1936923	1973714
BENGOLEA 	206443	210630	214631
BENJAMIN GOULD 	196193	200172	203974
BERROTARAN 	502785	512982	522726
BIALET MASSE 	431005	439745	448098
BOWER 	265344	270725	275867
BRINCKMAN 	692334	706375	719792
BUCHARDO 	262291	267611	272694
BULNES 	214078	218419	222568
CALCHIN 	272546	278073	283355
CALCHIN OESTE 	200710	204780	208670
CAMILO ALDAO 	423895	432491	440706
CANALS 	627493	640219	652379
CAÑADA DE LUQUE 	226277	230865	235251
CAP. GRAL. B. O'HIGGINS 	181954	185644	189170
CAPILLA DEL CARMEN 	177258	180853	184288
CAPILLA DEL MONTE 	671702	685324	698342
CARNERILLO 	263848	269199	274312
CARRILOBO 	249300	254355	259187
CAVANAGH 	223010	227533	231855
CHAJAN 	196692	200681	204493
CHARRAS 	213293	217618	221752
CHAZON 	214413	218761	222916
CHILIBROSTE 	188727	192554	196211
CINTRA 	228871	233512	237948
COLAZO 	238620	243459	248084
COLONIA ALMADA 	184072	187805	191373
COLONIA BISMARCK 	179383	183021	186497
COLONIA CAROYA 	1135199	1158221	1180221
COLONIA ITALIANA 	198284	202305	206148
COLONIA MARINA 	219057	223500	227745
COLONIA PROSPERIDAD 	177031	180621	184052
COLONIA SAN BARTOLOME 	225341	229910	234278
COLONIA TIROLESA 	424780	433394	441626
COLONIA VIGNAUD 	206966	211163	215174
CORDOBA 	64043751	65342559	66583702
CORONEL BAIGORRIA 	237428	242243	246844
CORONEL MOLDES 	617900	630431	642406
CORRAL DE BUSTOS 	688313	702272	715611
CORRALITO 	254404	259564	264494
COSQUIN 	1151173	1174519	1196828
COSTASACATE 	228197	232825	237248
CRUZ ALTA 	522394	532988	543111
CRUZ DEL EJE 	1723123	1758068	1791462
DALMACIO VELEZ 	242051	246960	251650
DEAN FUNES 	1270979	1296755	1321386
DEL CAMPILLO 	357559	364811	371740
DESPEÑADEROS 	492173	502154	511692
DEVOTO 	478294	487994	497263
EL ARAÑADO 	250314	255390	260241
EL BRETE 	260382	265663	270709
EL FORTIN 	231834	236535	241028
EL TIO 	253588	258730	263645
ELENA 	311554	317873	323911
EMBALSE 	592847	604870	616359
ESTACION GENERAL PAZ 	265506	270891	276036
ESTACION JUAREZ CELMAN 	746998	762147	776624
ETRURIA 	369601	377097	384260
FREYRE 	507438	517729	527563
GENERAL BALDISSERA 	279579	285249	290667
GENERAL CABRERA 	750585	765807	780353
GENERAL DEHEZA 	689730	703718	717085
GENERAL LEVALLE 	466365	475823	484861
GENERAL ROCA 	295706	301703	307433
GUATIMOZIN 	291457	297368	303016
HERNANDO 	708964	723343	737083
HUANCHILLAS 	216794	221190	225392
HUERTA GRANDE 	458500	467798	476684
HUINCA RENANCO 	637749	650683	663042
IDIAZABAL 	242288	247201	251897
INRIVILLE 	362770	370127	377157
ISLA VERDE 	385705	393527	401001
ITALO 	225811	230390	234766
JAMES CRAIK 	412561	420928	428924
JESUS MARIA 	1679098	1713150	1745690
JOVITA 	432234	441000	449376
JUSTINIANO POSSE 	584059	595904	607223
LA CALERA 	1676069	1710060	1742541
LA CARLOTA 	818236	834830	850687
LA CAUTIVA 	201333	205416	209317
LA CESIRA 	227771	232390	236804
LA CRUZ 	243496	248434	253153
LA CUMBRE 	543603	554628	565162
LA FALDA 	908402	926824	944429
LA FRANCIA 	361875	369214	376227
LA GRANJA 	303289	309440	315318
LA LAGUNA 	231512	236208	240694
LA PALESTINA 	187624	191429	195065
LA PAQUITA 	205593	209763	213747
LA PARA 	368828	376308	383456
