M U N I C I P I O 	e	r	Total
ACHIRAS 	289753	323005	312662
ADELIA MARIA 	534238	595549	576478
AGUA DE ORO 	261564	291582	282244
ALCIRA 	461517	514481	498006
ALEJANDRO 	436649	486759	471172
ALEJO LEDESMA 	331891	369979	358132
ALICIA 	328895	366640	354899
ALMAFUERTE 	725866	809168	783256
ALPA CORRAL 	203946	227352	220071
ALTA GRACIA 	2604456	2903348	2810377
ALTO ALEGRE 	210253	234382	226877
ALTOS DE CHIPION 	253150	282202	273166
ANISACATE 	318381	354919	343554
ARIAS 	534015	595300	576237
ARROYITO 	1310236	1460602	1413829
ARROYO ALGODON 	196064	218565	211566
ARROYO CABRAL 	311721	347495	336367
AUSONIA 	212105	236447	228875
BALLESTEROS 	360087	401412	388558
BALLESTEROS SUR 	189281	211003	204247
BALNEARIA 	486835	542706	525327
BELL VILLE 	1901890	2120155	2052263
BENGOLEA 	206820	230555	223172
BENJAMIN GOULD 	196551	219108	212091
BERROTARAN 	503703	561510	543529
BIALET MASSE 	431791	481345	465932
BOWER 	265828	296336	286846
BRINCKMAN 	693599	773198	748438
BUCHARDO 	262770	292926	283546
BULNES 	214469	239082	231426
CALCHIN 	273043	304378	294631
CALCHIN OESTE 	201076	224153	216975
CAMILO ALDAO 	424669	473405	458245
CANALS 	226690	252705	244613
CAÑADA DE LUQUE 	628639	700783	678342
CAP. GRAL. B. O'HIGGINS 	182286	203205	196698
CAPILLA DEL CARMEN 	177582	197962	191622
CAPILLA DEL MONTE 	672929	750156	726135
CARNERILLO 	264330	294665	285229
CARRILOBO 	249755	278417	269502
CAVANAGH 	223418	249058	241082
CHAJAN 	197051	219665	212631
CHARRAS 	213682	238205	230577
CHAZON 	214804	239456	231788
CHILIBROSTE 	189071	210769	204020
CINTRA 	229289	255603	247418
COLAZO 	239056	266491	257957
COLONIA ALMADA 	184408	205572	198989
COLONIA BISMARCK 	179710	200334	193919
COLONIA CAROYA 	1137272	1267788	1227191
COLONIA ITALIANA 	198646	221443	214352
COLONIA MARINA 	219457	244643	236808
COLONIA PROSPERIDAD 	177354	197708	191377
COLONIA SAN BARTOLOME 	225752	251660	243601
COLONIA TIROLESA 	425555	474393	459202
COLONIA VIGNAUD 	207344	231139	223738
CORDOBA 	64160684	71523916	69233536
CORONEL BAIGORRIA 	237861	265159	256668
CORONEL MOLDES 	619029	690070	667972
CORRAL DE BUSTOS 	689569	768706	744090
CORRALITO 	254869	284118	275020
COSQUIN 	1153276	1285627	1244459
COSTASACATE 	228614	254850	246689
CRUZ ALTA 	523347	583408	564726
