MUNI	a	s	d
 ACHIRAS 	386946,1	395878,4	385858,7
 ADELIA MARIA 	713441,1	729910,2	711436,3
 AGUA DE ORO 	349301,7	357365	348320,1
 ALCIRA 	616325,4	630552,7	614594,5
 ALEJANDRO 	583116,1	596576,7	581478,5
 ALEJO LEDESMA 	443218,8	453450,1	441973,3
 ALICIA 	439218,6	449357,6	437984,4
 ALMAFUERTE 	969347	991723,4	966624
 ALPA CORRAL 	272357,3	278644,4	271591,9
 ALTA GRACIA 	3478083,5	3558371,6	3468310,6
 ALTOS DE CHIPION 	338066	345869,9	337116
 ARIAS 	713142,5	729604,7	711138,5
 ARROYITO 	1749736	1790126,9	1744821
 ARROYO ALGODON 	261831,6	267875,7	261095,8
 ARROYO CABRAL 	416283,6	425893,1	415114,8
 AUSONIA 	283252,4	289791	282456,5
 BALNEARIA 	650137,3	665145	648310,3
 BENGOLEA 	276195,1	282570,8	275419
 BERROTARAN 	672663,6	688191,4	670773,4
 BIALET MASSE 	576629,8	589940,8	575011,4
 BOWER 	354996,8	363191,6	353999,2
 BRINCKMAN 	926256,4	947638,1	923654,5
 BUCHARDO 	350912,8	359013,3	349927,7
 BULNES 	286409,1	293020,6	285604,3
 CALCHIN 	364631,9	373049,1	363607,2
 CALCHIN OESTE 	268524,8	274723,4	267770,2
 CAMILO ALDAO 	567117,9	580209,2	565524,2
 CAP. GRAL. B. O'HIGGINS 	243431,1	249050,5	242747
 CAPILLA DEL CARMEN 	237149,2	242623,5	236484,8
 CAPILLA DEL MONTE 	898653,1	919397,6	896129,8
 CARNERILLO 	352995,4	361144	352003,5
 CARRILOBO 	333531,4	341230,7	332594,1
 CAVANAGH 	298360	305247,3	297521,5
 CHAJAN 	263149,2	269223,8	262409,7
 CHARRAS 	285358,6	291945,9	284556,7
 CHAZON 	286857,1	293478,9	286051
 COLAZO 	319243,8	326613,3	318346,7
 COLONIA ALMADA 	246265,6	251950,4	245573,5
 COLONIA CAROYA 	1518753,5	1553812,4	1514487,5
 COLONIA ITALIANA 	265279	271402,7	264534,5
 COLONIA MARINA 	293070,9	299836,1	292247,3
