DEPARTAMENTO ,MUNICIPIOS ,"","",04- ABRIL ,TOTAL ABRIL ,"",05- MAYO ,TOTAL MAYO ,"",06-JUNIO ,TOTAL JUNIO , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,"",1° ,2° ,"",GENERAL 
CALAMUCHITA,"","","","","","","","","","","",""
"",EMBALSE ,"",2 99.700 ,569.985 ,869.685 ,384.549 ,646.576 ,1.031.126 ,383.284 ,665.409 ,1.048.693 ,2.949.504
"",LA CRUZ ,"",1 23.094 ,234.106 ,357.200 ,157.943 ,265.564 ,423.507 ,157.424 ,273.299 ,430.722 ,1.211.429
"",LOS CONDORES ,"",1 60.841 ,305.896 ,466.737 ,206.377 ,347.000 ,553.377 ,205.698 ,357.107 ,562.805 ,1.582.919
"",RIO DE LOS SAUCES ,"",114.134 ,217.067 ,331.201 ,146.448 ,246.235 ,392.683 ,145.966 ,253.407 ,399.373 ,1.123.257
"",SAN AGUSTIN ,"",173.158 ,329.320 ,502.478 ,222.181 ,373.572 ,595.753 ,221.450 ,384.454 ,605.904 ,1.704.135
"",SANTA ROSA DE CALAMUCHITA ,"",3 95.671 ,752.509 ,1.148.181 ,507.692 ,853.626 ,1.361.318 ,506.021 ,878.491 ,1.384.512 ,3.894.011
"",VILLA DEL DIQUE ,"",1 62.365 ,308.795 ,471.160 ,208.333 ,350.289 ,558.622 ,207.648 ,360.492 ,568.139 ,1.597.921
"",VILLA GRAL. BELGRANO ,"",277.754 ,528.247 ,806.001 ,356.390 ,599.229 ,955.619 ,355.217 ,616.685 ,971.902 ,2.733.522
"",VILLA RUMIPAL ,"",1 48.242 ,281.934 ,430.176 ,190.211 ,319.819 ,510.030 ,189.586 ,329.135 ,518.720 ,1.458.927
"",VILLA YACANTO ,"",121.829 ,231.700 ,353.529 ,156.320 ,262.835 ,419.155 ,155.806 ,270.490 ,426.296 ,1.198.979
Total CALAMUCHITA ,"",1 ,.976.787 ,3.759.561 ,5.736.347 ,2.536.444 ,4.264.746 ,6.801.190 ,2.528.099 ,4.388.968 ,6.917.067 ,19.454.605
CAPITAL,"","","","","","","","","","","",""
"",CORDOBA ,3 2.375.814 ,"",61.574.085 ,93.949.899 ,41.541.886 ,69.848.002 ,111.389.888 ,41.405.201 ,71.882.505 ,113.287.707 ,318.627.494
Total CAPITAL ,"",32.375.814 ,"",61.574.085 ,93.949.899 ,41.541.886 ,69.848.002 ,111.389.888 ,4 1.405.201 ,71.882.505 ,113.287.707 ,318.627.494
COLON,"","","","","","","","","","","",""
"",AGUA DE ORO ,"",131.986 ,251.019 ,383.006 ,169.354 ,284.749 ,454.103 ,168.797 ,293.043 ,461.840 ,1.298.949
"",COLONIA CAROYA ,"",5 73.873 ,1.091.423 ,1.665.297 ,736.345 ,1.238.082 ,1.974.427 ,733.922 ,1.274.145 ,2.008.067 ,5.647.791
"",COLONIA TIROLESA ,"",214.737 ,408.399 ,623.137 ,275.533 ,463.277 ,738.810 ,274.626 ,476.772 ,751.398 ,2.113.345
"",ESTACION GENERAL PAZ ,"",134.221 ,255.268 ,389.489 ,172.220 ,289.569 ,461.790 ,171.654 ,298.004 ,469.657 ,1.320.936
"",ESTACION JUAREZ CELMAN ,"",3 77.627 ,718.192 ,1.095.819 ,484.539 ,814.698 ,1.299.237 ,482.945 ,838.428 ,1.321.373 ,3.716.429
"",JESUS MARIA ,"",8 48.829 ,1.614.348 ,2.463.177 ,1.089.145 ,1.831.274 ,2.920.418 ,1.085.561 ,1.884.615 ,2.970.176 ,8.353.772
"",LA CALERA ,"",8 47.297 ,1.611.436 ,2.458.733 ,1.087.180 ,1.827.970 ,2.915.150 ,1.083.603 ,1.881.215 ,2.964.817 ,8.338.700
"",LA GRANJA ,"",1 53.321 ,291.594 ,444.915 ,196.728 ,330.776 ,527.505 ,196.081 ,340.411 ,536.492 ,1.508.911
"",MALVINAS ARGENTINAS ,"",3 95.698 ,752.560 ,1.148.258 ,507.726 ,853.684 ,1.361.410 ,506.055 ,878.550 ,1.384.605 ,3.894.274
"",MENDIOLAZA ,"",2 85.089 ,542.197 ,827.285 ,365.801 ,615.054 ,980.855 ,364.598 ,632.969 ,997.567 ,2.805.707
"",RIO CEBALLOS ,"",5 60.471 ,1.065.933 ,1.626.404 ,719.148 ,1.209.166 ,1.928.315 ,716.782 ,1.244.388 ,1.961.169 ,5.515.888
"",SALDAN ,"",3 38.913 ,644.563 ,983.476 ,434.864 ,731.175 ,1.166.040 ,433.433 ,752.473 ,1.185.906 ,3.335.422
"",SALSIPUEDES ,"",3 06.222 ,582.390 ,888.612 ,392.918 ,660.647 ,1.053.565 ,391.625 ,679.890 ,1.071.515 ,3.013.692
"",UNQUILLO ,"",5 11.528 ,972.852 ,1.484.380 ,656.349 ,1.103.577 ,1.759.927 ,654.190 ,1.135.722 ,1.789.912 ,5.034.218
"",VILLA ALLENDE ,"",7 70.822 ,1.465.991 ,2.236.813 ,989.053 ,1.662.981 ,2.652.034 ,985.799 ,1.711.421 ,2.697.220 ,7.586.067
Total COLON ,"",6 ,.450.634 ,12.268.167 ,18.718.800 ,8.276.904 ,13.916.681 ,22.193.585 ,8.249.671 ,14.322.045 ,22.571.715 ,63.484.101
CRUZ DEL EJE,"","","","","","","","","","","",""
"",CRUZ DEL EJE ,"",8 71.085 ,1.656.676 ,2.527.760 ,1.117.701 ,1.879.289 ,2.996.991 ,1.114.024 ,1.934.028 ,3.048.052 ,8.572.803
"",EL BRETE ,"",1 31.630 ,250.341 ,381.971 ,168.897 ,283.981 ,452.877 ,168.341 ,292.252 ,460.593 ,1.295.442
"",SAN MARCOS SIERRAS ,"",1 33.476 ,253.852 ,387.328 ,171.265 ,287.963 ,459.229 ,170.702 ,296.351 ,467.053 ,1.313.610
"",SERREZUELA ,"",1 55.214 ,295.195 ,450.410 ,199.158 ,334.862 ,534.020 ,198.503 ,344.615 ,543.118 ,1.527.547
"",VILLA DE SOTO ,"",3 13.354 ,595.953 ,909.307 ,402.069 ,676.034 ,1.078.103 ,4 00.746 ,695.725 ,1.096.471 ,3.083.881
Total CRUZ DEL EJE ,"",1 ,.604.759 ,3.052.018 ,4.656.777 ,2.059.090 ,3.462.128 ,5.521.219 ,2.052.315 ,3.562.972 ,5.615.287 ,15.793.283
GENERAL ROCA,"","","","","","","","","","","",""
"",BUCHARDO ,"",1 32.595 ,252.177 ,384.772 ,170.135 ,286.063 ,456.198 ,169.575 ,294.395 ,463.970 ,1.304.940
"",DEL CAMPILLO ,"",1 80.756 ,343.771 ,524.527 ,231.930 ,389.965 ,621.895 ,231.167 ,401.323 ,632.491 ,1.778.912
"",HUINCA RENANCO ,"",3 22.399 ,613.156 ,935.556 ,413.675 ,695.548 ,1.109.223 ,412.314 ,715.808 ,1.128.122 ,3.172.901
"",ITALO ,"",114.153 ,217.103 ,331.256 ,146.472 ,246.276 ,392.747 ,145.990 ,253.449 ,399.439 ,1.123.442
"",JOVITA ,"",218.506 ,415.566 ,634.072 ,280.368 ,471.407 ,751.775 ,279.446 ,485.138 ,764.584 ,2.150.432
"",MATTALDI ,"",131.032 ,249.204 ,380.236 ,168.129 ,282.691 ,450.820 ,167.576 ,290.925 ,458.501 ,1.289.558
"",VILLA HUIDOBRO ,"",2 39.241 ,455.002 ,694.244 ,306.974 ,516.142 ,823.117 ,305.964 ,531.176 ,837.141 ,2.354.501
"",VILLA VALERIA ,"",1 61.206 ,306.590 ,467.796 ,206.846 ,347.788 ,554.634 ,206.165 ,357.918 ,564.083 ,1.586.514
Total GENERAL ROCA ,"",1 ,.499.889 ,2.852.570 ,4.352.459 ,1.924.530 ,3.235.880 ,5.160.409 ,1.918.197 ,3.330.133 ,5.248.330 ,14.761.199
GENERAL SAN MARTIN,"","","","","","","","","","","",""
"",ARROYO ALGODON ,"",9 ,8.935 188.160 ,287.095 ,126.945 ,213.444 ,340.389 ,126.527 ,219.661 ,346.189 ,973.673
"",ARROYO CABRAL ,"",1 57.296 ,299.154 ,456.450 ,201.829 ,339.353 ,541.182 ,201.165 ,349.237 ,550.402 ,1.548.034
"",AUSONIA ,"",1 07.029 ,203.554 ,310.583 ,137.331 ,230.906 ,368.237 ,136.879 ,237.632 ,374.511 ,1.053.331
"",CHAZON ,"",1 08.391 ,206.144 ,314.536 ,139.078 ,233.845 ,372.923 ,138.621 ,240.656 ,379.277 ,1.066.736
"",ETRURIA ,"",1 86.843 ,355.349 ,542.192 ,239.741 ,403.098 ,642.840 ,238.953 ,414.839 ,653.792 ,1.838.824
"",LA LAGUNA ,"",1 17.036 ,222.585 ,339.620 ,150.170 ,252.494 ,402.664 ,149.676 ,259.849 ,409.525 ,1.151.810
"",LA PALESTINA ,"",9 ,4.849 180.389 ,275.238 ,121.702 ,204.629 ,326.331 ,121.302 ,210.589 ,331.891 ,933.459
"",LA PLAYOSA ,"",151.324 ,287.797 ,439.121 ,194.166 ,326.469 ,520.635 ,193.528 ,335.978 ,529.506 ,1.489.262
"",LUCA ,"",9 ,4.561 179.841 ,274.402 ,121.333 ,204.007 ,325.340 ,120.933 ,209.949 ,330.883 ,930.625
"",PASCO ,"",1 11.063 ,211.225 ,322.288 ,142.506 ,239.608 ,382.115 ,142.038 ,246.588 ,388.625 ,1.093.028
"",SILVIO PELLICO ,"",9 ,0.422 171.970 ,262.393 ,116.022 ,195.078 ,311.101 ,115.641 ,200.761 ,316.401 ,889.895
DEPARTAMENTO ,MUNICIPIOS ,"","",04- ABRIL ,"",TOTAL ABRIL ,"",05- MAYO ,"",TOTAL MAYO ,"",06-JUNIO ,"",TOTAL JUNIO , TOTAL 
"","","",1° ,"",2° ,"",1° ,"",2° ,"",1° ,"",2° ,"",GENERAL 
TICINO ,"","",137.467 ,"",261.443 ,398.910 ,176.386 ,"",296.574 ,472.960 ,175.806 ,"",305.212 ,481.018 ,1.352.888
TIO PUJIO ,"","",151.979 ,"",289.041 ,441.020 ,195.006 ,"",327.881 ,522.887 ,194.364 ,"",337.431 ,531.795 ,1.495.702
VILLA MARIA ,"","",2 .102.417 ,"",3.998.492 ,6.100.909 ,2.697.643 ,"",4.535.783 ,7.233.426 ,2.688.767 ,"",4.667.899 ,7.356.666 ,20.691.001
VILLA NUEVA ,"","",5 64.856 ,"",1.074.273 ,1.639.129 ,7 24.775 ,"",1.218.627 ,1.943.401 ,7 22.390 ,"",1.254.124 ,1.976.513 ,5.559.044
Total GENERAL SAN MARTIN ,"","",4 .274.469 ,"",8.129.418 ,12.403.887 ,5.484.635 ,"",9.221.795 ,14.706.430 ,5.466.589 ,"",9.490.405 ,14.956.994 ,42.067.311
ISCHILIN,"","","","","","","","","","","","","","",""
DEAN FUNES ,"","",6 42.514 ,"",1.221.968 ,1.864.482 ,824.419 ,"",1.386.168 ,2.210.587 ,821.706 ,"",1.426.543 ,2.248.250 ,6.323.318
QUILINO ,"","",223.135 ,"",424.371 ,647.506 ,286.308 ,"",481.395 ,767.704 ,285.366 ,"",495.417 ,780.783 ,2.195.993
Total ISCHILIN ,"","",865.649 ,"",1.646.339 ,2.511.988 ,1.110.727 ,"",1.867.563 ,2.978.290 ,1.107.073 ,"",1.921.960 ,3.029.033 ,8.519.311
JUAREZ CELMAN,"","","","","","","","","","","","","","",""
ALEJANDRO ,"","",2 20.335 ,"",419.045 ,639.380 ,282.715 ,"",475.354 ,758.069 ,281.785 ,"",489.200 ,770.985 ,2.168.434
BENGOLEA ,"","",1 04.363 ,"",198.482 ,302.845 ,133.909 ,"",225.153 ,359.062 ,133.469 ,"",231.711 ,365.180 ,1.027.087
CARNERILLO ,"","",1 33.382 ,"",253.673 ,387.056 ,171.145 ,"",287.760 ,458.905 ,170.582 ,"",296.142 ,466.724 ,1.312.684
CHARRAS ,"","",1 07.825 ,"",205.068 ,312.893 ,138.352 ,"",232.623 ,370.975 ,137.897 ,"",239.399 ,377.296 ,1.061.163
GENERAL CABRERA ,"","",3 79.441 ,"",721.641 ,1.101.082 ,486.866 ,"",818.610 ,1.305.476 ,485.264 ,"",842.454 ,1.327.718 ,3.734.276
GENERAL DEHEZA ,"","",3 48.677 ,"",663.133 ,1.011.810 ,447.393 ,"",752.240 ,1.199.633 ,445.920 ,"",774.152 ,1.220.073 ,3.431.515
HUANCHILLAS ,"","",1 09.595 ,"",208.434 ,318.029 ,140.623 ,"",236.442 ,377.064 ,140.160 ,"",243.328 ,383.489 ,1.078.582
LA CARLOTA ,"","",4 13.640 ,"",786.683 ,1.200.324 ,530.748 ,"",892.393 ,1.423.141 ,529.002 ,"",918.387 ,1.447.389 ,4.070.853
LOS CISNES ,"","",9 ,5.693 ,181.995 ,277.688 ,122.786 ,"",206.450 ,329.236 ,122.382 ,"",212.464 ,334.845 ,941.769
OLAETA ,"","",9 ,6.328 ,183.202 ,279.529 ,123.600 ,"",207.819 ,331.419 ,123.193 ,"",213.872 ,337.065 ,948.014
REDUCCION ,"","",1 22.043 ,"",232.109 ,354.152 ,156.596 ,"",263.298 ,419.894 ,156.080 ,"",270.967 ,427.048 ,1.201.093
SANTA EUFEMIA ,"","",144.984 ,"",275.739 ,420.723 ,186.031 ,"",312.791 ,498.822 ,185.419 ,"",321.902 ,507.321 ,1.426.867
UCACHA ,"","",2 18.062 ,"",414.723 ,632.785 ,279.799 ,"",470.451 ,750.250 ,278.878 ,"",484.155 ,763.033 ,2.146.068
Total JUAREZ CELMAN ,"","",2 .494.369 ,"",4.743.926 ,7.238.295 ,3.200.562 ,"",5.381.384 ,8.581.945 ,3.190.031 ,"",5.538.133 ,8.728.164 ,24.548.405
MARCOS JUAREZ,"","","","","","","","","","","","","","",""
ALEJO LEDESMA ,"","",1 67.474 ,"",318.511 ,485.985 ,214.888 ,"",361.310 ,576.198 ,214.181 ,"",371.834 ,586.015 ,1.648.198
ARIAS ,"","",2 69.467 ,"",512.486 ,781.953 ,345.757 ,"",581.351 ,927.107 ,344.619 ,"",598.284 ,942.903 ,2.651.964
CAMILO ALDAO ,"","",2 14.290 ,"",407.548 ,621.839 ,274.959 ,"",462.312 ,737.271 ,274.054 ,"",475.778 ,749.832 ,2.108.942
CAP. GRAL. B. O'HIGGINS ,"","",9 ,1.982 ,174.937 ,266.920 ,118.024 ,"",198.444 ,316.468 ,117.636 ,"",204.224 ,321.860 ,905.247
CAVANAGH ,"","",1 12.738 ,"",214.411 ,327.148 ,144.655 ,"",243.222 ,387.877 ,144.179 ,"",250.306 ,394.486 ,1.109.511
COLONIA ITALIANA ,"","",100.238 ,"",190.638 ,290.876 ,128.617 ,"",216.254 ,344.871 ,128.193 ,"",222.553 ,350.747 ,986.493
CORRAL DE BUSTOS ,"","",3 47.960 ,"",661.770 ,1.009.730 ,446.473 ,"",750.694 ,1.197.167 ,445.004 ,"",772.560 ,1.217.564 ,3.424.461
CRUZ ALTA ,"","",2 64.084 ,"",502.249 ,766.333 ,338.850 ,"",569.738 ,908.588 ,337.735 ,"",586.333 ,924.068 ,2.598.988
GENERAL BALDISSERA ,"","",1 41.335 ,"",268.798 ,410.133 ,181.349 ,"",304.917 ,486.266 ,180.752 ,"",313.799 ,494.551 ,1.390.949
GENERAL ROCA ,"","",1 49.487 ,"",284.303 ,433.790 ,191.809 ,"",322.505 ,514.315 ,191.178 ,"",331.899 ,523.077 ,1.471.182
GUATIMOZIN ,"","",147.339 ,"",280.218 ,427.557 ,189.053 ,"",317.871 ,506.924 ,188.431 ,"",327.130 ,515.561 ,1.450.042
INRIVILLE ,"","",1 83.390 ,"",348.781 ,532.170 ,235.310 ,"",395.647 ,630.957 ,234.536 ,"",407.172 ,641.707 ,1.804.835
ISLA VERDE ,"","",1 94.984 ,"",370.831 ,565.815 ,250.187 ,"",420.661 ,670.848 ,249.364 ,"",432.914 ,682.277 ,1.918.940
LEONES ,"","",3 56.604 ,"",678.208 ,1.034.812 ,457.563 ,"",769.341 ,1.226.905 ,456.058 ,"",791.750 ,1.247.808 ,3.509.525
LOS SURGENTES ,"","",1 56.216 ,"",297.100 ,453.317 ,200.443 ,"",337.023 ,537.466 ,199.784 ,"",346.839 ,546.623 ,1.537.406
MARCOS JUAREZ ,"","",7 70.268 ,"",1.464.937 ,2.235.205 ,988.342 ,"",1.661.785 ,2.650.127 ,985.090 ,"",1.710.190 ,2.695.280 ,7.580.612
MONTE BUEY ,"","",246.615 ,"",469.025 ,715.640 ,316.435 ,"",532.050 ,848.485 ,315.394 ,"",547.547 ,862.941 ,2.427.067
SAIRA ,"","",1 01.169 ,"",192.409 ,293.578 ,129.812 ,"",218.264 ,348.076 ,129.385 ,"",224.621 ,354.006 ,995.660
Total MARCOS JUAREZ ,"","",4 .015.639 ,"",7.637.160 ,11.652.799 ,5.152.525 ,"",8.663.391 ,13.815.916 ,5.135.572 ,"",8.915.736 ,14.051.308 ,39.520.022
MINAS,"","","","","","","","","","","","","","",""
SAN CARLOS MINAS ,"","",1 31.253 ,"",249.624 ,380.877 ,168.413 ,"",283.167 ,451.580 ,167.859 ,"",291.415 ,459.273 ,1.291.730
Total MINAS ,"","",1 31.253 ,"",249.624 ,380.877 ,168.413 ,"",283.167 ,451.580 ,167.859 ,"",291.415 ,459.273 ,1.291.730
POCHO,"","","","","","","","","","","","","","",""
SALSACATE ,"","",1 44.939 ,"",275.652 ,420.591 ,185.973 ,"",312.693 ,498.666 ,185.361 ,"",321.801 ,507.162 ,1.426.419
Total POCHO ,"","",1 44.939 ,"",275.652 ,420.591 ,185.973 ,"",312.693 ,498.666 ,185.361 ,"",321.801 ,507.162 ,1.426.419
PTE.ROQUE SAENZ PEÑA,"","","","","","","","","","","","","","",""
GENERAL LEVALLE ,"","",2 35.760 ,"",448.381 ,684.141 ,302.507 ,"",508.632 ,811.139 ,301.512 ,"",523.447 ,824.959 ,2.320.239
LA CESIRA ,"","",1 15.144 ,"",218.987 ,334.131 ,147.743 ,"",248.413 ,396.156 ,147.257 ,"",255.649 ,402.906 ,1.133.194
LABOULAYE ,"","",6 35.462 ,"",1.208.556 ,1.844.018 ,815.371 ,"",1.370.954 ,2.186.325 ,812.688 ,"",1.410.888 ,2.223.576 ,6.253.919
MELO ,"","",1 13.848 ,"",216.523 ,330.371 ,146.080 ,"",245.618 ,391.698 ,145.600 ,"",252.772 ,398.372 ,1.120.442
ROSALES ,"","",9 ,5.001 ,180.679 ,275.680 ,121.898 ,"",204.957 ,326.855 ,121.497 ,"",210.927 ,332.424 ,934.960
SERRANO ,"","",1 65.718 ,"",315.171 ,480.889 ,212.635 ,"",357.522 ,570.157 ,211.935 ,"",367.935 ,579.871 ,1.630.916
VILLA ROSSI ,"","",9 ,4.083 ,178.932 ,273.015 ,120.719 ,"",202.976 ,323.695 ,120.322 ,"",208.888 ,329.210 ,925.919
Total PTE.ROQUE SAENZ PEÑA ,"","",1 .455.017 ,"",2.767.230 ,4.222.246 ,1.866.953 ,"",3.139.072 ,5.006.025 ,1.860.811 ,"",3.230.506 ,5.091.317 ,14.319.589
PUNILLA,"","","","","","","","","","","","","","",""
BIALET MASSE ,"","",217.884 ,"",414.384 ,632.268 ,279.570 ,"",470.066 ,749.637 ,278.651 ,"",483.759 ,762.410 ,2.144.315
