DEPARTAMENTO 	TOTALABRIL	06-JUNIO	h
ACHIRAS 	424282	503042	511613
ADELIA MARIA 	782280	927496	943298
AGUA DE ORO 	383006	454103	461840
ALCIRA 	675794	801242	814893
ALEJANDRO 	639380	758069	770985
ALEJO LEDESMA 	485985	576198	586015
ALICIA 	481598	570998	580726
ALMAFUERTE 	1062878	1260181	1281652
ALPA CORRAL 	298637	354073	360106
ALTA GRACIA 	3813680	4521616	4598654
ALTO ALEGRE 	307872	365022	371241
ALTOS DE CHIPION 	370686	439496	446984
ANISACATE 	466202	552744	562161
ARIAS 	781953	927107	942903
ARROYITO 	1918566	2274711	2313468
ARROYO ALGODON 	287095	340389	346189
ARROYO CABRAL 	456450	541182	550402
AUSONIA 	310583	368237	374511
BALLESTEROS 	527273	625151	635802
BALLESTEROS SUR 	277163	328612	334211
BALNEARIA 	712868	845199	859599
BELL VILLE 	2784920	3301886	3358144
BENGOLEA 	302845	359062	365180
BENJAMIN GOULD 	287808	341234	347048
BERROTARAN 	737568	874484	889383
BIALET MASSE 	632268	749637	762410
BOWER 	389250	461507	469370
BRINCKMAN 	1015630	1204162	1224678
BUCHARDO 	384772	456198	463970
BULNES 	314044	372341	378685
CALCHIN 	399815	474033	482109
CALCHIN OESTE 	294434	349091	355038
CAMILO ALDAO 	621839	737271	749832
CANALS 	920510	1091385	1109979
CAÑADA DE LUQUE 	331940	393558	400263
CAP. GRAL. B. O'HIGGINS 	266920	316468	321860
CAPILLA DEL CARMEN 	260031	308301	313554
CAPILLA DEL MONTE 	985363	1168277	1188183
CARNERILLO 	387056	458905	466724
CARRILOBO 	365714	433601	440989
CAVANAGH 	327148	387877	394486
CHAJAN 	288540	342102	347931
CHARRAS 	312893	370975	377296
CHAZON 	314536	372923	379277
CHILIBROSTE 	276855	328248	333841
CINTRA 	335746	398070	404852
COLAZO 	350047	415027	422098
COLONIA ALMADA 	270028	320153	325608
COLONIA BISMARCK 	263148	311996	317312
COLONIA CAROYA 	1665297	1974427	2008067
COLONIA ITALIANA 	290876	344871	350747
COLONIA MARINA 	321349	381001	387493
COLONIA PROSPERIDAD 	259698	307906	313152
COLONIA SAN BARTOLOME 	330567	391930	398607
COLONIA TIROLESA 	623137	738810	751398
