DEPARTAMENTO 	2013 JUL	2013 AGO	2013 SET
ALDEA SANTA MARIA 	52308,97	53234,5	51588,37
ALTO DE LOS QUEBRACHOS 	50710,28	51607,53	50011,71
AMBOY 	57214,49	58226,81	56426,31
AMBUL 	119231,57	121341,2	117589,07
ANA ZUMARAN 	54445,62	55408,96	53695,59
ARROYO LOS PATOS 	94534,21	96206,86	93231,94
ASSUNTA 	44649,79	45439,81	44034,71
ATAHONA 	58105,19	59133,28	57304,75
AVELLANEDA 	76225,7	77574,41	75175,64
BAÑADO DE SOTO 	108221,46	110136,28	106730,63
CABALANGO 	54594,91	55560,89	53842,82
CALMAYO 	47264,97	48101,26	46613,86
CAMINIAGA 	66743,41	67924,34	65823,97
CANDELARIA SUD 	62550,27	63657,01	61688,6
CAÑADA DE MACHADO 	57640,99	58660,86	56846,94
CAÑADA DE RIO PINTO 	56390,76	57388,52	55613,94
CAÑADA DEL SAUCE 	45747,34	46556,77	45117,13
CAPILLA DE LOS REMEDIOS 	125792,58	128018,3	124059,69
CAPILLA DE SITON 	78925,2	80321,67	77837,95
CASA GRANDE 	85399,37	86911,4	84222,94
CERRO COLORADO 	73722,74	75027,16	72707,16
CHALACEA 	57919,58	58944,39	57121,7
CHANCANI 	95352,16	97039,28	94038,61
CHAÑAR VIEJO 	56740,74	57744,68	55959,09
CHARBONIER 	80591,37	82017,32	79481,17
CHUCUL 	67025,52	68211,44	66102,19
CHUÑA 	89814,8	91403,95	88577,54
CHUÑA HUASI 	61598,75	62688,65	60750,18
CHURQUI CAÑADA 	55263,81	56241,63	54502,52
CIENAGA DEL CORO 	102081,8	103887,99	100675,55
COLONIA ANITA 	38881,6	39569,55	38345,98
COLONIA BARGE 	53119,5	54059,37	52387,74
COLONIA BREMEN 	47655,28	48498,47	46998,8
COLONIA ITURRASPE 	40014,7	40722,71	39463,47
COLONIA LAS CUATRO ESQUIN 	51327,16	52235,32	50620,09
COLONIA LAS PICHANAS 	60933,62	62011,75	60094,21
COLONIA SAN PEDRO 	48730,83	49593,06	48059,53
COLONIA VALTELINA 	54570,78	55536,33	53819,03
COLONIA VICENTE AGUERO 	66824,71	68007,08	65904,15
COLONIA VIDELA 	43725,92	44499,58	43123,56
COMECHINGONES 	71197,04	72456,77	70216,25
CONLARA 	74634,81	75955,36	73606,66
COPACABANA 	52508,15	53437,2	51784,81
CRUZ DE CAÑA 	64606,75	65749,88	63716,75
CUESTA BLANCA 	67633,86	68830,54	66702,15
DIEGO DE ROJAS 	88095,61	89654,33	86882,02
DIQUE CHICO 	58641,27	59678,84	57833,44
