DEPARTAMENTO MUNICIPIOS ,"",1° ,04- ABRIL2° ,TOTAL ABRIL , TOTAL GENERAL 
CALAMUCHITA,"","","","",""
EMBALSE ,"","4 63.476,79 ","735.575,98 ","1.199.052,77 ","1.199.052,77 "
LA CRUZ ,"","1 90.360,56 ","302.117,94 ","4 92.478,50 ","4 92.478,50 "
LOS CONDORES ,"","2 48.735,45 ","394.763,72 ","6 43.499,16 ","6 43.499,16 "
RIO DE LOS SAUCES ,"","1 76.505,44 ","280.128,72 ","4 56.634,16 ","4 56.634,16 "
SAN AGUSTIN ,"","2 67.782,98 ","424.993,73 ","6 92.776,71 ","6 92.776,71 "
SANTA ROSA DE CALAMUCHITA ,"","6 11.893,89 ","971.126,17 ","1.583.020,06 ","1.583.020,06 "
VILLA DEL DIQUE ,"","2 51.092,85 ","398.505,11 ","6 49.597,97 ","6 49.597,97 "
VILLA GRAL. BELGRANO ,"","4 29.537,80 ","681.712,98 ","1.111.250,78 ","1.111.250,78 "
VILLA RUMIPAL ,"","2 29.251,64 ","363.841,30 ","5 93.092,94 ","5 93.092,94 "
VILLA YACANTO ,"","1 88.404,22 ","299.013,06 ","4 87.417,28 ","4 87.417,28 "
Total CALAMUCHITA ,"","3 .057.041,61 ","4.851.778,71 ","7.908.820,32 ","7.908.820,32 "
CAPITAL,"","","","",""
CORDOBA ,"","5 0.068.227,57 ","79.462.414,81 ","129.530.642,38 ","129.530.642,38 "
Total CAPITAL ,"","5 0.068.227,57 ","79.462.414,81 ","129.530.642,38 ","129.530.642,38 "
COLON,"","","","",""
AGUA DE ORO ,"","2 04.113,11 ","323.944,38 ","5 28.057,50 ","5 28.057,50 "
COLONIA CAROYA ,"","8 87.477,74 ","1.408.500,53 ","2.295.978,28 ","2.295.978,28 "
COLONIA TIROLESA ,"","3 32.085,07 ","527.046,45 ","8 59.131,52 ","8 59.131,52 "
ESTACION GENERAL PAZ ,"","2 07.568,09 ","329.427,72 ","5 36.995,81 ","5 36.995,81 "
ESTACION JUAREZ CELMAN ,"","5 83.989,24 ","926.839,19 ","1.510.828,43 ","1.510.828,43 "
JESUS MARIA ,"","1.312.688,01 ","2.083.344,38 ","3.396.032,39 ","3.396.032,39 "
LA CALERA ,"","1 .310.319,89 ","2.079.585,97 ","3.389.905,86 ","3.389.905,86 "
LA GRANJA ,"","2 37.106,09 ","376.306,96 ","6 13.413,05 ","6 13.413,05 "
MALVINAS ARGENTINAS ,"","6 11.935,22 ","971.191,77 ","1.583.126,99 ","1.583.126,99 "
MENDIOLAZA ,"","4 40.880,90 ","699.714,43 ","1.140.595,33 ","1.140.595,33 "
RIO CEBALLOS ,"","8 66.750,94 ","1.375.605,38 ","2.242.356,31 ","2.242.356,31 "
SALDAN ,"","5 24.118,77 ","831.819,81 ","1.355.938,58 ","1.355.938,58 "
SALSIPUEDES ,"","4 73.563,12 ","751.583,82 ","1.225.146,94 ","1.225.146,94 "
UNQUILLO ,"","7 91.062,89 ","1.255.482,19 ","2.046.545,07 ","2.046.545,07 "
VILLA ALLENDE ,"","1 .192.053,11 ","1.891.887,80 ","3.083.940,91 ","3.083.940,91 "
Total COLON ,"","9 .975.712,20 ","15.832.280,77 ","25.807.992,97 ","25.807.992,97 "
CRUZ DEL EJE,"","","","",""
CRUZ DEL EJE ,"","1 .347.106,15 ","2.137.968,80 ","3.485.074,94 ","3.485.074,94 "
EL BRETE ,"","2 03.562,03 ","323.069,77 ","5 26.631,80 ","5 26.631,80 "
SAN MARCOS SIERRAS ,"","2 06.416,94 ","327.600,75 ","5 34.017,69 ","5 34.017,69 "
SERREZUELA ,"","2 40.034,48 ","380.954,55 ","6 20.989,03 ","6 20.989,03 "
VILLA DE SOTO ,"","4 84.592,42 ","769.088,22 ","1.253.680,63 ","1.253.680,63 "
Total CRUZ DEL EJE ,"","2 .481.712,02 ","3.938.682,09 ","6.420.394,10 ","6.420.394,10 "
GENERAL ROCA,"","","","",""
BUCHARDO ,"","2 05.054,55 ","325.438,51 ","5 30.493,06 ","5 30.493,06 "
DEL CAMPILLO ,"","2 79.533,28 ","443.642,42 ","7 23.175,69 ","7 23.175,69 "
HUINCA RENANCO ,"","4 98.580,71 ","791.288,80 ","1.289.869,52 ","1.289.869,52 "
ITALO ,"","1 76.534,52 ","280.174,88 ","4 56.709,40 ","4 56.709,40 "
JOVITA ,"","3 37.912,76 ","536.295,48 ","8 74.208,24 ","8 74.208,24 "
