"server", "cantidad"
Web, "2"
Varnish, "11"
Not available, "2"
Apache mod_perl, "1"
WebSEAL, "1"
Seaside Servlet Server - VA Smalltalk V8.5.2 (UNIX): Seaside 3.0.7, "4"
uc-httpd 1.0.0, "1"
Unknown, "6"
sd_1, "6"
L3-2, "4"
.V02 Apache, "75"
IBM HTTP Server Version 6.4 - AIX 6.1, "2"
PasteWSGIServer, "2"
Sun Java System Application Server 9.1_02, "2"
GSE, "1839"
Werkzeug, "3"
WebCit 7.83 , "2"
Zope, "7"
Oracle-Application-Server-10g, "8"
Ning HTTP Server 2.0, "9"
LiteSpeed, "1132"
GlassFish Server Open Source Edition 3.1.2.2, "4"
RBT_Server, "1"
4.0.1, "3"
BigIP, "6"
BWS, "1"
NOYB, "136"
Jetty(9.2.3.v20140905), "2"
myracloud, "1"
RosenProd, "1"
sffe, "31"
Nginx, "1"
Jetty(9.1.3.v20140225), "1"
FirstData, "10"
tsa_b, "11"
public.apu8.aus, "200"
Apache, "157123"
GlassFish Server Open Source Edition 3.0.1, "3"
IBM-PROXY-WTE, "1"
Virata-EmWeb, "1"
IA Web Server, "2"
.V05 Apache, "101"
cisco-IOS, "2"
LightTPD, "1"
Apache mod_bwlimited, "2"
Enterprise by HansaWorld 7.0 2013-07-08, "1"
Web Server, "2"
Oracle-Application-Server-11g Oracle-Web-Cache-11g, "2"
DNSME HTTP Redirection, "10"
Clubmed, "1"
Apache-Coyote, "283"
Oracle-Application-Server-11g, "5"
.V01 Apache, "80"
GlassFish Server Open Source Edition  4.1, "2"
GlassFish Server Open Source Edition  4.0, "1"
Jetty(8.1.9.v20130131), "1"
nginx + Phusion Passenger 4.0.57, "1"
JW_Server 1, "1"
Rapidsite, "9"
RHS, "3"
.V06 Apache, "110"
OwnServer1.0, "1"
TwistedWeb, "2"
nginx + Phusion Passenger 3.0.21, "1"
Oracle-Traffic-Director, "1"
public.apu7.aus, "243"
mini_httpd, "3"
NotAvailable, "1"
Router Webserver, "3"
www.lexisnexis.com  9900, "3"
Apache 2.x, "1"
shakti-prod i-d3b39a29, "1"
Abyss, "1"
app4, "1"
cocos2d, "1"
123domain.eu-Redirect, "3"
LANX0-2-PXV02, "2"
hosting, "106"
thin 1.6.1 codename Death Proof, "3"
WEBrick, "18"
