Provincia;variable;Correlacion H__ALGUNBI_01_PORC;Correlacion H__ALGUNBI_02_PORC
Neuquén;P__10_02_PORC;0.0330;0.0658
Río Negro;P__10_02_PORC;-0.2343;0.3214
Salta;P__10_02_PORC;-0.1308;0.1994
Santa Fe;P__10_02_PORC;-0.3108;0.4677
Santiago del Estero;P__10_02_PORC;-0.0620;0.2002
Chubut;P__10_02_PORC;-0.0273;0.1854
Chaco;P__10_02_PORC;-0.1822;0.2195
La Rioja;P__10_02_PORC;-0.2451;0.2451
La Pampa;P__10_02_PORC;0.2453;0.1149
CABA;P__10_02_PORC;-0.3804;0.4118
Buenos Aires;P__10_02_PORC;-0.2386;0.3359
San Luis;P__10_02_PORC;0.0296;0.1325
San Juan;P__10_02_PORC;-0.2795;0.2795
Tucumán;P__10_02_PORC;-0.0138;0.1800
Tierra del Fuego;P__10_02_PORC;0.0461;0.2541
Santa Cruz;P__10_02_PORC;0.0541;-0.0541
Catamarca;P__10_02_PORC;0.2801;0.0018
Jujuy;P__10_02_PORC;0.1677;0.0520
Córdoba;P__10_02_PORC;-0.1280;0.1482
Misiones;P__10_02_PORC;-0.0432;0.1749
Entre Ríos;P__10_02_PORC;-0.1784;0.2329
Mendoza;P__10_02_PORC;-0.1851;0.3273
Formosa;P__10_02_PORC;-0.1877;0.2923
Corrientes;P__10_02_PORC;0.0772;0.1647
