id_prov;prov;var1;var2;svar1;svar2;value;value_abs;covar
58;Neuquén;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.891;0.891;-199.630
62;Río Negro;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.953;0.953;-106.251
66;Salta;H__ALGUNBI_02_PORC;H__10_02_PORC;Al menos un indicador NBI PORC;HOGAR NO Tiene baño o letrina PORC;0.852;0.852;284.595
66;Salta;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.972;0.972;-387.189
82;Santa Fe;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.887;0.887;-79.628
86;Santiago del Estero;H__ALGUNBI_02_PORC;H__13_01_PORC;Al menos un indicador NBI PORC;De uso exclusivo del hogar PORC;-0.865;0.865;-206.490
86;Santiago del Estero;H__ALGUNBI_02_PORC;H__10_02_PORC;Al menos un indicador NBI PORC;HOGAR NO Tiene baño o letrina PORC;0.933;0.933;213.455
86;Santiago del Estero;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.947;0.947;-253.271
86;Santiago del Estero;H__ALGUNBI_02_PORC;H__10_01_PORC;Al menos un indicador NBI PORC;HOGAR SI Tiene baño o letrina PORC;-0.861;0.861;-207.348
26;Chubut;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.878;0.878;-91.104
22;Chaco;H__ALGUNBI_02_PORC;H__10_02_PORC;Al menos un indicador NBI PORC;HOGAR NO Tiene baño o letrina PORC;0.863;0.863;162.538
22;Chaco;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-0.986;0.986;-232.248
46;La Rioja;H__ALGUNBI_02_PORC;H__11_01_PORC;Al menos un indicador NBI PORC;Si tiene cadena y mochila en el baño PORC;-0.858;0.858;-192.641
46;La Rioja;H__ALGUNBI_02_PORC;H__10_02_PORC;Al menos un indicador NBI PORC;HOGAR NO Tiene baño o letrina PORC;0.881;0.881;101.106
46;La Rioja;H__ALGUNBI_02_PORC;H__ALGUNBI_01_PORC;Al menos un indicador NBI PORC;Sin NBI PORC;-1.000;1.000;-135.188
46;La Rioja;H__ALGUNBI_02_PORC;H__10_01_PORC;Al menos un indicador NBI PORC;HOGAR SI Tiene baño o letrina PORC;-0.881;0.881;-101.106
