172	Achiras	2559
173	Adelia María	7345
174	Agua de Oro	2061
175	Alcira Gigena	5922
176	Aldea Santa María	173
177	Alejandro Roca	5300
178	Alejo Ledesma	3370
179	Alicia	3211
180	Almafuerte	11222
181	Alpa Corral	879
182	Alta Gracia	46858
183	Alto Alegre	979
184	Alto de Los Quebrachos	159
185	Altos de Chipion	1779
186	Amboy	235
187	Ámbul	941
188	Ana Zumarán	198
189	Anisacate	3053
190	Arias	7311
191	Arroyito	21764
192	Arroyo Algodón	713
193	Arroyo Cabral	2941
194	Arroyo de Los Patos	657
195	Assunta	84
196	Atahona	223
197	Ausonia	1022
198	Avellaneda	460
199	Ballesteros	3844
200	Ballesteros Sud	578
201	Balnearia	6197
202	Bañado de Soto	846
203	Bell Ville	33325
204	Bengolea	912
205	Benjamín Gould	717
206	Berrotarán	6748
207	Bialet Massé	5515
208	Bouwer	2046
209	Brinkmann	10106
210	Buchardo	1944
211	Bulnes	1085
212	Cabalango	211
213	Calchín	2227
214	Calchín Oeste	821
215	Calmayo	117
216	Camilo Aldao	5179
217	Caminiaga	308
218	Canals	8979
219	Candelaria Sud	278
220	Cañada de Luque	1232
221	Cañada de Machado	218
222	Cañada de Río Pinto	225
223	Villa Cañada del Sauce	99
224	Capilla de Los Remedios	952
225	Capilla de Sitón	459
226	Capilla del Carmen	362
227	Capilla del Monte	10391
228	Capitán General Bernardo O'Higgins	453
229	Carnerillo	2010
230	Carrilobo	1772
231	Casa Grande	589
232	Cavanagh	1255
233	Cerro Colorado	371
234	Chaján	744
235	Chalacea	221
236	Chancaní	511
237	Chañar Viejo	199
238	Charbonier	530
239	Charras	1043
240	Chazón	1074
241	Chilibroste	574
242	Chucul	352
243	Chuña	621
244	Chuña Huasi	254
245	Churqui Cañada	176
246	Ciénaga del Coro	689
247	Cintra	1343
248	Colazo	1563
249	Colonia Almada	502
250	Colonia Anita	17
251	Colonia Barge	186
252	Colonia Bismarck	395
253	Colonia Bremen	119
254	Colonia Caroya	19667
255	Colonia Italiana	772
256	Colonia Iturraspe	30
257	Colonia Las Cuatro Esquinas	150
258	Colonia Las Pichanas	270
259	Colonia Marina	1142
260	Colonia Prosperidad	346
261	Colonia San Bartolomé	1261
262	Colonia San Pedro	130
263	Colonia Tirolesa	5358
264	Colonia Vicente Agüero	359
265	Colonia Videla	75
266	Colonia Vignaud	913
267	Colonia Valtelina	197
268	Comechingones	364
269	Conlara	456
270	Copacabana	179
271	Córdoba	1307427
272	Coronel Baigorria	1543
273	Coronel Moldes	9006
274	Corral de Bustos	10344
275	Corralito	1897
276	Cosquín	20104
277	Costa Sacate	1359
278	Cruz Alta	7103
279	Cruz de Caña	325
280	Cruz del Eje	30850
281	Cuesta Blanca	371
282	Dalmacio Vélez Sarsfield	1652
283	Deán Funes	21754
284	Del Campillo	3727
285	Despeñaderos	6401
286	Devoto	6052
287	Diego de Rojas	546
288	Dique Chico	247
289	El Arañado	1734
290	El Brete	2004
291	El Crispín	197
292	El Chacho	347
293	El Fortín	1384
294	El Manzano	1258
295	El Rastreador	93
296	El Rodeo	325
297	El Tío	1796
298	Elena	2997
299	Embalse	8499
300	Esquina	320
301	Estación General Paz	2150
302	Estación Juárez Celman	11848
303	Estancia de Guadalupe	518
304	Estancia Vieja	715
305	Etruria	4069
306	Eufrasio Loza	294
307	Falda del Carmen	990
308	Freyre	6604
309	General Baldissera	2360
310	General Cabrera	11320
311	General Deheza	10156
312	General Fotheringham	376
313	General Levalle	5759
314	General Roca	2675
315	Guanaco Muerto	701
316	Guasapampa	396
317	Guatimozín	2592
318	Gutemberg	709
319	Hernando	10913
320	Huanchilla	1110
321	Huerta Grande	6072
322	Huinca Renancó	8980
323	Idiazábal	1600
324	Impira	163
325	Inriville	3985
326	Isla Verde	4433
327	Italó	1257
328	James Craik	5034
329	Jesús María	30622
330	Jovita	5127
331	Justiniano Posse	8147
332	Kilómetro 658	350
333	La Batea	234
334	La Calera	30561
335	La Carlota	12614
336	La Carolina El Potosí	182
337	La Cautiva	835
338	La Cesira	1292
339	La Cruz	1659
340	La Cumbre	7796
341	La Cumbrecita	869
342	La Falda	15186
343	La Francia	3847
344	La Granja	2911
345	La Higuera	505
346	La Laguna	1404
347	La Paisanita	120
348	La Palestina	557
349	La Pampa	710
350	La Paquita	887
351	La Para	3735
352	La Paz	3384
353	La Playa	340
354	La Playosa	2713
355	La Población	527
356	La Posta	263
357	La Puerta	2250
358	La Quinta	218
359	La Rancherita	124
360	La Rinconada	484
361	La Serranita	405
362	La Tordilla	1252
363	Laborde	5988
364	Laboulaye	20562
365	Laguna Larga	7487
366	Las Acequias	2234
367	Las Albahacas	486
368	Las Arrias	1195
369	Las Bajadas	191
370	Las Caleras	303
371	Las Calles	754
372	Las Cañadas	227
373	Las Gramillas	97
374	Las Higueras	6026
375	Las Isletillas	280
376	Las Junturas	1704
377	Las Palmas	183
378	Las Peñas	1675
379	Las Peñas Sud	173
380	Las Perdices	5179
381	Las Playas	508
382	Las Rabonas	731
383	Las Saladas	165
384	Las Tapias	2006
385	Las Varas	1299
386	Las Varillas	16399
387	Las Vertientes	827
388	Leguizamón	81
389	Leones	10678
390	Los Cedros	1033
391	Los Cerrillos	2495
392	Los Cisnes	584
393	Los Cocos	1079
394	Los Cóndores	3121
395	Los Chañaritos R.S.	261
396	Los Chañaritos CE	683
397	Los Hornillos	1156
398	Los Hoyos	263
399	Los Mistoles	172
400	Los Molinos	383
401	Los Pozos	143
402	Los Reartes	1282
403	Los Surgentes	2935
404	Los Talares	114
405	Los Zorros	723
406	Lozada	1119
407	Luca	546
408	Lucio V. Mansilla	860
409	Luque	6037
410	Lutti	219
411	Luyaba	1587
412	Malagueño	12706
413	Malena	308
414	Malvinas Argentinas	12568
415	Manfredi	936
416	Maquinista Gallini	140
417	Marcos Juárez	26662
418	Marull	1773
419	Matorrales	1024
420	Mattaldi	1883
421	Mayu Sumaj	1115
422	Media Naranja	1104
423	Melo	1244
424	Mendiolaza	8161
425	Mi Granja	1212
426	Mina Clavero	9328
427	Miramar	2190
428	Monte Buey	6428
429	Monte Cristo	10014
430	Monte de Los Gauchos	742
431	Monte Leña	491
432	Monte Maíz	7476
433	Monte Ralo	546
434	Morrison	3290
435	Morteros	16724
436	Nicolás Bruzzone	239
437	Noetinger	4963
438	Nono	2150
439	Obispo Trejo	2529
440	Olaeta	608
441	Oliva	12647
442	Olivares de San Nicolás	790
443	Onagoyti	95
444	Oncativo	12659
445	Ordóñez	2650
446	Pacheco de Melo	72
447	Pampayasta Norte	95
448	Pampayasta Sud	1219
449	Panaholma	617
450	Pascanas	2799
451	Pasco	1176
452	Paso del Durazno	164
453	Paso Viejo	1250
454	Pilar	13622
455	Pincén	336
456	Piquillín	1348
457	Plaza de Mercedes	89
458	Plaza Luxardo	218
459	Porteña	5519
460	Potrero de Garay	954
461	Pozo del Molle	5806
462	Pozo Nuevo	607
463	Pueblo Italiano	1639
464	Puesto de Castro	117
465	Punta del Agua	168
466	Quebracho Herrado	350
467	Quilino	5528
468	Rafael García	525
469	Ranqueles	71
