	04 - ABRIL 		Total 04 - ABRIL 	05 - MAYO 		Total 05 - MAYO 	06 - JUNIO 		Total 06 - JUNIO 	Total general
COMUNAS 	1ª 	2ª 		1ª 	2ª 		1ª 	2ª		
										
AMBOY 	4665	11689	16353	7341	10269	17610	6004	12679	18683	52647
CALMAYO 	3918	9819	13737	6167	8626	14793	5044	10651	15695	44225
CAÑADA DEL SAUCE 	3938	9869	13807	6198	8670	14868	5069	10705	15775	44450
LAS BAJADAS 	4391	11004	15395	6912	9667	16579	5652	11937	17589	49564
LAS CALERAS 	5138	12874	18011	8086	11310	19396	6613	13965	20578	57986
LOS MOLINOS 	5671	14210	19880	8925	12484	21408	7299	15414	22713	64002
LOS REARTES 	12400	31072	43472	19516	27298	46814	15961	33706	49667	139952
LUTTI 	4245	10637	14882	6681	9345	16026	5464	11538	17002	47909
SAN IGNACIO 	5258	13174	18432	8275	11574	19849	6767	14291	21059	59339
SEGUNDA USINA 	3885	9735	13620	6115	8553	14667	5001	10560	15561	43849
VILLA AMANCAY 	6637	16630	23267	10445	14610	25056	8543	18040	26583	74906
VILLA C.PAR. LOS REARTES 	8609	21572	30181	13549	18952	32501	11081	23401	34482	97164
VILLA QUILLINZO 	3738	9368	13106	5884	8230	14114	4812	10162	14974	42194
COLONIA VICENTE AGUERO 	5523	13840	19363	8693	12159	20852	7109	15013	22123	62338
EL MANZANO 	11344	28425	39769	17854	24972	42826	14601	30835	45436	128031
MI GRANJA 	11580	29018	40598	18226	25493	43719	14906	31478	46383	130700
TINOCO 	6141	15388	21528	9665	13518	23183	7904	16692	24596	69308
VILLA CERRO AZUL 	4643	11634	16277	7307	10221	17529	5976	12621	18597	52403
ALTO DE LOS QUEBRACHOS 	4197	10517	14714	6606	9239	15845	5402	11409	16811	47370
BAÑADO DE SOTO 	8476	21239	29716	13340	18660	32000	10910	23040	33950	95666
CRUZ DE CAÑA 	4891	12256	17147	7698	10767	18465	6296	13295	19591	55204
GUANACO MUERTO 	7829	19618	27448	12322	17235	29558	10077	21282	31359	88364
LA BATEA 	4689	11750	16439	7380	10322	17702	6035	12746	18781	52922
LA HIGUERA 	6502	16292	22794	10233	14313	24546	8369	17673	26042	73381
LAS CAÑADAS 	4622	11581	16202	7274	10174	17448	5949	12563	18511	52161
LAS PLAYAS 	6522	16343	22864	10265	14357	24622	8395	17728	26123	73609
LOS CHAÑARITOS (C.D.EJE) 	7674	19230	26904	12078	16894	28972	9878	20860	30738	86615
MEDIA NARANJA 	10518	26356	36874	16554	23154	39708	13538	28590	42129	118711
PASO VIEJO 	11488	28787	40276	18081	25291	43372	14787	31228	46015	129663
TUCLAME 	8348	20919	29267	13139	18378	31517	10745	22692	33437	94221
NICOLAS BRUZZONE 	4832	12107	16939	7605	10637	18241	6219	13134	19353	54533
ONAGOITY 	3824	9583	13407	6019	8419	14437	4922	10395	15317	43161
PINCEN 	5508	13802	19311	8669	12126	20795	7090	14973	22063	62169
RANQUELES 	3623	9078	12700	5702	7975	13676	4663	9847	14510	40887
VILLA SARMIENTO 	5998	15029	21026	9440	13203	22643	7720	16303	24023	67692
AVELLANEDA 	6284	15747	22031	9891	13834	23725	8089	17082	25171	70927
CAÑADA DE RIO PINTO 	4653	11660	16314	7324	10244	17568	5990	12649	18639	52520
CHUÑA 	7365	18454	25819	11591	16213	27804	9479	20019	29498	83121
COPACABANA 	4344	10884	15228	6836	9562	16399	5591	11807	17398	49025
LOS POZOS 	4103	10281	14384	6457	9032	15490	5281	11153	16434	46307
OLIVARES DE SAN NICOLAS 	8562	21455	30017	13475	18849	32324	11021	23273	34294	96635
VILLA GUTIERREZ 	5527	13850	19378	8699	12168	20867	7114	15025	22139	62384
ASSUNTA 	3705	9284	12989	5831	8156	13987	4769	10071	14840	41816
EL RASTREADOR 	3768	9441	13209	5930	8294	14225	4850	10242	15091	42525
PACHECO DE MELO 	3593	9004	12597	5655	7910	13566	4625	9768	14393	40556
PASO DEL DURAZNO 	4242	10630	14873	6677	9339	16016	5460	11531	16992	47880
COLONIA BARGE 	4398	11020	15418	6922	9682	16604	5661	11955	17616	49638
SALADILLO 	4398	11020	15418	6922	9682	16604	5661	11955	17616	49638
VILLA ELISA 	3318	8315	11633	5223	7305	12527	4271	9020	13291	37452
CIENAGA DEL CORO 	8464	21209	29672	13321	18633	31954	10894	23007	33901	95527
EL CHACHO 	5465	13695	19161	8602	12032	20634	7035	14856	21891	61685
ESTANCIA DE GUADALUPE 	6858	17185	24044	10794	15098	25892	8828	18642	27470	77406
GUASAPAMPA 	5726	14349	20075	9012	12606	21618	7370	15565	22936	64628
LA PLAYA 	5109	12801	17910	8040	11246	19287	6576	13886	20462	57659
TALAINI 	4457	11168	15625	7014	9811	16826	5737	12115	17851	50302
TOSNO 	5067	12698	17766	7976	11156	19131	6523	13775	20297	57194
CHANCANI 	7463	18700	26163	11745	16429	28174	9606	20285	29891	84228
LAS PALMAS 	4678	11721	16398	7362	10297	17659	6021	12715	18735	52793
LOS TALARES 	4558	11422	15980	7174	10035	17209	5867	12391	18258	51447
SAN GERONIMO 	6935	17377	24312	10914	15266	26180	8926	18850	27776	78268
TALA CAÑADA 	6858	17185	24043	10794	15097	25891	8827	18642	27469	77403
VILLA DE POCHO 	6117	15328	21445	9627	13466	23093	7874	16627	24501	69039
LEGUIZAMON 	3669	9193	12862	5774	8076	13851	4722	9972	14695	41407
RIO BAMBA 	4054	10159	14214	6381	8925	15306	5219	11021	16239	45759
SAN JOAQUIN 	4083	10231	14314	6426	8988	15414	5255	11098	16354	46082
CABALANGO 	5926	14850	20776	9327	13046	22373	7628	16109	23737	66886
CASA GRANDE 	6930	17367	24297	10907	15257	26165	8920	18839	27759	78221
CHARBONIER 	6468	16207	22675	10180	14239	24418	8325	17581	25906	72999
CUESTA BLANCA 	5167	12946	18113	8132	11374	19505	6650	14045	20695	58313
ESTANCIA VIEJA 	7848	19667	27515	12352	17278	29630	10102	21334	31436	88581
MAYU SUMAJ 	10662	26718	37380	16781	23472	40254	13724	28983	42707	120341
SAN ROQUE 	10068	25228	35296	15846	22164	38009	12959	27367	40326	113631
TALA HUASI 	4011	10050	14060	6312	8829	15141	5162	10902	16064	45266
VILLA PARQUE SIQUIMAN 	11686	29283	40970	18393	25726	44119	15042	31766	46808	131897
YCHO CRUZ 	15670	39264	54935	24662	34495	59157	20169	42593	62762	176854
CHUCUL 	5540	13883	19423	8720	12196	20916	7131	15060	22191	62529
"LA CAROLINA ""EL POTOSI"" "	4378	10970	15347	6890	9637	16527	5635	11900	17534	49408
LAS ALBAHACAS 	6249	15658	21907	9835	13756	23591	8043	16985	25028	70526
LAS PEÑAS SUD 	4302	10780	15082	6771	9471	16241	5537	11695	17232	48555
MALENA 	5237	13124	18362	8243	11530	19773	6741	14237	20978	59113
SUCO 	5244	13141	18386	8254	11545	19799	6750	14255	21006	59191
VILLA EL CHACAY 	4350	10901	15251	6847	9577	16423	5599	11825	17424	49098
WASHINGTON 	6902	17295	24198	10863	15195	26058	8884	18762	27646	77901
ATAHONA 	4789	12001	16790	7538	10543	18081	6165	13018	19183	54054
CAÑADA DE MACHADO 	4737	11870	16607	7456	10428	17884	6097	12877	18974	53465
CAPILLA DE LOS REMEDIOS 	10218	25605	35823	16082	22495	38577	13152	27776	40928	115328
CHALACEA 	4752	11908	16660	7479	10461	17940	6117	12917	19034	53633
COLONIA LAS CUATRO ESQUINAS 	4237	10618	14856	6669	9328	15998	5454	11518	16973	47826
COMECHINGONES 	5818	14580	20398	9157	12809	21966	7489	15816	23305	65669
DIEGO DE ROJAS 	7183	17999	25182	11305	15813	27118	9246	19525	28771	81072
EL CRISPIN 	4580	11478	16058	7209	10084	17293	5896	12451	18347	51698
ESQUINA 	5505	13795	19300	8665	12119	20784	7086	14964	22050	62134
KILOMETRO 658 	5729	14356	20084	9017	12612	21628	7374	15573	22947	64659
LA POSTA 	5073	12711	17784	7984	11167	19151	6529	13789	20318	57253
LA QUINTA 	4745	11889	16633	7467	10445	17912	6107	12897	19004	53549
LAS GRAMILLAS 	3865	9684	13548	6082	8508	14590	4974	10505	15479	43617
LAS SALADAS 	4349	10898	15248	6845	9575	16420	5598	11822	17421	49088
MAQUINISTA GALLINI 	4163	10431	14594	6552	9164	15716	5358	11316	16674	46984
PLAZA DE MERCEDES 	3783	9478	13261	5953	8327	14280	4869	10282	15151	42692
SAGRADA FAMILIA 	3693	9254	12947	5812	8130	13942	4754	10039	14792	41682
CERRO COLORADO 	5477	13725	19202	8621	12058	20679	7050	14889	21939	61820
CHAÑAR VIEJO 	4645	11639	16284	7311	10225	17536	5979	12626	18605	52425
EUFRASIO LOZA 	5385	13493	18878	8475	11854	20329	6931	14637	21568	60776
GUTEMBERG 	8591	21528	30119	13521	18913	32434	11058	23353	34411	96964
LA RINCONADA 	6857	17182	24039	10792	15095	25887	8826	18639	27465	77391
LOS HOYOS 	4776	11968	16744	7517	10514	18031	6147	12982	19130	53904
PUESTO DE CASTRO 	4005	10036	14041	6304	8817	15121	5155	10887	16042	45205
RAYO CORTADO 	8414	21083	29497	13242	18523	31765	10830	22871	33701	94963
SANTA ELENA 	5454	13667	19121	8584	12007	20591	7020	14826	21846	61559
VILLA CANDELARIA NORTE 	7651	19171	26822	12041	16843	28884	9848	20797	30645	86351
COLONIA VIDELA 	3630	9097	12727	5714	7992	13706	4673	9868	14541	40974
IMPIRA 	4231	10601	14831	6658	9313	15972	5445	11500	16945	47748
LOS CHAÑARITOS 	4913	12310	17223	7732	10815	18547	6323	13354	19677	55446
RINCON 	7266	18206	25472	11435	15995	27430	9352	19750	29102	82003
AMBUL 	9429	23627	33056	14840	20757	35598	12137	25630	37767	106421
ARROYO LOS PATOS 	7602	19048	26650	11964	16735	28699	9785	20663	30448	85796
LAS CALLES 	8279	20746	29025	13031	18226	31257	10657	22505	33162	93444
LAS RABONAS 	8101	20300	28402	12750	17834	30585	10428	22021	32449	91435
PANAHOLMA 	7280	18242	25522	11458	16026	27484	9371	19789	29159	82166
SAN LORENZO 	10093	25291	35384	15885	22219	38104	12991	27435	40426	113914
SAN VICENTE 	14891	37313	52203	23436	32781	56217	19167	40476	59643	168063
SAUCE ARRIBA 	8786	22015	30801	13828	19341	33169	11309	23882	35190	99160
CONLARA 	6138	15382	21520	9661	13513	23174	7901	16686	24587	69281
LA POBLACION 	6594	16524	23118	10379	14517	24896	8488	17925	26413	74427
LOS HORNILLOS 	10493	26292	36785	16514	23099	39613	13506	28522	42027	118425
LUYABA 	13585	34041	47626	21381	29906	51287	17486	36927	54413	153326
COLONIA ANITA 	3239	8115	11354	5097	7130	12227	4169	8803	12972	36553
COLONIA ITURRASPE 	3330	8345	11675	5242	7331	12573	4287	9053	13339	37588
COLONIA LAS PICHANAS 	5029	12602	17632	7916	11072	18987	6473	13671	20144	56763
COLONIA SAN PEDRO 	4035	10112	14147	6351	8883	15234	5194	10969	16163	45544
COLONIA VALTELINA 	4508	11295	15803	7094	9923	17018	5802	12253	18055	50875
PLAZA LUXARDO 	4656	11666	16322	7327	10249	17577	5993	12655	18648	52546
TORO PUJIO 	5438	13627	19065	8559	11972	20531	7000	14782	21782	61378
VILLA SAN ESTEBAN 	3591	8999	12590	5652	7906	13558	4622	9762	14384	40532
