M U N I C I P I O 	2009 ABR	2009 MAY	2009 JUN
ACHIRAS 	148031	159411	169126
ADELIA MARIA 	275594	296781	314868
AGUA DE ORO 	132915	143133	151856
ALCIRA 	236768	254969	270508
ALEJANDRO 	221832	238886	253445
ALEJO LEDESMA 	170677	183798	195000
ALICIA 	166842	179668	190618
ALMAFUERTE 	373853	402593	427130
ALPA CORRAL 	104523	112557	119417
ALTA GRACIA 	1325501	1427399	1514394
ALTO ALEGRE 	107620	115894	122957
ALTOS DE CHIPION 	129733	139706	148221
ANISACATE 	161496	173911	184510
ARIAS 	277268	298583	316780
ARROYITO 	662179	713085	756544
ARROYO ALGODON 	100518	108245	114842
ARROYO CABRAL 	157991	170137	180506
AUSONIA 	109699	118132	125332
BALLESTEROS 	183788	197917	209979
BALLESTEROS SUR 	96911	104361	110721
BALNEARIA 	249108	268259	284608
BELL VILLE 	968169	1042597	1106140
BENGOLEA 	105980	114128	121083
BENJAMIN GOULD 	100720	108463	115074
BERROTARAN 	259381	279321	296344
BIALET MASSE 	217902	234653	248955
BRINCKMAN 	353902	381108	404335
BUCHARDO 	134172	144487	153292
BULNES 	110050	118510	125733
CALCHIN 	138916	149596	158713
CALCHIN OESTE 	103016	110935	117696
CAMILO ALDAO 	218168	234940	249259
CANALS 	319953	344550	365548
CAÑADA DE LUQUE 	116302	125243	132876
CAP. GRAL. B. O'HIGGINS 	93490	100677	106813
CAPILLA DEL CARMEN 	90848	97832	103794
CAPILLA DEL MONTE 	343904	370343	392913
CARNERILLO 	135010	145389	154250
CARRILOBO 	127981	137820	146219
CAVANAGH 	114697	123514	131042
CHAJAN 	101190	108969	115610
CHARRAS 	109522	117941	125129
CHAZON 	110235	118709	125944
CHILIBROSTE 	95925	103299	109595
CINTRA 	117078	126078	133762
COLAZO 	122448	131861	139897
COLONIA ALMADA 	94462	101723	107923
COLONIA BISMARCK 	92009	99082	105120
COLONIA CAROYA 	567504	611131	648378
COLONIA ITALIANA 	100947	108707	115332
COLONIA MARINA 	112332	120967	128340
COLONIA PROSPERIDAD 	89860	96768	102666
COLONIA SAN BARTOLOME 	115719	124615	132210
COLONIA TIROLESA 	213063	229442	243426
COLONIA VIGNAUD 	105527	113640	120566
CORDOBA 	32750042	35267708	37417112
CORONEL BAIGORRIA 	122296	131698	139724
