COMUNAS 	Total 07 - JULIO 	Total 08 - AGOSTO 	Total 09 - SEPTIEM 
ALDEA SANTA MARIA	16648	16125	16227
ALTO DE LOS QUEBRACHOS 	16209	15700	15800
AMBOY 	18015	17449	17560
AMBUL 	36415	35271	35496
ANA ZUMARAN	15551	15062	15158
ARROYO LOS PATOS 	29358	28436	28617
ASSUNTA 	14309	13859	13947
ATAHONA 	18496	17915	18029
AVELLANEDA 	24270	23507	23657
BAÑADO DE SOTO 	32735	31707	31908
BOWER 	61282	59356	59734
CABALANGO 	22887	22168	22309
CALMAYO 	15133	14657	14751
CAMINIAGA 	21366	20695	20827
CANDELARIA SUD	20014	19386	19509
CAÑADA DE MACHADO 	18295	17720	17833
CAÑADA DE RIO PINTO 	17972	17407	17518
CAÑADA DEL SAUCE 	15210	14732	14826
CAPILLA DE LOS REMEDIOS 	39463	38223	38467
CAPILLA DE SITON	25318	24522	24678
CASA GRANDE 	26766	25925	26090
CERRO COLORADO	21154	20489	20619
CHALACEA 	18352	17776	17889
CHANCANI 	28821	27916	28094
CHAÑAR VIEJO 	17939	17375	17486
CHARBONIER 	24979	24194	24348
CHUCUL 	21396	20724	20856
CHUÑA 	28442	27549	27724
CHUÑA HUASI 	19622	19006	19127
CHURQUI CAÑADA	15857	15358	15456
CIENAGA DEL CORO 	32688	31661	31862
COLONIA ANITA 	12508	12115	12192
COLONIA BARGE 	16985	16452	16556
COLONIA BREMEN	15203	14725	14819
COLONIA ITURRASPE 	12862	12458	12537
COLONIA LAS CUATRO ESQUINAS 	16365	15851	15952
COLONIA LAS PICHANAS 	19423	18813	18933
COLONIA SAN PEDRO 	15585	15095	15191
COLONIA VALTELINA 	17409	16862	16969
COLONIA VICENTE AGUERO 	21331	20661	20792
COLONIA VIDELA 	14021	13580	13667
COMECHINGONES 	22471	21765	21903
CONLARA 	23707	22962	23108
COPACABANA 	16776	16249	16352
CRUZ DE CAÑA 	18890	18296	18413
CUESTA BLANCA 	19953	19327	19450
DIEGO DE ROJAS 	27741	26870	27041
DIQUE CHICO 	19528	18914	19035
EL CHACHO 	21108	20444	20575
EL CRISPIN 	17690	17134	17243
EL MANZANO 	43810	42433	42704
EL RASTREADOR 	14551	14094	14184
EL RODEO	21786	21101	21235
ESQUINA 	21261	20593	20724
ESTANCIA DE GUADALUPE 	26487	25655	25818
ESTANCIA VIEJA 	30311	29359	29545
EUFRASIO LOZA 	20796	20143	20271
FALDA DEL CARMEN 	46396	44938	45224
GENERAL FOTHERINGHAM	21637	20958	21091
GUANACO MUERTO 	30237	29287	29473
GUASAPAMPA 	22115	21420	21556
GUTEMBERG 	33179	32137	32341
IMPIRA 	16339	15825	15926
KILOMETRO 658 	22125	21430	21567
LA BATEA 	18109	17540	17652
"LA CAROLINA ""EL POTOSI"" "	16907	16376	16480
LA CUMBRECITA 	34020	32951	33161
LA HIGUERA 	25110	24321	24476
LA PAISANITA 	18356	17779	17893
LA PAMPA	31969	30964	31161
LA PLAYA 	19730	19110	19231
LA POBLACION 	25468	24667	24824
LA POSTA 	19591	18975	19096
LA QUINTA 	18324	17748	17861
LA RANCHERITA 	15853	15355	15453
LA RINCONADA 	26482	25650	25813
LA SERRANITA 	22856	22138	22279
LAS ALBAHACAS 	24133	23374	23523
LAS BAJADAS 	16960	16427	16532
LAS CALERAS 	19842	19218	19341
LAS CALLES 	31975	30970	31167
LAS CAÑADAS 	17849	17288	17398
LAS GRAMILLAS 	14925	14456	14548
LAS ISLETILLAS	19318	18711	18830
LAS PALMAS 	18065	17497	17609
LAS PEÑAS SUD 	16614	16092	16195
LAS PLAYAS 	25188	24396	24552
LAS RABONAS 	31288	30305	30497
LAS SALADAS 	16797	16269	16373
LEGUIZAMON 	14169	13724	13811
LOS CEDROS 	39686	38439	38683
LOS CHAÑARITOS 	18973	18377	18494
LOS CHAÑARITOS (C.D.EJE) 	29638	28707	28890
LOS HORNILLOS 	40523	39250	39500
LOS HOYOS 	18445	17865	17979
LOS MISTOLES	13822	13388	13473
LOS MOLINOS 	21900	21212	21347
LOS POZOS 	15845	15348	15445
LOS REARTES 	47889	46385	46680
LOS TALARES 	17604	17051	17160
LUTTI 	16394	15879	15980
LUYABA 	52465	50817	51140
MALENA 	20227	19592	19717
MAQUINISTA GALLINI 	16077	15572	15671
MAYU SUMAJ 	41179	39885	40139
MEDIA NARANJA 	40621	39344	39595
MI GRANJA 	44723	43318	43594
NICOLAS BRUZZONE 	18660	18074	18189
OLIVARES DE SAN NICOLAS 	33067	32028	32232
ONAGOITY 	14769	14305	14396
PACHECO DE MELO 	13878	13442	13527
PAMPAYASTA NORTE	14678	14217	14307
PANAHOLMA 	28116	27232	27406
PASO DEL DURAZNO 	16384	15869	15970
PASO VIEJO 	44368	42974	43248
PINCEN 	21273	20605	20736
PLAZA DE MERCEDES 	14608	14149	14239
PLAZA LUXARDO 	17980	17415	17526
POTRERO DE GARAY 	38834	37613	37853
POZO NUEVO 	30146	29199	29385
PUESTO DE CASTRO 	15468	14982	15078
PUNTA DEL AGUA	16763	16236	16340
RAFAEL GARCIA 	25999	25182	25342
RANQUELES 	13991	13551	13637
RAYO CORTADO 	32495	31474	31674
RINCON 	28060	27178	27351
RIO BAMBA 	15658	15166	15263
ROSARIO DEL SALADILLO	24538	23767	23919
SAGRADA FAMILIA 	14263	13815	13903
SALADILLO 	16985	16452	16556
SAN CLEMENTE 	16199	15690	15790
SAN GERONIMO 	26782	25940	26106
SAN IGNACIO 	20305	19667	19792
SAN JOAQUIN 	15768	15273	15370
SAN LORENZO 	38979	37755	37995
SAN ROQUE 	38883	37661	37901
SAN VICENTE 	57508	55701	56056
