M U N I C I P I O 	TOTAL JULIO 	Total - AGOSTO 	Total - SETIEMBRE 
ACHIRAS 	163073	157950	158955
ADELIA MARIA 	303599	294060	295932
AGUA DE ORO 	146422	141821	142724
ALCIRA 	260827	252632	254240
ALEJANDRO 	244374	236696	238203
ALEJO LEDESMA 	188021	182113	183273
ALICIA 	183796	178021	179154
ALMAFUERTE 	411843	398902	401441
ALPA CORRAL 	115143	111525	112235
ALTA GRACIA 	1460195	1414314	1423318
ALTO ALEGRE 	118556	114831	115562
ALTOS DE CHIPION 	142916	138426	139307
ANISACATE 	177907	172317	173414
ARIAS 	305443	295846	297729
ARROYITO 	729468	706548	711046
ARROYO ALGODON 	110732	107253	107936
ARROYO CABRAL 	174046	168577	169651
AUSONIA 	120847	117049	117795
BALLESTEROS 	202464	196102	197351
BALLESTEROS SUR 	106758	103404	104062
BALNEARIA 	274422	265800	267492
BELL VILLE 	1066552	1033040	1039616
BENGOLEA 	116750	113081	113801
BENJAMIN GOULD 	110955	107469	108153
BERROTARAN 	285739	276761	278522
BIALET MASSE 	240045	232502	233982
BRINCKMAN 	389864	377614	380018
BUCHARDO 	147806	143162	144073
BULNES 	121233	117424	118172
CALCHIN 	153033	148224	149168
CALCHIN OESTE 	113484	109918	110618
CAMILO ALDAO 	240338	232787	234268
CANALS 	352466	341391	343564
CAÑADA DE LUQUE 	128120	124095	124885
CAP. GRAL. B. O'HIGGINS 	102990	99754	100389
CAPILLA DEL CARMEN 	100079	96935	97552
CAPILLA DEL MONTE 	378851	366947	369283
CARNERILLO 	148729	144056	144973
CARRILOBO 	140986	136556	137426
CAVANAGH 	126352	122382	123161
CHAJAN 	111473	107970	108658
CHARRAS 	120651	116860	117604
CHAZON 	121437	117621	118370
CHILIBROSTE 	105673	102352	103004
CINTRA 	128975	124923	125718
COLAZO 	134891	130652	131484
COLONIA ALMADA 	104061	100791	101433
COLONIA BISMARCK 	101358	98174	98799
COLONIA CAROYA 	625173	605529	609384
COLONIA ITALIANA 	111205	107711	108396
COLONIA MARINA 	123747	119858	120621
COLONIA PROSPERIDAD 	98991	95881	96491
COLONIA SAN BARTOLOME 	127479	123473	124259
COLONIA TIROLESA 	234714	227339	228786
COLONIA VIGNAUD 	116251	112598	113315
CORDOBA 	36078019	34944411	35166866
CORONEL BAIGORRIA 	134724	130491	131321
CORONEL MOLDES 	352258	341190	343362
CORRAL DE BUSTOS 	390822	378542	380952
CORRALITO 	142540	138061	138940
COSQUIN 	648405	628031	632029
COSTASACATE 	128997	124944	125739
CRUZ ALTA 	297083	287748	289580
CRUZ DEL EJE 	962824	932571	938508
DALMACIO VELEZ 	135593	131332	132169
DEAN FUNES 	718243	695675	700104
DEL CAMPILLO 	198379	192146	193369
DESPEÑADEROS 	280272	271465	273193
DEVOTO 	270362	261867	263534
EL ARAÑADO 	137243	132931	133777
EL BRETE 	147024	142404	143311
EL FORTIN 	131092	126973	127781
EL TIO 	143514	139005	139889
ELENA 	177030	171467	172559
EMBALSE 	329140	318798	320828
ESTACION GENERAL PAZ 	149593	144893	145815
ESTACION JUAREZ CELMAN 	420093	406893	409484
ETRURIA 	205599	199139	200407
FREYRE 	286546	277543	279310
GENERAL BALDISSERA 	155628	150738	151698
GENERAL CABRERA 	424401	411066	413683
GENERAL DEHEZA 	390175	377916	380321
GENERAL LEVALLE 	263542	255261	256886
GENERAL ROCA 	167921	162645	163680
GUATIMOZIN 	165649	160444	161466
HERNANDO 	400694	388104	390574
HUANCHILLAS 	122573	118722	119477
HUERTA GRANDE 	257139	249060	250645
HUINCA RENANCO 	364062	352623	354867
IDIAZABAL 	136840	132541	133384
