COMUNAS 	2009 OCT	2009 NOV	2009 DIC
ALDEA SANTA MARIA	17254	16599	17885
ALTO DE LOS QUEBRACHOS 	16799	16161	17413
AMBOY 	18670	17962	19353
AMBUL 	37741	36308	39121
ANA ZUMARAN	16117	15505	16706
ARROYO LOS PATOS 	30427	29272	31539
ASSUNTA 	14830	14267	15372
ATAHONA 	19170	18442	19871
AVELLANEDA 	25153	24199	26073
BAÑADO DE SOTO 	33926	32639	35167
BOWER 	63512	61101	65835
CABALANGO 	23720	22820	24588
CALMAYO 	15684	15088	16257
CAMINIAGA 	22144	21303	22954
CANDELARIA SUD	20743	19956	21502
CAÑADA DE MACHADO 	18961	18241	19654
CAÑADA DE RIO PINTO 	18626	17919	19307
CAÑADA DEL SAUCE 	15764	15165	16340
CAPILLA DE LOS REMEDIOS 	40899	39347	42395
CAPILLA DE SITON	26239	25243	27199
CASA GRANDE 	27739	26686	28755
CERRO COLORADO 	21923	21091	22725
CHALACEA 	19020	18298	19716
CHANCANI 	29870	28737	30963
CHAÑAR VIEJO 	18592	17886	19272
CHARBONIER 	25888	24906	26835
CHUCUL 	22175	21333	22986
CHUÑA 	29478	28359	30556
CHUÑA HUASI 	20336	19564	21080
CHURQUI CAÑADA	16434	15810	17035
CIENAGA DEL CORO 	33877	32591	35116
COLONIA ANITA 	12963	12471	13437
COLONIA BARGE 	17603	16935	18247
COLONIA BREMEN	15756	15158	16332
COLONIA ITURRASPE 	13330	12824	13818
COLONIA LAS CUATRO ESQUINAS 	16961	16317	17581
COLONIA LAS PICHANAS 	20130	19366	20867
COLONIA SAN PEDRO 	16152	15539	16742
COLONIA VALTELINA 	18042	17357	18702
COLONIA VICENTE AGUERO 	22107	21268	22916
COLONIA VIDELA 	14531	13979	15062
COMECHINGONES 	23289	22405	24140
CONLARA 	24570	23637	25468
COPACABANA 	17386	16726	18022
CRUZ DE CAÑA 	19577	18834	20293
CUESTA BLANCA 	20680	19895	21436
DIEGO DE ROJAS 	28751	27660	29803
DIQUE CHICO 	20238	19470	20979
EL CHACHO 	21876	21046	22676
EL CRISPIN 	18334	17638	19004
EL MANZANO 	45404	43681	47065
EL RASTREADOR 	15081	14508	15632
EL RODEO	22578	21721	23404
ESQUINA 	22035	21199	22841
ESTANCIA DE GUADALUPE 	27451	26409	28455
ESTANCIA VIEJA 	31414	30222	32563
EUFRASIO LOZA 	21553	20735	22342
FALDA DEL CARMEN 	48085	46259	49843
GENERAL FOTHERINGHAM 	22425	21574	23245
GUANACO MUERTO 	31337	30148	32483
GUASAPAMPA 	22919	22050	23758
GUTEMBERG 	34387	33082	35645
IMPIRA 	16933	16290	17553
KILOMETRO 658 	22931	22060	23769
LA BATEA 	18768	18056	19454
"LA CAROLINA ""EL POTOSI"" "	17522	16857	18163
LA CUMBRECITA 	35258	33920	36548
LA HIGUERA 	26024	25036	26975
LA PAISANITA 	19024	18302	19720
LA PAMPA	33132	31874	34344
LA PLAYA 	20448	19672	21196
LA POBLACION 	26394	25393	27360
LA POSTA 	20304	19533	21046
LA QUINTA 	18990	18270	19685
LA RANCHERITA 	16430	15806	17031
LA RINCONADA 	27446	26404	28449
LA SERRANITA 	23688	22789	24555
LAS ALBAHACAS 	25011	24062	25926
LAS BAJADAS 	17577	16910	18220
LAS CALERAS 	20564	19783	21316
LAS CALLES 	33138	31881	34351
LAS CAÑADAS 	18498	17796	19175
LAS GRAMILLAS 	15468	14881	16034
LAS ISLETILLAS 	20021	19261	20753
LAS PALMAS 	18722	18012	19407
LAS PEÑAS SUD 	17219	16566	17850
LAS PLAYAS 	26104	25114	27059
LAS RABONAS 	32426	31195	33612
LAS SALADAS 	17409	16748	18045
LEGUIZAMON 	14684	14127	15221
LOS CEDROS 	41130	39569	42634
LOS CHAÑARITOS 	19663	18917	20382
LOS CHAÑARITOS (C.D.EJE) 	30717	29551	31840
LOS HORNILLOS 	41998	40404	43534
LOS HOYOS 	19116	18391	19815
LOS MISTOLES	14325	13782	14849
LOS MOLINOS 	22697	21836	23527
LOS POZOS 	16422	15799	17023
LOS REARTES 	49632	47748	51448
LOS TALARES 	18245	17552	18912
LUTTI 	16990	16345	17612
LUYABA 	54375	52311	56364
MALENA 	20964	20168	21730
MAQUINISTA GALLINI 	16662	16030	17272
MAYU SUMAJ 	42677	41057	44239
MEDIA NARANJA 	42099	40501	43639
MI GRANJA 	46351	44592	48046
NICOLAS BRUZZONE 	19339	18605	20047
OLIVARES DE SAN NICOLAS 	34270	32969	35524
ONAGOITY 	15306	14726	15866
PACHECO DE MELO 	14383	13837	14909
PAMPAYASTA NORTE 	15212	14635	15768
PANAHOLMA 	29139	28033	30205
PASO DEL DURAZNO 	16980	16336	17601
PASO VIEJO 	45983	44238	47665
PINCEN 	22047	21210	22854
PLAZA DE MERCEDES 	15140	14565	15694
PLAZA LUXARDO 	18635	17927	19316
POTRERO DE GARAY 	40247	38719	41719
POZO NUEVO 	31243	30057	32386
PUESTO DE CASTRO 	16031	15423	16618
PUNTA DEL AGUA	17373	16714	18009
RAFAEL GARCIA 	26945	25922	27930
RANQUELES 	14500	13950	15030
RAYO CORTADO 	33677	32399	34909
RINCON 	29081	27977	30145
RIO BAMBA 	16228	15612	16821
ROSARIO DEL SALADILLO	25431	24466	26361
SAGRADA FAMILIA 	14782	14221	15322
SALADILLO 	17603	16935	18247
SAN CLEMENTE 	16789	16151	17403
SAN GERONIMO 	27757	26703	28772
SAN IGNACIO 	21044	20245	21814
SAN JOAQUIN 	16342	15722	16940
SAN LORENZO 	40398	38865	41875
SAN ROQUE 	40298	38768	41772
SAN VICENTE 	59601	57339	61781
SANTA ELENA 	21831	21002	22629
SAUCE ARRIBA 	35166	33831	36452
SEGUNDA USINA 	15550	14960	16119
SIMBOLAR	23862	22957	24735
SUCO 	20991	20194	21759
TALA CAÑADA 	27450	26408	28454
TALA HUASI 	16053	15443	16640
TALAINI 	17839	17162	18491
TINOCO 	24579	23646	25478
TORO PUJIO 	21767	20941	22563
TOSNO 	20283	19513	21025
TUCLAME 	33414	32146	34636
VALLE DE ANISACATE 	22419	21568	23239
VILLA AMANCAY 	26564	25556	27536
VILLA C.PAR. LOS REARTES 	34458	33150	35718
VILLA CANDELARIA NORTE 	30623	29461	31743
VILLA CERRO AZUL 	18584	17878	19264
VILLA CIUDAD DE AMERICA 	33872	32586	35111
VILLA DE POCHO 	24484	23554	25379
VILLA DEL PRADO 	49823	47932	51646
VILLA EL CHACAY 	17412	16751	18049
VILLA ELISA 	13282	12778	13767
VILLA GUTIERREZ 	22124	21284	22933
VILLA LA BOLSA 	35417	34073	36713
VILLA LOS AROMOS 	35252	33914	36541
VILLA LOS PATOS	12927	12437	13400
VILLA PARQUE SIQUIMAN 	46775	45000	48486
VILLA QUILLINZO 	14964	14396	15511
VILLA SAN ESTEBAN 	14374	13828	14900
VILLA SAN ISIDRO 	43227	41587	44808
VILLA SARMIENTO 	24006	23095	24884
WASHINGTON 	27627	26578	28637
YCHO CRUZ 	62718	60338	65012
