COMUNAS 	2010 ENE	2010 FEB	2010 MAR
ALDEA SANTA MARIA	17671	19613	18653
ALTO DE LOS QUEBRACHOS 	17205	19096	18161
AMBOY 	19122	21224	20184
AMBUL 	38653	42902	40801
ANA ZUMARAN	16506	18321	17423
ARROYO LOS PATOS 	31162	34588	32894
ASSUNTA 	15188	16858	16032
ATAHONA 	19633	21791	20724
AVELLANEDA 	25761	28593	27193
BAÑADO DE SOTO 	34747	38566	36678
BOWER 	65047	72198	68662
CABALANGO 	24294	26964	25644
CALMAYO 	16063	17829	16955
CAMINIAGA	22679	25172	23939
CANDELARIA SUD	21244	23580	22425
CAÑADA DE MACHADO 	19419	21554	20498
CAÑADA DE RIO PINTO 	19076	21173	20136
CAÑADA DEL SAUCE 	16145	17919	17042
CAPILLA DE LOS REMEDIOS 	41888	46493	44216
CAPILLA DE SITON	26874	29828	28367
CASA GRANDE 	28411	31534	29989
CERRO COLORADO 	22454	24922	23701
CHALACEA 	19480	21622	20563
CHANCANI 	30593	33955	32293
CHAÑAR VIEJO 	19041	21134	20099
CHARBONIER 	26514	29429	27988
CHUCUL 	22711	25208	23974
CHUÑA 	30190	33509	31868
CHUÑA HUASI	20828	23118	21985
CHURQUI CAÑADA	16831	18681	17766
CIENAGA DEL CORO 	34696	38510	36624
COLONIA ANITA 	13277	14736	14014
COLONIA BARGE 	18029	20011	19031
COLONIA BREMEN	16137	17911	17034
COLONIA ITURRASPE 	13652	15153	14411
COLONIA LAS CUATRO ESQUINAS 	17371	19280	18336
COLONIA LAS PICHANAS 	20617	22883	21763
COLONIA SAN PEDRO 	16542	18361	17461
COLONIA VALTELINA 	18478	20510	19505
COLONIA VICENTE AGUERO 	22642	25131	23900
COLONIA VIDELA 	14882	16518	15709
COMECHINGONES 	23852	26474	25177
CONLARA 	25164	27930	26562
COPACABANA 	17807	19764	18796
CRUZ DE CAÑA 	20051	22255	21165
CUESTA BLANCA 	21180	23508	22357
DIEGO DE ROJAS 	29446	32683	31083
DIQUE CHICO 	20728	23006	21880
EL CHACHO 	22405	24868	23650
EL CRISPIN 	18777	20841	19821
EL MANZANO 	46502	51614	49086
EL RASTREADOR 	15446	17143	16304
EL RODEO	23124	25666	24409
ESQUINA 	22568	25049	23822
ESTANCIA DE GUADALUPE 	28115	31205	29677
ESTANCIA VIEJA 	32174	35710	33961
EUFRASIO LOZA 	22074	24501	23301
FALDA DEL CARMEN 	49247	54661	51984
GENERAL FOTHERINGHAM	22967	25492	24243
GUANACO MUERTO 	32095	35623	33878
GUASAPAMPA 	23474	26054	24778
GUTEMBERG 	35218	39090	37175
IMPIRA 	17343	19249	18306
KILOMETRO 658 	23485	26066	24790
LA BATEA 	19222	21335	20290
"LA CAROLINA ""EL POTOSI"" "	17946	19918	18943
LA CUMBRECITA 	36110	40080	38117
LA HIGUERA 	26653	29583	28134
LA PAISANITA 	19484	21626	20567
LA PAMPA	33933	37663	35819
LA PLAYA 	20942	23244	22106
LA POBLACION 	27033	30004	28535
LA POSTA 	20795	23081	21950
LA QUINTA 	19450	21588	20530
LA RANCHERITA 	16827	18677	17762
LA RINCONADA 	28109	31199	29671
LA SERRANITA 	24261	26928	25609
LAS ALBAHACAS 	25616	28431	27039
LAS BAJADAS 	18002	19981	19002
LAS CALERAS 	21061	23376	22231
LAS CALLES 	33940	37671	35826
LAS CAÑADAS 	18946	21028	19998
LAS GRAMILLAS 	15842	17584	16723
LAS ISLETILLAS	20505	22759	21644
LAS PALMAS 	19175	21283	20240
LAS PEÑAS SUD 	17635	19574	18615
LAS PLAYAS 	26736	29675	28221
LAS RABONAS 	33210	36861	35056
LAS SALADAS 	17829	19789	18820
LEGUIZAMON 	15039	16693	15875
LOS CEDROS 	42124	46755	44465
LOS CHAÑARITOS 	20139	22352	21258
LOS CHAÑARITOS (C.D.EJE) 	31459	34918	33208
LOS HORNILLOS 	43013	47741	45403
LOS HOYOS 	19578	21731	20666
LOS MISTOLES	14672	16285	15487
LOS MOLINOS 	23246	25801	24538
LOS POZOS 	16819	18668	17754
LOS REARTES 	50832	56420	53657
LOS TALARES 	18686	20740	19725
LUTTI 	17401	19314	18368
LUYABA 	55689	61811	58784
MALENA 	21470	23831	22664
MAQUINISTA GALLINI 	17065	18941	18013
MAYU SUMAJ 	43709	48514	46138
MEDIA NARANJA 	43117	47857	45513
MI GRANJA 	47472	52690	50110
NICOLAS BRUZZONE 	19807	21984	20908
OLIVARES DE SAN NICOLAS 	35099	38957	37049
ONAGOITY 	15677	17400	16548
PACHECO DE MELO 	14730	16350	15549
PAMPAYASTA NORTE	15580	17292	16446
PANAHOLMA 	29844	33124	31502
PASO DEL DURAZNO 	17391	19302	18357
PASO VIEJO 	47095	52272	49712
PINCEN 	22580	25062	23835
PLAZA DE MERCEDES 	15506	17211	16368
PLAZA LUXARDO 	19085	21183	20146
POTRERO DE GARAY 	41220	45751	43510
POZO NUEVO	31998	35516	33777
PUESTO DE CASTRO 	16419	18224	17331
PUNTA DEL AGUA	17793	19749	18782
RAFAEL GARCIA 	27596	30630	29130
RANQUELES 	14850	16483	15676
RAYO CORTADO 	34492	38283	36408
RINCON 	29784	33058	31440
RIO BAMBA 	16620	18447	17544
ROSARIO DEL SALADILLO	26046	28909	27493
SAGRADA FAMILIA 	15139	16803	15980
SALADILLO 	18029	20011	19031
SAN CLEMENTE 	17195	19085	18150
SAN GERONIMO 	28428	31553	30007
SAN IGNACIO 	21553	23922	22750
SAN JOAQUIN 	16737	18577	17667
SAN LORENZO 	41375	45923	43674
SAN ROQUE 	41272	45809	43566
SAN VICENTE 	61042	67752	64434
SANTA ELENA 	22359	24817	23601
SAUCE ARRIBA 	36016	39975	38017
SEGUNDA USINA 	15926	17677	16811
SIMBOLAR	24439	27126	25797
SUCO 	21499	23862	22693
TALA CAÑADA 	28113	31204	29676
TALA HUASI 	16441	18248	17355
TALAINI 	18270	20278	19285
TINOCO 	25173	27940	26572
TORO PUJIO 	22293	24744	23532
TOSNO 	20773	23057	21928
TUCLAME 	34222	37984	36124
VALLE DE ANISACATE 	22961	25485	24237
VILLA AMANCAY 	27206	30197	28718
VILLA C.PAR. LOS REARTES 	35291	39170	37252
VILLA CANDELARIA NORTE 	31364	34811	33106
VILLA CERRO AZUL 	19033	21125	20091
VILLA CIUDAD DE AMERICA 	34691	38504	36618
VILLA DE POCHO 	25076	27832	26469
VILLA DEL PRADO 	51028	56637	53864
VILLA EL CHACAY 	17833	19793	18824
VILLA ELISA 	13603	15098	14359
VILLA GUTIERREZ 	22658	25149	23918
VILLA LA BOLSA 	36274	40261	38289
VILLA LOS AROMOS 	36104	40073	38110
VILLA LOS PATOS	13240	14695	13975
VILLA PARQUE SIQUIMAN 	47906	53172	50568
VILLA QUILLINZO 	15325	17010	16177
VILLA SAN ESTEBAN 	14722	16340	15540
VILLA SAN ISIDRO 	44273	49139	46733
VILLA SARMIENTO 	24586	27289	25953
WASHINGTON 	28295	31405	29867
YCHO CRUZ 	64235	71296	67804
