COMUNAS 	2010 ABR	2010 MAY	2010 JUN
ALDEA SANTA MARIA 	18916	22681	23741
ALTO DE LOS QUEBRACHOS 	18418	22083	23115
AMBOY 	20470	24543	25690
AMBUL 	41378	49612	51931
ANA ZUMARAN 	17670	21186	22176
ARROYO LOS PATOS 	33359	39997	41867
ASSUNTA 	16259	19494	20405
ATAHONA 	21017	25199	26377
AVELLANEDA 	27577	33065	34611
BAÑADO DE SOTO 	37196	44598	46683
BOWER 	69633	83489	87392
CABALANGO 	26006	31181	32639
CALMAYO 	17195	20617	21581
CAMINIAGA 	24278	29109	30470
CANDELARIA SUD 	22742	27267	28542
CAÑADA DE MACHADO 	20788	24925	26090
CAÑADA DE RIO PINTO 	20421	24484	25629
CAÑADA DEL SAUCE 	17283	20722	21691
CAPILLA DE LOS REMEDIOS 	44841	53764	56277
CAPILLA DE SITON 	28768	34493	36105
CASA GRANDE 	30413	36465	38170
CERRO COLORADO 	24036	28819	30167
CHALACEA 	20853	25003	26172
CHANCANI 	32749	39266	41101
CHAÑAR VIEJO 	20383	24440	25582
CHARBONIER 	28383	34031	35622
CHUCUL 	24312	29150	30513
CHUÑA 	32318	38750	40561
CHUÑA HUASI 	22296	26733	27983
CHURQUI CAÑADA 	18017	21603	22613
CIENAGA DEL CORO 	37142	44533	46615
COLONIA ANITA 	14212	17041	17837
COLONIA BARGE 	19300	23140	24222
COLONIA BREMEN 	17274	20712	21680
COLONIA ITURRASPE 	14615	17523	18342
COLONIA LAS CUATRO ESQUINAS 	18595	22296	23338
COLONIA LAS PICHANAS 	22070	26462	27699
COLONIA SAN PEDRO 	17708	21232	22225
COLONIA VALTELINA 	19781	23717	24826
COLONIA VICENTE AGUERO 	24238	29061	30419
COLONIA VIDELA 	15931	19101	19994
COMECHINGONES 	25533	30614	32045
CONLARA 	26937	32298	33807
COPACABANA 	19062	22855	23923
CRUZ DE CAÑA 	21464	25735	26938
CUESTA BLANCA 	22673	27184	28456
DIEGO DE ROJAS 	31522	37795	39561
DIQUE CHICO 	22189	26604	27848
EL CHACHO 	23984	28757	30101
EL CRISPIN 	20101	24101	25227
EL MANZANO 	49780	59686	62476
EL RASTREADOR 	16534	19825	20751
EL RODEO 	24754	29680	31068
ESQUINA 	24159	28966	30320
ESTANCIA DE GUADALUPE 	30096	36085	37772
ESTANCIA VIEJA 	34441	41295	43225
EUFRASIO LOZA 	23630	28333	29657
FALDA DEL CARMEN 	52719	63209	66164
GENERAL FOTHERINGHAM 	24586	29479	30856
GUANACO MUERTO 	34357	41194	43120
GUASAPAMPA 	25128	30129	31537
GUTEMBERG 	37701	45203	47316
IMPIRA 	18565	22259	23300
KILOMETRO 658 	25140	30143	31552
