M U N I C I P I O 	OCTUBRE 	NOVIEMBRE 	DICIEMBRE 
ACHIRAS 	212868	226344	197031
ADELIA MARIA 	396303	421392	366819
AGUA DE ORO 	191131	203231	176913
ALCIRA 	340470	362025	315141
ALEJANDRO 	318994	339188	295263
ALEJO LEDESMA 	245433	260971	227174
ALICIA 	239917	255106	222069
ALMAFUERTE 	537597	571632	497603
ALPA CORRAL 	150302	159817	139120
ALTA GRACIA 	1906062	2026730	1764260
ALTO ALEGRE 	154757	164555	143244
ALTOS DE CHIPION 	186555	198365	172676
ANISACATE 	232230	246932	214953
ARIAS 	398710	423951	369047
ARROYITO 	952210	1012492	881370
ARROYO ALGODON 	144544	153695	133790
ARROYO CABRAL 	227191	241574	210290
AUSONIA 	157747	167733	146011
BALLESTEROS 	264286	281017	244624
BALLESTEROS SUR 	139357	148179	128989
BALNEARIA 	358216	380894	331566
BELL VILLE 	1392220	1480359	1288646
BENGOLEA 	152399	162047	141061
BENJAMIN GOULD 	144835	154004	134060
BERROTARAN 	372988	396601	345239
BIALET MASSE 	313342	333179	290031
BRINCKMAN 	508908	541126	471048
BUCHARDO 	192938	205153	178586
BULNES 	158252	168270	146478
CALCHIN 	199761	212407	184899
CALCHIN OESTE 	148136	157514	137115
CAMILO ALDAO 	313725	333586	290385
CANALS 	460090	489218	425863
CAÑADA DE LUQUE 	167241	177829	154799
CAP. GRAL. B. O'HIGGINS 	134438	142949	124436
CAPILLA DEL CARMEN 	130638	138909	120919
CAPILLA DEL MONTE 	494532	525840	457742
CARNERILLO 	194143	206434	179700
CARRILOBO 	184036	195687	170345
CAVANAGH 	164933	175375	152663
CHAJAN 	145511	154723	134685
CHARRAS 	157491	167462	145775
CHAZON 	158517	168552	146724
CHILIBROSTE 	137940	146672	127677
CINTRA 	168357	179016	155832
COLAZO 	176079	187226	162980
COLONIA ALMADA 	135835	144435	125730
COLONIA BISMARCK 	132308	140684	122465
COLONIA CAROYA 	816067	867731	755356
COLONIA ITALIANA 	145161	154351	134361
COLONIA MARINA 	161532	171759	149515
COLONIA PROSPERIDAD 	129218	137399	119605
COLONIA SAN BARTOLOME 	166404	176938	154024
COLONIA TIROLESA 	306383	325780	283591
COLONIA VIGNAUD 	151748	161355	140458
CORDOBA 	47094340	50075769	43590714
CORONEL BAIGORRIA 	175861	186995	162778
CORONEL MOLDES 	459819	488929	425612
CORRAL DE BUSTOS 	510159	542456	472206
CORRALITO 	186065	197844	172223
COSQUIN 	846393	899977	783426
COSTASACATE 	168386	179046	155859
CRUZ ALTA 	387796	412347	358947
CRUZ DEL EJE 	1256820	1336386	1163318
DALMACIO VELEZ 	176996	188201	163828
DEAN FUNES 	937557	996911	867806
DEL CAMPILLO 	258954	275348	239690
DESPEÑADEROS 	365852	389013	338634
DEVOTO 	352916	375258	326661
EL ARAÑADO 	179150	190492	165822
EL BRETE 	191917	204067	177639
EL FORTIN 	171120	181953	158390
EL TIO 	187335	199195	173398
