DEPARTAMENTO 	2011 ENE	2011 FEB	2011 MAR
ALDEA SANTA MARIA 	26020	25786	27472
ALTO DE LOS QUEBRACHOS 	25334	25107	26414
AMBOY 	28157	27904	30652
AMBUL 	56916	56405	67383
ANA ZUMARAN 	24305	24087	34124
ARROYO LOS PATOS 	45886	45474	51914
ASSUNTA 	22364	22163	23142
ATAHONA 	28909	28650	30503
AVELLANEDA 	37933	37593	39999
BAÑADO DE SOTO 	51164	50705	62149
CABALANGO 	35772	35451	18905
CALMAYO 	23652	23440	24541
CAMINIAGA 	33395	33095	34665
CANDELARIA SUD 	31282	31001	32516
CAÑADA DE MACHADO 	28594	28337	30427
CAÑADA DE RIO PINTO 	28089	27837	29539
CAÑADA DEL SAUCE 	23773	23559	22001
CAPILLA DE LOS REMEDIOS 	61680	61126	67842
CAPILLA DE SITON 	39571	39216	40830
CASA GRANDE 	41833	41458	46140
CERRO COLORADO 	33062	32766	45904
CHALACEA 	28684	28427	30670
CHANCANI 	45047	44642	54823
CHAÑAR VIEJO 	28038	27786	30171
CHARBONIER 	39042	38691	44409
CHUCUL 	33442	33142	34998
CHUÑA 	44455	44055	47611
CHUÑA HUASI 	30669	30393	32295
CHURQUI CAÑADA 	24783	24561	34412
CIENAGA DEL CORO 	51090	50631	52991
COLONIA ANITA 	19549	19374	20004
COLONIA BARGE 	26547	26309	27650
COLONIA BREMEN 	23761	23548	24916
COLONIA ITURRASPE 	20103	19922	20620
COLONIA LAS CUATRO ESQUINAS 	25578	25349	26863
COLONIA LAS PICHANAS 	30358	30086	31906
COLONIA SAN PEDRO 	24358	24139	25358
COLONIA VALTELINA 	27209	26965	28532
COLONIA VICENTE AGUERO 	33340	33040	34898
COLONIA VIDELA 	21914	21717	22639
COMECHINGONES 	35121	34806	37977
CONLARA 	37053	36720	39341
COPACABANA 	26220	25984	27376
CRUZ DE CAÑA 	29524	29259	39133
CUESTA BLANCA 	31187	30907	40411
DIEGO DE ROJAS 	43359	42970	47186
DIQUE CHICO 	30521	30247	28106
EL CHACHO 	32991	32694	40422
EL CRISPIN 	27649	27401	29354
EL MANZANO 	68474	67859	76620
EL RASTREADOR 	22743	22539	23565
EL RODEO 	34050	33744	38883
ESQUINA 	33231	32932	35549
ESTANCIA DE GUADALUPE 	41398	41027	48040
ESTANCIA VIEJA 	47375	46950	50666
EUFRASIO LOZA 	32504	32212	35271
FALDA DEL CARMEN 	72516	71864	44396
GENERAL FOTHERINGHAM 	33819	33515	36779
GUANACO MUERTO 	47259	46835	51527
GUASAPAMPA 	34565	34254	44268
GUTEMBERG 	51858	51393	57866
IMPIRA 	25537	25307	26675
KILOMETRO 658 	34581	34271	37082
LA BATEA 	28304	28050	30017
"LA CAROLINA ""EL POTOSI"" "	26425	26187	27285
LA CUMBRECITA 	53172	52695	61865
LA HIGUERA 	39246	38893	43221
LA PAISANITA 	28690	28432	18865
LA PAMPA 	49966	49517	54549
LA PLAYA 	30837	30560	43714
LA POBLACION 	39805	39447	42649
