M U N I C I P I O 	ENERO 	Febrero 	Marzo 
ACHIRAS 	254878	252590	247391
ADELIA MARIA 	474516	470255	447019
AGUA DE ORO 	228852	226797	225773
ALCIRA 	407664	404004	390667
ALEJANDRO 	381949	378519	377082
ALEJO LEDESMA 	293871	291232	279535
ALICIA 	287266	284687	284880
ALMAFUERTE 	643696	637916	609402
ALPA CORRAL 	179965	178349	173004
ALTA GRACIA 	2282236	2261742	2241108
ALTO ALEGRE 	185300	183636	178813
ALTOS DE CHIPION 	223373	221367	214763
ANISACATE 	278062	275565	275814
ARIAS 	477398	473111	440699
ARROYITO 	1140135	1129896	1143375
ARROYO ALGODON 	173071	171516	166197
ARROYO CABRAL 	272028	269585	270477
AUSONIA 	188879	187183	176510
BALLESTEROS 	316445	313603	308047
BALLESTEROS SUR 	166860	165362	160891
BALNEARIA 	428912	425061	414322
BELL VILLE 	1666984	1652015	1635774
BENGOLEA 	182476	180837	175491
BENJAMIN GOULD 	173419	171862	166770
BERROTARAN 	446600	442590	423051
BIALET MASSE 	375182	371813	377902
BOWER 	95781	94921	501830
BRINCKMAN 	609345	603873	593735
BUCHARDO 	231016	228942	224607
BULNES 	189484	187782	181465
CALCHIN 	239185	237037	235106
CALCHIN OESTE 	177371	175779	170691
CAMILO ALDAO 	375640	372267	358433
CANALS 	550892	545945	540882
CAÑADA DE LUQUE 	200248	198449	191871
CAP. GRAL. B. O'HIGGINS 	160970	159525	154393
CAPILLA DEL CARMEN 	156421	155016	151197
CAPILLA DEL MONTE 	592131	586814	574158
CARNERILLO 	232459	230371	225797
CARRILOBO 	220357	218378	211922
CAVANAGH 	197484	195711	188849
CHAJAN 	174228	172664	166463
CHARRAS 	188573	186880	181228
CHAZON 	189801	188097	181706
CHILIBROSTE 	165163	163680	163723
CINTRA 	201584	199774	195982
COLAZO 	210830	208936	203019
COLONIA ALMADA 	162643	161183	156592
COLONIA BISMARCK 	158420	156997	152761
COLONIA CAROYA 	977124	968349	1017330
COLONIA ITALIANA 	173809	172248	171452
COLONIA MARINA 	193412	191675	186640
COLONIA PROSPERIDAD 	154720	153331	153990
COLONIA SAN BARTOLOME 	199245	197455	191426
COLONIA TIROLESA 	366850	363556	378245
COLONIA VIGNAUD 	181696	180065	178408
CORDOBA 	56388721	55882361	54879334
CORONEL BAIGORRIA 	210569	208678	200426
CORONEL MOLDES 	550568	545624	516492
CORRAL DE BUSTOS 	610842	605357	580256
CORRALITO 	222786	220785	220409
COSQUIN 	1013435	1004334	986724
COSTASACATE 	201618	199808	194156
CRUZ ALTA 	464330	460161	438925
CRUZ DEL EJE 	1504862	1491348	1501041
DALMACIO VELEZ 	211927	210024	209787
DEAN FUNES 	1122590	1112509	1082083
DEL CAMPILLO 	310060	307276	315872
DESPEÑADEROS 	438055	434121	412365
DEVOTO 	422566	418772	406981
EL ARAÑADO 	214507	212581	226217
EL BRETE 	229793	227730	222059
EL FORTIN 	204892	203052	197128
EL TIO 	224307	222293	215249
ELENA 	276691	274207	262240
EMBALSE 	514435	509816	523044
ESTACION GENERAL PAZ 	233809	231709	227438
ESTACION JUAREZ CELMAN 	656591	650695	642334
ETRURIA 	321345	318459	324834
FREYRE 	447862	443841	432680
