MUNICIPIO 	Abril 	Mayo 	Junio
ACHIRAS 	244608	301663	302731
ADELIA MARIA 	451002	556199	558167
AGUA DE ORO 	220811	272316	273279
ALCIRA 	389610	480487	482188
ALEJANDRO 	368617	454597	456206
ALEJO LEDESMA 	280181	345534	346756
ALICIA 	277652	342415	343627
ALMAFUERTE 	612773	755703	758377
ALPA CORRAL 	172171	212330	213081
ALTA GRACIA 	2198672	2711514	2721110
ALTO ALEGRE 	177495	218896	219670
ALTOS DE CHIPION 	213709	263556	264489
ANISACATE 	268776	331468	332641
ARIAS 	450813	555966	557933
ARROYITO 	1106097	1364095	1368921
ARROYO ALGODON 	165517	204124	204846
ARROYO CABRAL 	263154	324535	325683
AUSONIA 	179058	220824	221605
BALLESTEROS 	303985	374889	376216
BALLESTEROS SUR 	159790	197062	197759
BALNEARIA 	410985	506847	508641
BELL VILLE 	1605569	1980069	1987075
BENGOLEA 	174597	215322	216084
BENJAMIN GOULD 	165928	204630	205355
BERROTARAN 	425225	524409	526264
BIALET MASSE 	364517	449541	451132
BOWER 	224411	276756	277735
BRINCKMAN 	585533	722110	724665
BUCHARDO 	221830	273572	274540
BULNES 	181054	223285	224075
CALCHIN 	230502	284267	285273
CALCHIN OESTE 	169748	209342	210083
CAMILO ALDAO 	358504	442125	443690
CANALS 	530695	654480	656795
CAÑADA DE LUQUE 	191371	236008	236843
CAP. GRAL. B. O'HIGGINS 	153885	189779	190450
CAPILLA DEL CARMEN 	149914	184882	185536
CAPILLA DEL MONTE 	460330	438112	
CAPILLA DEL MONTE 	240260	264959	
CARNERILLO 	223146	275195	276169
CARRILOBO 	210842	260021	260941
CAVANAGH 	188608	232602	233425
CHAJAN 	166350	205151	205877
CHARRAS 	180390	222466	223253
CHAZON 	181337	223634	224425
CHILIBROSTE 	159613	196843	197540
CINTRA 	193565	238714	239559
COLAZO 	201810	248883	249763
COLONIA ALMADA 	155677	191989	192668
COLONIA BISMARCK 	151711	187097	187759
COLONIA CAROYA 	960081	1184021	1188210
COLONIA ITALIANA 	167696	206812	207543
COLONIA MARINA 	185265	228478	229287
COLONIA PROSPERIDAD 	149722	184645	185298
COLONIA SAN BARTOLOME 	190579	235032	235863
COLONIA TIROLESA 	359252	443048	444616
COLONIA VIGNAUD 	175039	215867	216631
CORDOBA 	54164227	66798088	67034443
CORONEL BAIGORRIA 	200802	247639	248515
CORONEL MOLDES 	522582	644475	646755
CORRAL DE BUSTOS 	582132	717915	720455
CORRALITO 	215159	265345	266284
COSQUIN 	973592	1200682	1204931
COSTASACATE 	192995	238012	238854
CRUZ ALTA 	441808	544860	546788
CRUZ DEL EJE 	1457311	1797230	1803589
DALMACIO VELEZ 	204712	252461	253354
DEAN FUNES 	1074915	1325641	1330331
DEL CAMPILLO 	302401	372937	374256
DESPEÑADEROS 	416249	513340	515156
DEVOTO 	404511	498864	500629
EL ARAÑADO 	211700	261079	262003
EL BRETE 	220215	271581	272541
EL FORTIN 	196070	241804	242660
EL TIO 	214469	264494	265430
ELENA 	263493	324953	326103
EMBALSE 	501393	618344	620531
ESTACION GENERAL PAZ 	224549	276925	277905
ESTACION JUAREZ CELMAN 	631764	779124	781881
ETRURIA 	312586	385497	386861
FREYRE 	429159	529261	531135
GENERAL BALDISSERA 	236451	291603	292635
GENERAL CABRERA 	634798	782866	785636
GENERAL DEHEZA 	583332	719394	721940
GENERAL LEVALLE 	394423	486422	488143
GENERAL ROCA 	250090	308423	309515
GUATIMOZIN 	246496	303992	305067
HERNANDO 	599599	739455	742072
HUANCHILLAS 	183351	226117	226917
HUERTA GRANDE 	387771	478219	479911
HUINCA RENANCO 	539369	665177	667531
IDIAZABAL 	204912	252708	253602
INRIVILLE 	306808	378371	379710
ISLA VERDE 	326205	402293	403716
ITALO 	190977	235522	236355
JAMES CRAIK 	348919	430305	431827
JESUS MARIA 	1420077	1751311	1757509
JOVITA 	365557	450823	452419
JUSTINIANO POSSE 	493961	609178	611333
LA CALERA 	1417515	1748152	1754337
LA CARLOTA 	692014	853426	856446
LA CAUTIVA 	170275	209991	210734
LA CESIRA 	192634	237566	238407
LA CRUZ 	205934	253968	254867
LA CUMBRE 	459746	566982	568989
LA FALDA 	768270	947469	950822
LA FRANCIA 	306051	377438	378774
LA GRANJA 	256503	316333	317452
LA LAGUNA 	195799	241469	242324
LA PALESTINA 	158681	195693	196386
LA PAQUITA 	173878	214435	215194
LA PARA 	311932	384690	386051
LA PAZ 	275831	340168	341372
LA PLAYOSA 	253163	312214	313318
LA PUERTA 	241296	297579	298632
LA TORDILLA 	190177	234536	235365
LABORDE 	398641	491624	493364
LABOULAYE 	1063118	1311091	1315731
LAGUNA LARGA 	457795	564576	566574
LAS ACEQUIAS 	230595	284382	285388
LAS ARRIAS 	196410	242223	243080
LAS HIGUERAS 	394093	486016	487736
LAS JUNTURAS 	207904	256398	257305
LAS PEÑAS 	211904	261330	262255
LAS PERDICES 	355102	437930	439480
LAS TAPIAS 	218186	269079	270031
LAS VARAS 	192275	237123	237962
LAS VARILLAS 	866535	1068654	1072437
LAS VERTIENTES 	169929	209565	210306
LASPIUR 	242018	298469	299525
LEONES 	596592	735748	738351
LOS CERRILLOS 	238642	294305	295346
LOS CISNES 	160094	197435	198134
LOS COCOS 	179318	221144	221927
LOS CONDORES 	269084	331848	333022
LOS SURGENTES 	261347	322307	323447
LOS ZORROS 	165100	203609	204330
LOZADA 	183571	226389	227190
LUCA 	158199	195099	195789
LUCIO V. MANSILLA 	178990	220740	221521
LUQUE 	395138	487305	489029
MALAGUEÑO 	694055	855943	858972
MALVINAS ARGENTINAS 	661997	816408	819297
MANFREDI 	174718	215471	216233
MARCOS JUAREZ 	1288646	1589224	1594848
MARULL 	213440	263226	264157
MATORRALES 	178520	220160	220939
MATTALDI 	219215	270347	271304
MELO 	190466	234893	235724
MENDIOLAZA 	476949	588197	590279
MINA CLAVERO 	549840	678090	680490
MIRAMAR 	232061	286189	287202
MONTE BUEY 	412583	508818	510618
MONTE CRISTO 	608741	750730	753387
MONTE DE LOS GAUCHOS 	166264	205045	205771
MONTE LEÑA 	155949	192324	193004
MONTE MAIZ 	464336	572643	574670
MONTE RALO 	158307	195232	195923
MORRISON 	279525	344725	345945
MORTEROS 	881047	1086551	1090396
NOETINGER 	352791	435079	436619
NONO 	230037	283693	284697
OBISPO TREJO 	254567	313946	315056
OLAETA 	161155	198745	199448
OLIVA 	673534	830637	833576
ONCATIVO 	681284	840194	843167
ORDOÑEZ 	251269	309877	310974
PAMPAYASTA SUD 	186249	229691	230504
PASCANAS 	257846	317989	319114
PASCO 	185806	229146	229957
PILAR 	722897	891513	894667
PIQUILLIN 	198390	244665	245531
PORTEÑA 	380711	469512	471174
POZO DEL MOLLE 	385156	474994	476674
PUEBLO ITALIANO 	206632	254830	255731
QUEBRACHO HERRADO 	149901	184865	185519
QUILINO 	373302	460375	462004
REDUCCION 	204177	251801	252692
RIO CEBALLOS 	937658	1156368	1160461
RIO CUARTO 	6957785	8580696	8611057
RIO DE LOS SAUCES 	190945	235483	236316
RIO PRIMERO 	478986	590709	592800
RIO SEGUNDO 	977887	1205979	1210247
RIO TERCERO 	2106013	2597243	2606433
ROSALES 	158936	196008	196701
SACANTA 	267024	329308	330473
SAIRA 	169255	208733	209472
SALDAN 	566996	699248	701723
SALSACATE 	242480	299039	300097
SALSIPUEDES 	512305	631800	634036
SAMPACHO 	472954	583271	585335
SAN AGUSTIN 	289690	357260	358524
SAN ANTONIO DE ARREDONDO 	279307	344455	345674
SAN ANTONIO DE LITIN 	191843	236590	237427
SAN BASILIO 	276472	340959	342165
SAN CARLOS MINAS 	219584	270802	271761
SAN ESTEBAN 	168630	207963	208699
SAN FRANCISCO 	2874532	3545018	3557563
SAN FRANCISCO DEL CHAÑAR 	278565	343540	344756
SAN JAVIER Y YACANTO 	202666	249938	250823
SAN JOSE 	229648	283213	284215
SAN JOSE DE LA DORMIDA 	369980	456278	457893
SAN JOSE DE LAS SALINAS 	175142	215994	216758
SAN MARCOS SIERRAS 	223304	275389	276364
SAN MARCOS SUD 	271181	334434	335617
SAN PEDRO 	351322	433268	434801
SAN PEDRO NORTE 	183566	226383	227184
SANTA CATALINA 	298030	367545	368846
SANTA EUFEMIA 	242556	299133	300191
SANTA MARIA 	487550	601272	603400
SANTA ROSA DE CALAMUCHITA 	661952	816353	819241
SANTA ROSA DE RIO PRIMERO 	503483	620921	623118
SANTIAGO TEMPLE 	251072	309634	310730
SARMIENTO 	197086	243056	243916
SEBASTIAN EL CANO 	254167	313451	314560
SEEBER 	167403	206450	207181
SERRANO 	277243	341911	343121
SERREZUELA 	259671	320240	321373
SILVIO PELLICO 	151275	186560	187220
SINSACATE 	196470	242296	243154
TANCACHA 	373181	460226	461854
TANTI 	382342	471524	473192
TICINO 	229981	283624	284627
TIO PUJIO 	254258	313564	314673
TOLEDO 	304726	375804	377134
TOSQUITA 	154235	190210	190883
TRANSITO 	269614	332502	333678
UCACHA 	364815	449908	451500
UNQUILLO 	855778	1055390	1059124
VALLE HERMOSO 	387979	478476	480169
VIAMONTE 	212859	262509	263438
VICUÑA MACKENNA 	580186	715515	718048
VILLA ALLENDE 	1289574	1590367	1595996
VILLA ASCASUBI 	236904	292163	293196
VILLA CARLOS PAZ 	2491161	3072226	3083098
VILLA CONCEPCION DEL TIO 	211700	261079	262003
VILLA CURA BROCHERO 	391863	483265	484975
VILLA DE LAS ROSAS 	304067	374991	376318
VILLA DE MARIA 	372568	459470	461096
VILLA DE SOTO 	524236	646515	648802
VILLA DEL DIQUE 	271634	334993	336179
VILLA DEL ROSARIO 	785597	968838	972266
VILLA DEL TOTORAL 	529010	652403	654711
VILLA DOLORES 	1451185	1789676	1796008
VILLA FONTANA 	177081	218385	219158
VILLA GIARDINO 	338632	417618	419096
VILLA GRAL. BELGRANO 	464678	573064	575092
VILLA HUIDOBRO 	400247	493605	495352
VILLA MARIA 	3517311	4337728	4353076
VILLA NUEVA 	944996	1165416	1169540
VILLA PQUE.SANTA ANA 	244368	301367	302434
VILLA ROSSI 	157399	194113	194800
VILLA RUMIPAL 	248006	305854	306936
VILLA SANTA CRUZ DEL LAGO 	224406	276750	277729
