DEPARTAMENTO 	2012 JUL	2012 AGO	2012 SET
ALDEA SANTA MARIA 	36183	38695	37600
ALTO DE LOS QUEBRACHOS 	35077	37513	36451
AMBOY 	39576	42324	41126
AMBUL 	82474	88201	85705
ANA ZUMARAN 	37661	40276	39136
ARROYO LOS PATOS 	65390	69931	67952
ASSUNTA 	30885	33029	32095
ATAHONA 	40192	42983	41767
AVELLANEDA 	52726	56387	54792
BAÑADO DE SOTO 	74858	80056	77791
CABALANGO 	37764	40386	39243
CALMAYO 	32694	34964	33975
CAMINIAGA 	46167	49373	47976
CANDELARIA SUD 	43267	46271	44962
CAÑADA DE MACHADO 	39871	42640	41433
CAÑADA DE RIO PINTO 	39006	41715	40534
CAÑADA DEL SAUCE 	31644	33841	32884
CAPILLA DE LOS REMEDIOS 	87012	93054	90421
CAPILLA DE SITON 	54593	58384	56732
CASA GRANDE 	59073	63175	61387
CERRO COLORADO 	50995	54536	52993
CHALACEA 	40064	42846	41633
CHANCANI 	65956	70536	68540
CHAÑAR VIEJO 	39248	41974	40786
CHARBONIER 	55746	59617	57930
CHUCUL 	46362	49582	48179
CHUÑA 	62126	66440	64560
CHUÑA HUASI 	42609	45567	44278
CHURQUI CAÑADA 	38227	40881	39724
CIENAGA DEL CORO 	70611	75514	73377
COLONIA ANITA 	26895	28762	27948
COLONIA BARGE 	36743	39295	38183
COLONIA BREMEN 	32964	35253	34255
COLONIA ITURRASPE 	27679	29601	28763
COLONIA LAS CUATRO ESQUINA 	35504	37969	36894
COLONIA LAS PICHANAS 	42148	45075	43800
COLONIA SAN PEDRO 	33708	36048	35028
COLONIA VALTELINA 	37747	40368	39226
COLONIA VICENTE AGUERO 	46223	49433	48034
COLONIA VIDELA 	30246	32346	31431
COMECHINGONES 	49248	52668	51177
CONLARA 	51626	55211	53648
COPACABANA 	36320	38843	37743
CRUZ DE CAÑA 	44689	47792	46440
CUESTA BLANCA 	46783	50032	48616
DIEGO DE ROJAS 	60937	65168	63324
DIQUE CHICO 	40563	43380	42152
EL CHACHO 	48428	51791	50325
EL CRISPIN 	38522	41197	40031
EL MANZANO 	97192	103941	101000
EL RASTREADOR 	31422	33604	32653
EL RODEO 	48688	52069	50595
ESQUINA 	46422	49645	48240
ESTANCIA DE GUADALUPE 	59544	63679	61877
ESTANCIA VIEJA 	66174	70769	68767
EUFRASIO LOZA 	45635	48804	47423
FALDA DEL CARMEN 	84761	90647	88081
GENERAL FOTHERINGHAM 	47517	50817	49379
GUANACO MUERTO 	66463	71077	69065
GUASAPAMPA 	51613	55197	53635
GUTEMBERG 	73534	78640	76415
IMPIRA 	35380	37837	36766
KILOMETRO 658 	48349	51706	50243
LA BATEA 	39420	42157	40964
"LA CAROLINA ""EL POTOSI"" "	36465	38998	37894
LA CUMBRECITA 	76553	81869	79553
LA HIGUERA 	55389	59235	57559
LA PAISANITA 	33008	35300	34301
LA PAMPA 	70301	75182	73055
LA PLAYA 	47973	51304	49852
LA POBLACION 	55636	59499	57816
LA POSTA 	42761	45730	44436
LA QUINTA 	39871	42640	41433
LA RANCHERITA 	33246	35555	34549
LA RINCONADA 	58408	62464	60696
LA SERRANITA 	49962	53431	51919
LAS ALBAHACAS 	54163	57924	56285
LAS BAJADAS 	37010	39580	38460
LAS CALERAS 	43542	46565	45248
LAS CALLES 	71225	76171	74016
LAS CAÑADAS 	39014	41724	40543
LAS GRAMILLAS 	32100	34329	33357
LAS ISLETILLAS 	41990	44906	43635
LAS PALMAS 	40226	43019	41801
LAS PEÑAS SUD 	35941	38437	37349
LAS PLAYAS 	55286	59125	57452
LAS RABONAS 	69842	74691	72578
LAS SALADAS 	36467	38999	37896
LEGUIZAMON 	30810	32950	32017
LOS CEDROS 	87319	93382	90739
LOS CHAÑARITOS 	41098	43952	42708
LOS CHAÑARITOS (C.D.EJE) 	65514	70063	68081
LOS HORNILLOS 	91163	97494	94735
LOS HOYOS 	43551	46575	45257
LOS MISTOLES 	36633	39177	38069
LOS MOLINOS 	48208	51555	50096
LOS POZOS 	34219	36595	35559
LOS REARTES 	100641	107629	104584
LOS TALARES 	34337	36722	35682
LUTTI 	38643	41326	40157
LUYABA 	115507	123528	120032
MALENA 	43801	46842	45517
MAQUINISTA GALLINI 	34704	37114	36064
MAYU SUMAJ 	88722	94883	92198
MEDIA NARANJA 	89798	96033	93316
MI GRANJA 	94584	101152	98290
NICOLAS BRUZZONE 	40427	43235	42011
OLIVARES DE SAN NICOLAS 	71993	76992	74813
ONAGOITY 	31656	33855	32896
PACHECO DE MELO 	30168	32263	31350
PAMPAYASTA NORTE 	31339	33515	32567
PANAHOLMA 	62984	67358	65452
PASO DEL DURAZNO 	35544	38012	36936
PASO VIEJO 	98252	105075	102101
PINCEN 	46336	49553	48151
PLAZA DE MERCEDES 	31586	33779	32823
PLAZA LUXARDO 	39013	41722	40542
POTRERO DE GARAY 	82619	88356	85856
POZO NUEVO 	65871	70446	68452
PUESTO DE CASTRO 	33735	36078	35057
PUNTA DEL AGUA 	35542	38010	36934
RAFAEL GARCIA 	57100	61065	59337
RANQUELES 	30194	32291	31377
RAYO CORTADO 	72190	77203	75018
RINCON 	60993	65229	63383
RIO BAMBA 	33860	36211	35186
ROSARIO DEL SALADILLO 	47213	50492	49063
SAGRADA FAMILIA 	30815	32955	32022
SALADILLO 	36743	39295	38183
SAN CLEMENTE 	35685	38163	37083
SAN GERONIMO 	59433	63560	61762
SAN IGNACIO 	43309	46316	45005
SAN JOAQUIN 	33982	36342	35313
SAN LORENZO 	87767	93862	91206
SAN ROQUE 	82579	88313	85814
SAN VICENTE 	129513	138507	134587
SANTA ELENA 	46105	49307	47912
SAUCE ARRIBA 	75857	81125	78829
SEGUNDA USINA 	32694	34964	33975
SIMBOLAR 	49837	53298	51790
SUCO 	43859	46904	45577
