DEPARTAMENTO 	s	d	f
ACHIRAS 	344520	368444	358017
ADELIA MARIA 	635217	679327	660102
AGUA DE ORO 	311003	332599	323187
ALCIRA 	548750	586855	570247
ALEJANDRO 	519182	555234	539521
ALEJO LEDESMA 	394623	422026	410083
ALICIA 	391061	418217	406382
ALMAFUERTE 	863065	922996	896876
ALPA CORRAL 	242495	259334	251995
ALTA GRACIA 	3096737	3311774	3218053
ALTO ALEGRE 	249994	267354	259788
ALTOS DE CHIPION 	300999	321901	312791
ANISACATE 	378560	404847	393390
ARIAS 	634951	679043	659826
ARROYITO 	1557890	1666070	1618921
ARROYO ALGODON 	233124	249312	242256
ARROYO CABRAL 	370641	396378	385161
AUSONIA 	252196	269708	262076
BALLESTEROS 	428149	457880	444922
BALLESTEROS SUR 	225058	240686	233875
BALNEARIA 	578854	619050	601531
BELL VILLE 	2261375	2418405	2349966
BENGOLEA 	245912	262988	255546
BENJAMIN GOULD 	233702	249930	242857
BERROTARAN 	598911	640499	622374
BIALET MASSE 	513406	549057	533520
BOWER 	316074	338022	328456
BRINCKMAN 	824699	881966	857007
BUCHARDO 	312438	334133	324678
BULNES 	255006	272714	264996
CALCHIN 	324653	347197	337371
CALCHIN OESTE 	239083	255685	248449
CAMILO ALDAO 	504937	540000	524719
CANALS 	747461	799364	776743
CAÑADA DE LUQUE 	269537	288254	280097
CAP. GRAL. B. O'HIGGINS 	216741	231791	225232
CAPILLA DEL CARMEN 	211147	225810	219419
CAPILLA DEL MONTE 	800122	855684	831468
CARNERILLO 	314292	336116	326605
CARRILOBO 	296962	317583	308596
CAVANAGH 	265647	284093	276054
CHAJAN 	234297	250566	243476
CHARRAS 	254071	271714	264025
CHAZON 	255405	273141	265411
CHILIBROSTE 	224808	240419	233616
CINTRA 	272628	291559	283308
COLAZO 	284241	303979	295376
COLONIA ALMADA 	219264	234490	227854
COLONIA BISMARCK 	213678	228516	222049
COLONIA CAROYA 	1352233	1446132	1405208
COLONIA ITALIANA 	236193	252594	245446
COLONIA MARINA 	260938	279057	271160
COLONIA PROSPERIDAD 	210877	225520	219138
COLONIA SAN BARTOLOME 	268422	287062	278938
COLONIA TIROLESA 	505992	541128	525814
COLONIA VIGNAUD 	246535	263654	256193
CORDOBA 	76287997	81585452	79276642
CORONEL BAIGORRIA 	282821	302460	293900
CORONEL MOLDES 	736034	787144	764869
CORRAL DE BUSTOS 	819908	876843	852029
CORRALITO 	303043	324086	314915
COSQUIN 	1371261	1466481	1424981
COSTASACATE 	271825	290701	282474
CRUZ ALTA 	622268	665478	646646
CRUZ DEL EJE 	2052560	2195090	2132970
DALMACIO VELEZ 	288327	308349	299623
DEAN FUNES 	1513972	1619103	1573284
DEL CAMPILLO 	425919	455495	442605
DESPEÑADEROS 	586269	626980	609237
DEVOTO 	569737	609299	592057
EL ARAÑADO 	298170	318875	309851
EL BRETE 	310164	331701	322314
EL FORTIN 	276157	295333	286975
EL TIO 	302070	323046	313904
ELENA 	371119	396890	385658
EMBALSE 	706191	755229	733856
ESTACION GENERAL PAZ 	316268	338229	328658
ESTACION JUAREZ CELMAN 	889813	951602	924672
ETRURIA 	440264	470836	457512
FREYRE 	604453	646426	628134
GENERAL BALDISSERA 	333031	356156	346077
GENERAL CABRERA 	894086	956172	929113
GENERAL DEHEZA 	821597	878649	853784
GENERAL LEVALLE 	555528	594104	577291
GENERAL ROCA 	352241	376700	366040
GUATIMOZIN 	347179	371287	360780
HERNANDO 	844509	903152	877593
HUANCHILLAS 	258241	276174	268358
HUERTA GRANDE 	546158	584084	567555
HUINCA RENANCO 	759678	812430	789439
IDIAZABAL 	288610	308651	299916
INRIVILLE 	432126	462133	449055
ISLA VERDE 	459446	491350	477445
ITALO 	268982	287660	279520
JAMES CRAIK 	491437	525563	510690
JESUS MARIA 	2000118	2139006	2078474
JOVITA 	514871	550624	535042
JUSTINIANO POSSE 	695723	744034	722978
LA CALERA 	1996509	2135147	2074724
LA CARLOTA 	974671	1042353	1012855
LA CAUTIVA 	239825	256478	249220
LA CESIRA 	271317	290157	281946
LA CRUZ 	290049	310190	301412
LA CUMBRE 	647533	692497	672900
LA FALDA 	1082075	1157215	1124466
LA FRANCIA 	431060	460993	447947
LA GRANJA 	361274	386361	375427
LA LAGUNA 	275774	294924	286578
LA PALESTINA 	223495	239015	232251
LA PAQUITA 	244900	261906	254494
LA PARA 	439343	469851	456554
LA PAZ 	388496	415473	403715
LA PLAYOSA 	356569	381330	370538
LA PUERTA 	339855	363455	353169
LA TORDILLA 	267856	286456	278349
LABORDE 	561468	600457	583464
LABOULAYE 	1497356	1601333	1556016
LAGUNA LARGA 	644785	689559	670045
LAS ACEQUIAS 	324783	347336	337507
LAS ARRIAS 	276635	295845	287472
LAS HIGUERAS 	555064	593607	576809
LAS JUNTURAS 	292824	313158	304296
LAS PEÑAS 	298457	319182	310149
LAS PERDICES 	500147	534877	519740
LAS TAPIAS 	307306	328646	319345
