DEPARTAMENTO MUNICIPIOS 	a	s	d
ACHIRAS 	426771	460010	405565
ADELIA MARIA 	786870	848155	747770
AGUA DE ORO 	385252	415258	366109
ALCIRA 	679759	732701	645981
ALEJANDRO 	643131	693221	611174
ALEJO LEDESMA 	488836	526908	464545
ALICIA 	484424	522153	460353
ALMAFUERTE 	1069114	1152381	1015989
ALPA CORRAL 	300389	323784	285462
ALTA GRACIA 	3836053	4134822	3645439
ALTO ALEGRE 	309678	333797	294290
ALTOS DE CHIPION 	372860	401900	354333
ANISACATE 	468937	505460	445636
ARIAS 	786540	847800	747457
ARROYITO 	1929822	2080125	1833929
ARROYO ALGODON 	288780	311271	274430
ARROYO CABRAL 	459128	494887	436314
AUSONIA 	312405	336737	296882
BALLESTEROS 	530366	571673	504012
BALLESTEROS SUR 	278789	300502	264936
BALNEARIA 	717050	772898	681420
BELL VILLE 	2801257	3019432	2662063
BENGOLEA 	304622	328347	289485
BENJAMIN GOULD 	289496	312044	275111
BERROTARAN 	741895	799678	705030
BIALET MASSE 	635978	685510	604377
BOWER 	391534	422028	372078
BRINCKMAN 	1021588	1101154	970825
BUCHARDO 	387029	417173	367798
BULNES 	315887	340490	300190
CALCHIN 	402160	433483	382177
CALCHIN OESTE 	296162	319228	281445
CAMILO ALDAO 	625487	674202	594406
CANALS 	925910	998024	879901
CAÑADA DE LUQUE 	333887	359892	317296
CAP. GRAL. B. O'HIGGINS 	268485	289396	255144
CAPILLA DEL CARMEN 	261557	281928	248560
CAPILLA DEL MONTE 	991144	1068340	941895
CARNERILLO 	389326	419649	369981
CARRILOBO 	367859	396510	349580
CAVANAGH 	329068	354697	312716
CHAJAN 	290233	312838	275811
CHARRAS 	314728	339241	299089
CHAZON 	316381	341022	300660
CHILIBROSTE 	278479	300169	264642
CINTRA 	337715	364018	320934
COLAZO 	352101	379524	334605
COLONIA ALMADA 	271612	292766	258115
COLONIA BISMARCK 	264692	285307	251539
COLONIA CAROYA 	1675066	1805528	1591832
COLONIA ITALIANA 	292582	315370	278044
COLONIA MARINA 	323234	348409	307173
COLONIA PROSPERIDAD 	261222	281567	248242
COLONIA SAN BARTOLOME 	332506	358403	315984
COLONIA TIROLESA 	626793	675610	595647
COLONIA VIGNAUD 	305393	329178	290218
CORDOBA 	94501062	101861244	89805286
CORONEL BAIGORRIA 	350341	377628	332933
CORONEL MOLDES 	911756	982767	866450
CORRAL DE BUSTOS 	1015654	1094758	965186
CORRALITO 	375391	404629	356738
COSQUIN 	1698638	1830934	1614231
COSTASACATE 	336721	362947	319990
CRUZ ALTA 	770828	830864	732526
CRUZ DEL EJE 	2542590	2740618	2416248
DALMACIO VELEZ 	357163	384980	339415
DEAN FUNES 	1875420	2021486	1782230
DEL CAMPILLO 	527604	568696	501387
DESPEÑADEROS 	726235	782798	690149
DEVOTO 	705756	760724	670687
EL ARAÑADO 	369356	398123	351002
EL BRETE 	384212	414137	365121
EL FORTIN 	342087	368730	325088
EL TIO 	374187	403330	355593
ELENA 	459720	495526	436877
EMBALSE 	874787	942920	831319
ESTACION GENERAL PAZ 	391774	422287	372306
ESTACION JUAREZ CELMAN 	1102248	1188096	1047477
ETRURIA 	545373	587849	518273
FREYRE 	748760	807077	711555
GENERAL BALDISSERA 	412539	444669	392040
GENERAL CABRERA 	1107541	1193802	1052507
GENERAL DEHEZA 	1017746	1097012	967174
GENERAL LEVALLE 	688155	741752	653960
GENERAL ROCA 	436335	470319	414653
GUATIMOZIN 	430065	463560	408695
HERNANDO 	1046129	1127605	994146
HUANCHILLAS 	319894	344809	303999
HUERTA GRANDE 	676549	729241	642931
HUINCA RENANCO 	941044	1014337	894283
IDIAZABAL 	357513	385357	339748
INRIVILLE 	535292	576983	508693
ISLA VERDE 	569134	613461	540854
ITALO 	333199	359150	316643
JAMES CRAIK 	608763	656177	578514
JESUS MARIA 	2477627	2670597	2354515
JOVITA 	637792	687466	606100
JUSTINIANO POSSE 	861820	928943	818996
LA CALERA 	2473158	2665779	2350266
LA CARLOTA 	1207365	1301401	1147371
LA CAUTIVA 	297081	320219	282319
LA CESIRA 	336091	362268	319391
LA CRUZ 	359295	387279	341442
LA CUMBRE 	802125	864598	762267
LA FALDA 	1340411	1444808	1273805
LA FRANCIA 	533972	575560	507439
LA GRANJA 	447525	482380	425287
LA LAGUNA 	341613	368219	324638
LA PALESTINA 	276853	298415	263096
LA PAQUITA 	303368	326995	288293
LA PARA 	544232	586619	517189
LA PAZ 	481246	518727	457332
LA PLAYOSA 	441697	476099	419749
LA PUERTA 	420993	453782	400073
LA TORDILLA 	331804	357646	315316
LABORDE 	695514	749684	660954
LABOULAYE 	1854836	1999300	1762669
LAGUNA LARGA 	798721	860930	759033
LAS ACEQUIAS 	402322	433657	382331
LAS ARRIAS 	342679	369368	325651
LAS HIGUERAS 	687580	741132	653414
LAS JUNTURAS 	362733	390985	344709
LAS PEÑAS 	369711	398506	351340
LAS PERDICES 	619552	667806	588766
LAS TAPIAS 	380673	410322	361757
LAS VARAS 	335465	361592	318795
LAS VARILLAS 	1511854	1629605	1436731
LAS VERTIENTES 	296477	319568	281745
LASPIUR 	422252	455139	401271
LEONES 	1040883	1121952	989161
LOS CERRILLOS 	416361	448789	395672
LOS CISNES 	279317	301072	265438
LOS COCOS 	312859	337226	297313
LOS CONDORES 	469475	506040	446146
LOS SURGENTES 	455976	491490	433318
