DEPARTAMENTO M U N I C I P I O 	f	g	h
ACHIRAS 	498069,5	506882,1	491208,2
ADELIA MARIA 	918327,5	934576	905676,9
AGUA DE ORO 	449614,4	457569,6	443420,6
ALCIRA 	793322,1	807358,8	782393,5
ALEJANDRO 	750575,7	763856	740235,9
ALEJO LEDESMA 	570502,6	580596,9	562643,6
ALICIA 	565353,7	575356,8	557565,5
ALMAFUERTE 	1247724,6	1269801,3	1230536,3
ALPA CORRAL 	350573	356775,9	345743,6
ALTA GRACIA 	4476920	4556133,7	4415248,2
ALTO ALEGRE 	361413,9	367808,6	356435,1
ALTOS DE CHIPION 	435152	442851,4	429157,5
ANISACATE 	547279,9	556963,3	539740,8
ARIAS 	917943,1	934184,8	905297,8
ARROYITO 	2252226	2292076	2221200
ARROYO ALGODON 	337024,5	342987,6	332381,7
ARROYO CABRAL 	535832,1	545312,9	528450,6
AUSONIA 	364597	371048	359574,4
BALLESTEROS 	618971,3	629923,1	610444,5
BALLESTEROS SUR 	325364,2	331121,1	320882,1
BALNEARIA 	836844	851650,8	825315,9
BELL VILLE 	3269247,6	3327092,3	3224211,3
BENGOLEA 	355512,9	361803,2	350615,5
BENJAMIN GOULD 	337860,7	343838,7	333206,4
BERROTARAN 	865839,5	881159,3	853912
BIALET MASSE 	742226,7	755359,3	732002
BOWER 	456945	465030	450650,3
BRINCKMAN 	1192259,2	1213354,5	1175834,9
BUCHARDO 	451688,1	459680,1	445465,8
BULNES 	368660,2	375183,2	363581,7
CALCHIN 	469347,1	477651,5	462881,5
CALCHIN OESTE 	345639,8	351755,4	340878,4
CAMILO ALDAO 	729983,1	742899,1	719927
CANALS 	1080596,6	1099716,2	1065710,6
CAÑADA DE LUQUE 	389667,6	396562,2	384299,6
CAP. GRAL. B. O'HIGGINS 	313339,8	318883,9	309023,3
CAPILLA DEL CARMEN 	305253,8	310654,9	301048,7
CAPILLA DEL MONTE 	1156728,8	1177195,4	1140794
CARNERILLO 	454368,8	462408,2	448109,6
CARRILOBO 	429315,1	436911,3	423401
CAVANAGH 	384043,1	390838,2	378752,7
CHAJAN 	338720,6	344713,7	334054,4
CHARRAS 	367308,1	373807,1	362248,1
CHAZON 	369236,8	375770	364150,3
CHILIBROSTE 	325003,4	330753,9	320526,3
CINTRA 	394135,4	401109,1	388705,9
COLAZO 	410924,4	418195,2	405263,7
COLONIA ALMADA 	316988,3	322596,9	312621,5
COLONIA BISMARCK 	308912,4	314378,2	304656,9
COLONIA CAROYA 	1954909,8	1989499,2	1927979,5
COLONIA ITALIANA 	341462	347503,7	336758,1
COLONIA MARINA 	377235,1	383909,8	372038,5
COLONIA PROSPERIDAD 	304862,7	310256,8	300663
COLONIA SAN BARTOLOME 	388055,8	394921,9	382710
COLONIA TIROLESA 	731507,2	744450,2	721430,2
COLONIA VIGNAUD 	356413,3	362719,5	351503,4
CORDOBA 	110288816,2	112240219,2	108769506,7
CORONEL BAIGORRIA 	408870,9	416105,3	403238,4
CORONEL MOLDES 	1064077,3	1082904,6	1049418,9
CORRAL DE BUSTOS 	1185333,1	1206305,9	1169004,3
CORRALITO 	438105,8	445857,5	432070,6
COSQUIN 	1982418,3	2017494,4	1955109,1
COSTASACATE 	392975,5	399928,6	387561,9
CRUZ ALTA 	899606,4	915523,6	887213,6
CRUZ DEL EJE 	2967365,7	3019869	2926488,1
DALMACIO VELEZ 	416832,1	424207,4	411090
DEAN FUNES 	2188735,3	2227461,9	2158583,9
DEL CAMPILLO 	615747,7	626642,4	607265,3
DESPEÑADEROS 	847563,5	862559,9	835887,7
DEVOTO 	823663	838236,5	812316,4
EL ARAÑADO 	431061,8	438688,8	425123,6
EL BRETE 	448400,4	456334,3	442223,4
EL FORTIN 	399237,2	406301,1	393737,4
EL TIO 	436699,7	444426,5	430683,9
ELENA 	536523,4	546016,4	529132,4
EMBALSE 	1020933	1038997	1006868,9
ESTACION GENERAL PAZ 	457224,9	465314,8	450926,3
ESTACION JUAREZ CELMAN 	1286394,3	1309155,2	1268673,3
ETRURIA 	636485,2	647747	627717,2
FREYRE 	873851,3	889312,9	861813,4
GENERAL BALDISSERA 	481459,2	489977,9	474826,7
GENERAL CABRERA 	1292571,7	1315441,9	1274765,6
GENERAL DEHEZA 	1187774,4	1208791,4	1171413
GENERAL LEVALLE 	803121	817331,1	792057,4
GENERAL ROCA 	509230,7	518240,8	502215,7
GUATIMOZIN 	501913,5	510794,2	494999,3
HERNANDO 	1220899,3	1242500,3	1204079,5
HUANCHILLAS 	373337,1	379942,8	368194,2
HUERTA GRANDE 	789575,8	803546,2	778698,8
HUINCA RENANCO 	1098258,9	1117691	1083129,6
IDIAZABAL 	417240,1	424622,6	411492,3
INRIVILLE 	624720,5	635774	616114,5
ISLA VERDE 	664216,3	675968,6	655066,2
ITALO 	388865	395745,5	383508,1
JAMES CRAIK 	710466,1	723036,8	700679
JESUS MARIA 	2891550,5	2942712,4	2851717,3
JOVITA 	744344,3	757514,4	734090,4
JUSTINIANO POSSE 	1005799,6	1023595,8	991944
LA CALERA 	2886334	2937403,6	2846572,7
LA CARLOTA 	1409073,1	1434004,6	1389662,1
LA CAUTIVA 	346712,1	352846,7	341935,9
LA CESIRA 	392240,4	399180,5	386837
LA CRUZ 	419320,6	426739,9	413544,2
LA CUMBRE 	936131,5	952695	923235,6
LA FALDA 	1564345,3	1592024,2	1542795,3
LA FRANCIA 	623179,5	634205,8	614594,7
LA GRANJA 	522290,3	531531,5	515095,4
LA LAGUNA 	398684,2	405738,4	393192
LA PALESTINA 	323105	328821,9	318654
LA PAQUITA 	354049,5	360313,9	349172,2
LA PARA 	635153,3	646391,5	626403,6
LA PAZ 	561644,5	571582	553907,4
LA PLAYOSA 	515489,1	524609,9	508387,8
LA PUERTA 	491325,6	500018,9	484557,2
LA TORDILLA 	387236,4	394088	381901,9
LABORDE 	811709,4	826071,4	800527,5
LABOULAYE 	2164713,4	2203015	2134892,9
LAGUNA LARGA 	932159,3	948652,6	919318,1
LAS ACEQUIAS 	469535,9	477843,7	463067,7
LAS ARRIAS 	399928,5	407004,6	394419,2
LAS HIGUERAS 	802450	816648,2	791395,6
LAS JUNTURAS 	423333,3	430823,5	417501,5
LAS PEÑAS 	431476,6	439110,9	425532,7
LAS PERDICES 	723057,1	735850,5	713096,4
LAS TAPIAS 	444269,8	452130,5	438149,7
LAS VARAS 	391508,7	398435,9	386115,3
LAS VARILLAS 	1764430,9	1795651	1740124,6
LAS VERTIENTES 	346007,4	352129,5	341240,9
LASPIUR 	492795,7	501515,1	486007,1
LEONES 	1214777,1	1236270,9	1198042,7
LOS CERRILLOS 	485920,3	494518	479226,4
LOS CISNES 	325981,3	331749,1	321490,7
LOS COCOS 	365126,4	371586,8	360096,5
LOS CONDORES 	547907,1	557601,6	540359,3
LOS SURGENTES 	532153,3	541569	524822,5
LOS ZORROS 	336174,7	342122,9	331543,7
LOZADA 	373785,6	380399,2	368636,5
LUCA 	322123,8	327823,3	317686,3
LUCIO V. MANSILLA 	364458,8	370907,3	359438,1
LUQUE 	804577,7	818813,5	793494
MALAGUEÑO 	1413227,4	1438232,4	1393759,1
MALVINAS ARGENTINAS 	1347952,9	1371803	1329383,8
MANFREDI 	355759,1	362053,8	350858,3
MARCOS JUAREZ 	2623931,2	2670357,9	2587784,6
MARULL 	434605,7	442295,5	428618,7
MATORRALES 	363501,1	369932,8	358493,6
MATTALDI 	446363,8	454261,6	440214,8
MELO 	387826,5	394688,5	382483,9
MENDIOLAZA 	971159,5	988342,7	957781
MINA CLAVERO 	1119579,8	1139389,2	1104156,8
MIRAMAR 	472520,1	480880,7	466010,8
MONTE BUEY 	840097,9	854962,3	828525
MONTE CRISTO 	1239513,9	1261445,3	1222438,7
MONTE DE LOS GAUCHOS 	338545,2	344535,3	333881,5
MONTE LEÑA 	317541,3	323159,7	313166,9
MONTE MAIZ 	945478,6	962207,5	932453,9
MONTE RALO 	322342,9	328046,3	317902,4
MORRISON 	569167,4	579238	561326,7
MORTEROS 	1793979,5	1825722,4	1769266,1
NOETINGER 	718349,8	731060	708454
NONO 	468399,6	476687,2	461947
OBISPO TREJO 	518348,5	527519,9	511207,9
OLAETA 	328142,7	333948,7	323622,3
OLIVA 	1371445,3	1395711,1	1352552,7
ONCATIVO 	1387226,1	1411771,1	1368116,1
ORDOÑEZ 	511631,5	520684,1	504583,4
PAMPAYASTA SUD 	379238,1	385948,2	374013,8
PASCANAS 	525025	534314,5	517792,4
PASCO 	378337,8	385031,9	373125,9
PILAR 	1471956,9	1498001	1451679,6
PIQUILLIN 	403961,3	411108,9	398396,5
PORTEÑA 	775201,1	788917,2	764522,2
POZO DEL MOLLE 	784251,5	798127,7	773447,8
PUEBLO ITALIANO 	420743,6	428188,1	414947,5
QUEBRACHO HERRADO 	305226,8	310627,4	301022,1
QUILINO 	760114,9	773564,1	749643,8
REDUCCION 	415743	423099	410015,8
RIO CEBALLOS 	1909253,4	1943035	1882952,1
RIO CUARTO 	14167392,5	14418064,4	13972226,4
RIO DE LOS SAUCES 	388801	395680,3	383445
RIO PRIMERO 	975307	992563,6	961871,4
RIO SEGUNDO 	1991165,2	2026397	1963735,4
RIO TERCERO 	4288248,5	4364122,9	4229174,7
ROSALES 	323624,3	329350,4	319166,1
SACANTA 	543712,4	553332,6	536222,4
SAIRA 	344635	350732,8	339887,4
SALDAN 	1154513,4	1174940,9	1138609,1
SALSACATE 	493736,5	502472,5	486934,9
SALSIPUEDES 	1043150,9	1061608	1028780,7
SAMPACHO 	963026,3	980065,7	949759,9
SAN AGUSTIN 	589864,5	600301,3	581738,7
SAN ANTONIO DE ARREDONDO 	568722,3	578785	560887,7
SAN ANTONIO DE LITIN 	390628,6	397540,2	385247,4
SAN BASILIO 	562949,4	572910	555194,4
SAN CARLOS MINAS 	447115,7	455026,8	440956,4
SAN ESTEBAN 	343363,8	349439,1	338633,7
SAN FRANCISCO 	5853099,6	5956661,9	5772468,9
SAN FRANCISCO DEL CHAÑAR 	567211,6	577247,6	559397,9
SAN JAVIER Y YACANTO 	412667,7	419969,3	406982,9
SAN JOSE 	467607,2	475880,8	461165,5
SAN JOSE DE LA DORMIDA 	753350,8	766680,3	742972,8
SAN JOSE DE LAS SALINAS 	356622,3	362932,2	351709,6
