DEPARTAMENTO 	2013 OCT	2013 NOV	2013 DIC
ALDEA SANTA MARIA 	53504,3	55624,2	54216,07
ALTO DE LOS QUEBRACHOS 	51869,08	53924,19	52559,1
AMBOY 	58521,91	60840,62	59300,43
AMBUL 	121956,17	126788,22	123578,56
ANA ZUMARAN 	55689,77	57896,27	56430,62
ARROYO LOS PATOS 	96694,44	100525,59	97980,78
ASSUNTA 	45670,1	47479,6	46277,65
ATAHONA 	59432,97	61787,77	60223,61
AVELLANEDA 	77967,56	81056,73	79004,77
BAÑADO DE SOTO 	110694,46	115080,31	112167,04
CABALANGO 	55842,47	58055,02	56585,35
CALMAYO 	48345,04	50260,53	48988,18
CAMINIAGA 	68268,58	70973,46	69176,76
CANDELARIA SUD 	63979,63	66514,58	64830,76
CAÑADA DE MACHADO 	58958,16	61294,15	59742,49
CAÑADA DE RIO PINTO 	57679,36	59964,69	58446,68
CAÑADA DEL SAUCE 	46792,72	48646,71	47415,21
CAPILLA DE LOS REMEDIOS 	128667,1	133765,04	130378,77
CAPILLA DE SITON 	80728,75	83927,32	81802,69
CASA GRANDE 	87350,86	90811,81	88513,9
CERRO COLORADO 	75407,4	78395,14	76410,56
CHALACEA 	59243,12	61590,4	60031,24
CHANCANI 	97531,08	101395,38	98828,54
CHAÑAR VIEJO 	58037,33	60336,84	58809,41
CHARBONIER 	82432,99	85699,08	83529,6
CHUCUL 	68557,14	71273,46	69469,16
CHUÑA 	91867,19	95507,08	93089,31
CHUÑA HUASI 	63006,36	65502,75	63844,54
CHURQUI CAÑADA 	56526,66	58766,32	57278,65
CIENAGA DEL CORO 	104414,5	108551,53	105803,54
COLONIA ANITA 	39770,09	41345,83	40299,16
COLONIA BARGE 	54333,35	56486,1	55056,15
COLONIA BREMEN 	48744,27	50675,57	49392,72
COLONIA ITURRASPE 	40929,09	42550,75	41473,58
COLONIA LAS CUATRO ESQUINAS 	52500,05	54580,17	53198,47
COLONIA LAS PICHANAS 	62326,03	64795,46	63155,16
COLONIA SAN PEDRO 	49844,4	51819,29	50507,48
COLONIA VALTELINA 	55817,79	58029,36	56560,35
COLONIA VICENTE AGUERO 	68351,74	71059,92	69261,03
COLONIA VIDELA 	44725,11	46497,17	45320,09
COMECHINGONES 	72823,98	75709,36	73792,77
CONLARA 	76340,31	79365	77355,87
COPACABANA 	53708,02	55836	54422,51
CRUZ DE CAÑA 	66083,1	68701,39	66962,21
CUESTA BLANCA 	69179,38	71920,35	70099,68
DIEGO DE ROJAS 	90108,7	93678,92	91307,43
DIQUE CHICO 	59981,3	62357,83	60779,23
EL CHACHO 	71611,51	74448,85	72564,17
EL CRISPIN 	56963,81	59220,79	57721,61
