DEPARTAMENTO M U N I C I P I O 	TOTALOCTUBRE	TOTALNOVIEMBRE	TOTALDICIEMBRE
ACHIRAS 	509451,01	529636,08	516228,3
ADELIA MARIA 	939312,48	976529,18	951808,27
AGUA DE ORO 	459888,62	478109,96	466006,58
ALCIRA 	811450,48	843601,13	822245,31
ALEJANDRO 	767727,28	798145,56	777940,45
ALEJO LEDESMA 	583539,37	606659,9	591302,26
ALICIA 	578272,72	601184,58	585965,55
ALMAFUERTE 	1276236,71	1326802,75	1293214,64
ALPA CORRAL 	358584,06	372791,6	363354,35
ALTA GRACIA 	4579223,37	4760658,72	4640142,33
ALTO ALEGRE 	369672,66	384319,53	374590,46
ALTOS DE CHIPION 	445095,78	462731,01	451016,95
ANISACATE 	559785,98	581965,38	567232,88
ARIAS 	938919,29	976120,41	951409,85
ARROYITO 	2303692,3	2394967,37	2334339,6
ARROYO ALGODON 	344725,91	358384,36	349311,84
ARROYO CABRAL 	548076,57	569792,02	555367,69
AUSONIA 	372928,53	387704,41	377889,64
BALLESTEROS 	633115,56	658200,36	641537,97
BALLESTEROS SUR 	332799,2	345985,11	337226,47
BALNEARIA 	855966,96	889881,4	867353,99
BELL VILLE 	3343954,09	3476445,58	3388440,12
BENGOLEA 	363636,87	378044,61	368474,38
BENJAMIN GOULD 	345581,26	359273,61	350178,57
BERROTARAN 	885625,07	920714,6	897406,64
BIALET MASSE 	759187,51	789267,44	769288,08
BOWER 	467386,79	485905,22	473604,49
BRINCKMAN 	1219503,81	1267822,02	1235727,02
BUCHARDO 	462009,77	480315,15	468155,94
BULNES 	377084,6	392025,14	382101
CALCHIN 	480072,28	499093,32	486458,74
CALCHIN OESTE 	353538,15	367545,76	358241,31
CAMILO ALDAO 	746664,13	776247,86	756597,09
CANALS 	1105289,58	1149082,49	1119994,38
CAÑADA DE LUQUE 	398571,98	414363,88	403874,23
CAP. GRAL. B. O'HIGGINS 	320500,01	333198,6	324763,66
CAPILLA DEL CARMEN 	312229,26	324600,16	316382,88
CAPILLA DEL MONTE 	1183161,51	1230040,8	1198902,26
CARNERILLO 	464751,74	483165,76	470934,39
CARRILOBO 	439125,53	456524,22	444967,27
CAVANAGH 	392819,02	408382,98	398044,74
CHAJAN 	346460,76	360187,96	351069,77
CHARRAS 	375701,54	390587,29	380699,54
CHAZON 	377674,38	392638,29	382698,63
CHILIBROSTE 	332430,16	345601,44	336852,52
CINTRA 	403141,93	419114,9	408504,97
COLAZO 	420314,59	436967,96	425906,08
COLONIA ALMADA 	324231,84	337078,3	328545,14
COLONIA BISMARCK 	315971,44	328490,61	320174,85
COLONIA CAROYA 	1999582,03	2078807,88	2026183,71
COLONIA ITALIANA 	349264,82	363103,11	353911,13
COLONIA MARINA 	385855,45	401143,51	390988,53
COLONIA PROSPERIDAD 	311829,17	324184,22	315977,48
COLONIA SAN BARTOLOME 	396923,35	412649,93	402203,67
COLONIA TIROLESA 	748223,08	777868,59	758176,79
COLONIA VIGNAUD 	364557,76	379001,98	369407,52
CORDOBA 	112809055,57	117278687,29	114309769,09
CORONEL BAIGORRIA 	418214,14	434784,28	423777,69
CORONEL MOLDES 	1088392,84	1131516,28	1102871,86
CORRAL DE BUSTOS 	1212419,53	1260457,05	1228548,49
CORRALITO 	448117,12	465872,06	454078,48
COSQUIN 	2027719,12	2108059,79	2054695,11
COSTASACATE 	401955,47	417881,43	407302,73
CRUZ ALTA 	920163,53	956621,52	932404,58
CRUZ DEL EJE 	3035173,85	3155431,1	3075551,14
DALMACIO VELEZ 	426357,27	443250,06	432029,15
DEAN FUNES 	2238750,74	2327452,74	2268533,11
DEL CAMPILLO 	629818,29	654772,45	638196,84
DESPEÑADEROS 	866931,39	901280,26	878464,28
DEVOTO 	842484,75	875865,01	853692,43
EL ARAÑADO 	440912,12	458381,59	446777,63
EL BRETE 	458646,98	476819,12	464748,41
EL FORTIN 	408360,29	424540,02	413792,76
EL TIO 	446678,88	464376,84	452621,11
ELENA 	548783,61	570527,08	556084,15
EMBALSE 	1044262,65	1085637,6	1058154,61
ESTACION GENERAL PAZ 	467673,06	486202,83	473894,57
ESTACION JUAREZ CELMAN 	1315790,05	1367923,24	1333294,17
ETRURIA 	651029,76	676824,34	659690,48
FREYRE 	893819,93	929234,16	905711,53
GENERAL BALDISSERA 	492461,15	511973,05	499012,42
GENERAL CABRERA 	1322108,65	1374492,19	1339696,82
GENERAL DEHEZA 	1214916,62	1263053,08	1231079,8
GENERAL LEVALLE 	821473,33	854021,09	832401,49
GENERAL ROCA 	520867,26	541504,65	527796,42
GUATIMOZIN 	513382,89	533723,74	520212,49
HERNANDO 	1248796,32	1298276,14	1265410,21
HUANCHILLAS 	381868,38	396998,47	386948,43
HUERTA GRANDE 	807618,63	839617,45	818363,47
HUINCA RENANCO 	1123355,54	1167864,24	1138299,67
IDIAZABAL 	426774,6	443683,92	432452,03
INRIVILLE 	638996,13	664313,93	647496,77
ISLA VERDE 	679394,48	706312,91	688432,55
ITALO 	397751,11	413510,49	403042,44
JAMES CRAIK 	726701,21	755493,99	736369,61
JESUS MARIA 	2957626,13	3074810,84	2996972,78
JOVITA 	761353,5	791519,24	771481,87
JUSTINIANO POSSE 	1028783,46	1069545,1	1042469,49
LA CALERA 	2952290,5	3069263,81	2991565,18
