DEPARTAMENTO 	COMUNAS 	Copart. Abril 2014	Tipo
UNION	ALDEA SANTA MARIA 	61435	COMUNA
CRUZ DEL EJE	ALTO DE LOS QUEBRACHOS	59558	COMUNA
CALAMUCHITA	AMBOY 	67197	COMUNA
SAN ALBERTO	AMBUL 	140034	COMUNA
UNION	ANA ZUMARAN 	63945	COMUNA
SAN ALBERTO	ARROYO LOS PATOS 	111027	COMUNA
JUAREZ CELMAN	ASSUNTA 	52440	COMUNA
RIO PRIMERO	ATAHONA 	68243	COMUNA
ISCHILIN	AVELLANEDA 	89525	COMUNA
CRUZ DEL EJE	BAÑADO DE SOTO 	127103	COMUNA
PUNILLA	CABALANGO 	64120	COMUNA
CALAMUCHITA	CALMAYO 	55511	COMUNA
SOBREMONTE	CAMINIAGA 	78388	COMUNA
TOTORAL	CANDELARIA SUD 	73463	COMUNA
RIO PRIMERO	CAÑADA DE MACHADO 	67697	COMUNA
ISCHILIN	CAÑADA DE RIO PINTO 	66229	COMUNA
CALAMUCHITA	CAÑADA DEL SAUCE 	53729	COMUNA
RIO PRIMERO	CAPILLA DE LOS REMEDIOS 	147739	COMUNA
TOTORAL	CAPILLA DE SITON 	92695	COMUNA
PUNILLA	CASA GRANDE 	100300	COMUNA
RIO SECO	CERRO COLORADO 	86585	COMUNA
RIO PRIMERO	CHALACEA 	68025	COMUNA
POCHO	CHANCANI 	111988	COMUNA
RIO SECO	CHAÑAR VIEJO 	66640	COMUNA
PUNILLA	CHARBONIER 	94652	COMUNA
RIO CUARTO	CHUCUL 	78719	COMUNA
ISCHILIN	CHUÑA 	105485	COMUNA
SOBREMONTE	CHUÑA HUASI 	72346	COMUNA
TULUMBA	CHURQUI CAÑADA 	64906	COMUNA
MINAS	CIENAGA DEL CORO 	119892	COMUNA
SAN JUSTO	COLONIA ANITA 	45665	COMUNA
MARCOS JUAREZ	COLONIA BARGE 	62387	COMUNA
UNION	COLONIA BREMEN 	55970	COMUNA
SAN JUSTO	COLONIA ITURRASPE 	46996	COMUNA
RIO PRIMERO	COLONIA LAS CUATRO ESQ 	60282	COMUNA
SAN JUSTO	COLONIA LAS PICHANAS 	71565	COMUNA
SAN JUSTO	COLONIA SAN PEDRO 	57233	COMUNA
SAN JUSTO	COLONIA VALTELINA 	64092	COMUNA
