DEPARTAMENTO	MUNICIPIO	Copart. Abril 2014	Tipo
CALAMUCHITA	EMBALSE 	1199052,77	Municipio
CALAMUCHITA	LA CRUZ 	492478,5	Municipio
CALAMUCHITA	LOS CONDORES 	643499,16	Municipio
CALAMUCHITA	RIO DE LOS SAUCES 	456634,16	Municipio
CALAMUCHITA	SAN AGUSTIN 	692776,71	Municipio
CALAMUCHITA	SANTA ROSA DE CALAMUCHITA 	1583020,06	Municipio
CALAMUCHITA	VILLA DEL DIQUE 	649597,97	Municipio
CALAMUCHITA	VILLA GRAL. BELGRANO 	1111250,78	Municipio
CALAMUCHITA	VILLA RUMIPAL 	593092,94	Municipio
CALAMUCHITA	VILLA YACANTO 	487417,28	Municipio
CAPITAL	CORDOBA 	129530642,38	Municipio
COLON	AGUA DE ORO 	528057,5	Municipio
COLON	COLONIA CAROYA 	2295978,28	Municipio
COLON	COLONIA TIROLESA 	859131,52	Municipio
COLON	ESTACION GENERAL PAZ 	536995,81	Municipio
COLON	ESTACION JUAREZ CELMAN 	1510828,43	Municipio
COLON	JESUS MARIA 	3396032,39	Municipio
COLON	LA CALERA 	3389905,86	Municipio
COLON	LA GRANJA 	613413,05	Municipio
COLON	MALVINAS ARGENTINAS 	1583126,99	Municipio
COLON	MENDIOLAZA 	1140595,33	Municipio
COLON	RIO CEBALLOS 	2242356,31	Municipio
COLON	SALDAN 	1355938,58	Municipio
COLON	SALSIPUEDES 	1225146,94	Municipio
COLON	UNQUILLO 	2046545,07	Municipio
COLON	VILLA ALLENDE 	3083940,91	Municipio
CRUZ DEL EJE	CRUZ DEL EJE 	3485074,94	Municipio
CRUZ DEL EJE	EL BRETE 	526631,8	Municipio
CRUZ DEL EJE	SAN MARCOS SIERRAS 	534017,69	Municipio
CRUZ DEL EJE	SERREZUELA 	620989,03	Municipio
CRUZ DEL EJE	VILLA DE SOTO 	1253680,63	Municipio
GENERAL ROCA	BUCHARDO 	530493,06	Municipio
